source,date,series,x_pixel,y_pixel,height,status,color_distance
251016,2025-08-21,boss,1018.0,336.0,421.0,detected,0.0
251016,2025-08-21,field,1018.0,631.0,126.0,detected,20.049937655763422
251016,2025-08-21,coin_dark,1018.0,711.0,46.0,detected,0.0
251016,2025-08-21,coin_light,1018.0,690.0,67.0,detected,17.0
251016,2025-08-21,other,1018.0,754.0,3.0,detected,10.677078252031311
251016,2025-08-28,boss,1067.0,309.0,448.0,detected,0.0
251016,2025-08-28,field,1067.0,630.0,127.0,detected,4.123105625617661
251016,2025-08-28,coin_dark,1067.0,704.0,53.0,detected,0.0
251016,2025-08-28,coin_light,1067.0,677.0,80.0,detected,4.242640687119285
251016,2025-08-28,other,1067.0,755.0,2.0,detected,12.12435565298214
251016,2025-09-04,boss,1116.0,318.0,439.0,detected,0.0
251016,2025-09-04,field,1116.0,622.0,135.0,detected,9.1104335791443
251016,2025-09-04,coin_dark,1116.0,703.0,54.0,detected,0.0
251016,2025-09-04,coin_light,1116.0,692.0,65.0,detected,7.810249675906654
251016,2025-09-04,other,1116.0,755.0,2.0,detected,13.379088160259652
251016,2025-09-11,boss,1165.0,337.0,420.0,detected,0.0
251016,2025-09-11,field,1165.0,622.0,135.0,detected,4.358898943540674
251016,2025-09-11,coin_dark,1165.0,703.0,54.0,detected,0.0
251016,2025-09-11,coin_light,1165.0,699.0,58.0,detected,6.6332495807108
251016,2025-09-11,other,1165.0,755.0,2.0,detected,15.0996688705415
251016,2025-09-18,boss,1214.0,336.0,421.0,detected,0.0
251016,2025-09-18,field,1214.0,618.0,139.0,detected,10.488088481701515
251016,2025-09-18,coin_dark,1214.0,703.0,54.0,detected,0.0
251016,2025-09-18,coin_light,1214.0,700.0,57.0,detected,4.123105625617661
251016,2025-09-18,other,1214.0,754.0,3.0,detected,16.186414056238647
251016,2025-09-25,boss,1263.0,356.0,401.0,detected,0.0
251016,2025-09-25,field,1263.0,626.0,131.0,detected,11.357816691600547
251016,2025-09-25,coin_dark,1263.0,703.0,54.0,detected,0.0
251016,2025-09-25,coin_light,1263.0,695.0,62.0,detected,3.3166247903554
251016,2025-09-25,other,1263.0,756.0,1.0,detected,16.822603841260722
251016,2025-10-02,boss,1312.0,349.0,408.0,detected,0.0
251016,2025-10-02,field,1312.0,632.0,125.0,detected,89.7217922246318
251016,2025-10-02,coin_dark,1312.0,703.0,,unresolved,999.0
251016,2025-10-02,coin_light,1312.0,705.0,52.0,detected,34.942810419312295
251016,2025-10-02,other,1312.0,756.0,,unresolved,103.35859906171329
260910,2025-08-21,boss,192.0,577.5,136.5,detected,
260910,2025-08-21,field,192.0,,,unresolved_overlap_or_zero,
260910,2025-08-21,coin_dark,192.0,,,unresolved_overlap_or_zero,
260910,2025-08-21,coin_light,192.0,677.5,36.5,detected,
260910,2025-08-21,other,192.0,,,below_resolution_at_axis,
260910,2025-08-28,boss,210.03846153846155,569.5,144.5,detected,
260910,2025-08-28,field,210.03846153846155,673.5,40.5,detected,
260910,2025-08-28,coin_dark,210.03846153846155,,,unresolved_overlap_or_zero,
260910,2025-08-28,coin_light,210.03846153846155,670.0,44.0,detected,
260910,2025-08-28,other,210.03846153846155,,,below_resolution_at_axis,
260910,2025-09-04,boss,228.0769230769231,572.5,141.5,detected,
260910,2025-09-04,field,228.0769230769231,670.5,43.5,detected,
260910,2025-09-04,coin_dark,228.0769230769231,,,unresolved_overlap_or_zero,
260910,2025-09-04,coin_light,228.0769230769231,676.0,38.0,detected,
260910,2025-09-04,other,228.0769230769231,,,below_resolution_at_axis,
260910,2025-09-11,boss,246.1153846153846,578.0,136.0,detected,
