date,source,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high,A_accounts,C_accounts,weight_status
2025-04-17,251016,0.20969855832241152,0.20155038759689922,0.21808510638297873,False,,221.0,80.0,43.0,36.0,1.5,361.98826765390567,75.90841785665125,72.95887565117478,78.9442498606922,295193.0,100353.0,valid
2025-04-24,251016,0.21807747489239598,0.20903954802259886,0.22740524781341107,False,,200.0,76.0,37.0,34.0,1.5,348.031911270665,75.89792039188103,72.75243342946104,79.14428302948066,303741.0,75810.0,valid
2025-05-01,251016,0.20871862615587847,0.20052083333333334,0.21715817694369974,False,,221.0,79.0,37.0,40.0,1.5,365.18841393893723,76.22162404537924,73.22788508671398,79.30365021194079,293825.0,65100.0,valid
2025-05-08,251016,0.21925925925925926,0.2099125364431487,0.2289156626506024,False,,200.0,74.0,35.0,27.0,1.5,333.7660741167058,73.18130217669994,70.06168319650968,76.40428202671578,289371.0,55532.0,valid
2025-05-15,251016,0.22056631892697467,0.21114369501466276,0.23030303030303031,False,,197.0,74.0,35.0,28.0,1.5,328.4244796497825,72.43937852185962,69.344758166523,75.63715288904082,273292.0,45589.0,valid
2025-05-22,251016,0.20566318926974664,0.19648093841642228,0.21515151515151515,False,,198.0,69.0,37.0,30.0,1.5,326.9885590621799,67.24950991144684,64.24701893597083,70.3520839194387,277449.0,,season_end_boundary
2025-05-29,251016,0.1989247311827957,0.1909814323607427,0.20708446866485014,False,,220.0,74.0,38.0,39.0,1.0,357.8356270811063,71.18235592473619,68.33996060965424,74.10220070344435,293845.0,0.0,outside_season
2025-06-05,251016,0.21779548472775564,0.2094240837696335,0.22641509433962265,False,,226.0,82.0,38.0,29.0,1.5,379.89398765459913,82.73919518639343,79.55895029415689,86.0137330538715,316173.0,0.0,outside_season
2025-06-12,251016,0.21721854304635763,0.20887728459530025,0.22580645161290322,False,,230.0,82.0,36.0,28.0,1.5,372.5412007967682,80.92285686181455,77.81539442230144,84.1222066315283,425334.0,0.0,outside_season
2025-06-19,251016,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735,485195.0,,missing_challenger_count
2025-06-26,251016,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626,503920.0,650456.0,valid
2025-07-03,251016,0.2097560975609756,0.20450885668276972,0.21510673234811165,False,,357.0,129.0,32.0,94.0,3.0,602.928522342138,126.46793395469236,123.30422276562241,129.6939842804927,428441.0,619598.0,valid
2025-07-10,251016,0.22564935064935066,0.2202572347266881,0.23114754098360657,False,,363.0,139.0,32.0,79.0,3.0,601.0859960296799,135.63466468851544,132.3935393184343,138.9395499019424,407155.0,563148.0,valid
2025-07-17,251016,0.24390243902439024,0.23832528180354268,0.24958949096880131,False,,396.0,150.0,32.0,33.0,4.0,641.9197524352288,156.56579327688507,152.98570589438626,160.2164242531277,385353.0,531711.0,valid
2025-07-24,251016,0.22551928783382788,0.22058823529411764,0.23053892215568864,False,,399.0,152.0,40.0,80.0,3.0,659.2998882521753,148.68484126755288,145.4337988791563,151.99428561502245,395405.0,503401.0,valid
2025-07-31,251016,0.2042857142857143,0.19971671388101983,0.20893371757925072,False,,427.0,143.0,42.0,85.0,3.0,681.3582488256682,139.19175654581508,136.07863043118869,142.358711930435,379237.0,471778.0,valid
2025-08-07,251016,0.21745788667687596,0.212443095599393,0.22256568778979907,False,,404.0,142.0,42.0,62.0,3.0,639.6924566312928,139.10616974218004,135.8982457183323,142.3735915840899,370004.0,439788.0,valid
2025-08-14,251016,0.22442748091603054,0.21936459909228442,0.2295839753466872,False,,403.0,147.0,42.0,60.0,3.0,642.1433855839031,144.11462241348664,140.86352633837512,147.42583120493305,368453.0,410441.0,valid
2025-08-21,251016,0.19004524886877827,0.18535127055306427,0.1948249619482496,False,,421.0,126.0,46.0,67.0,3.0,642.2141650989681,122.04975083328806,119.03521146826913,125.11935027803335,363337.0,388357.0,valid
2025-08-28,260910,0.1683991683991684,0.1515748031496063,0.18722466960352424,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,144.5,40.5,10.0,44.0,1.5,691.9601166145297,116.5255082032784,104.88371846322597,129.55200421197142,356257.0,356370.0,valid
2025-09-04,260910,0.18550106609808104,0.16733870967741934,0.20588235294117646,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,141.5,43.5,10.0,38.0,1.5,669.1036040626165,124.11943188368366,111.96693374434912,137.7566243658328,350337.0,332895.0,valid
2025-09-11,260910,0.19162995594713655,0.17255717255717257,0.21311475409836064,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,136.0,43.5,10.0,36.0,1.5,651.9471013943443,124.93259432006155,112.49814847345235,138.93954619879466,344546.0,309117.0,valid
2025-09-18,260910,0.19383259911894274,0.17463617463617465,0.2154566744730679,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,136.0,44.0,10.0,35.5,1.5,656.3050864938896,127.21332073009314,114.61460969955661,141.40531137573265,354888.0,288952.0,valid
2025-09-25,260910,0.19004524886877827,0.17057569296375266,0.21204819277108433,False,unresolved_dark_coin_0_to_20px_visual_band;other_axis_band,130.0,42.0,10.0,37.5,1.5,628.1287404110743,119.37288279305484,107.1434951660681,133.19356423174588,337959.0,240758.0,valid
