date,source,field_share,field_share_low,field_share_high,field_interpolated,notes,boss_height,field_height,coin_dark_height,coin_light_height,other_height,P_total,F_field,F_field_low,F_field_high,A_accounts,C_accounts,weight_status,main_counterfactual,C_field_signed_excess,C_field_low,C_field_high,feasible,C_field_per_account,season,method,main_drift_assumed
2025-06-19,251016,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735,485195.0,,missing_challenger_count,70.45332239188326,66.06035374675719,62.39719606861837,69.81072946485173,True,,2,flat_total,-0.1
2025-06-26,251016,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626,503920.0,650456.0,valid,70.45332239188326,54.224844243746944,51.104167600747246,57.406313288883,True,8.336435399742172e-05,2,flat_total,-0.1
2025-07-03,251016,0.2097560975609756,0.20450885668276972,0.21510673234811165,False,,357.0,129.0,32.0,94.0,3.0,602.928522342138,126.46793395469236,123.30422276562241,129.6939842804927,428441.0,619598.0,valid,70.45332239188326,56.014611562809094,52.85090037373915,59.24066188860945,True,9.040476496504039e-05,2,flat_total,-0.1
2025-07-10,251016,0.22564935064935066,0.2202572347266881,0.23114754098360657,False,,363.0,139.0,32.0,79.0,3.0,601.0859960296799,135.63466468851544,132.3935393184343,138.9395499019424,407155.0,563148.0,valid,70.45332239188326,65.18134229663218,61.940216926551045,68.48622751005914,True,0.00011574460407678297,2,flat_total,-0.1
2025-06-19,251016,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735,485195.0,,missing_challenger_count,78.28146932431473,58.23220681432572,54.569049136186905,61.98258253242027,True,,2,flat_total,0.0
2025-06-26,251016,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626,503920.0,650456.0,valid,78.28146932431473,46.39669731131548,43.27602066831578,49.57816635645153,True,7.132949394165859e-05,2,flat_total,0.0
2025-07-03,251016,0.2097560975609756,0.20450885668276972,0.21510673234811165,False,,357.0,129.0,32.0,94.0,3.0,602.928522342138,126.46793395469236,123.30422276562241,129.6939842804927,428441.0,619598.0,valid,78.28146932431473,48.18646463037763,45.022753441307685,51.412514956177986,True,7.777052965047923e-05,2,flat_total,0.0
2025-07-10,251016,0.22564935064935066,0.2202572347266881,0.23114754098360657,False,,363.0,139.0,32.0,79.0,3.0,601.0859960296799,135.63466468851544,132.3935393184343,138.9395499019424,407155.0,563148.0,valid,78.28146932431473,57.353195364200715,54.11206999411958,60.65808057762767,True,0.00010184391201638062,2,flat_total,0.0
2025-06-19,251016,0.2549019607843137,0.24806201550387597,0.2619047619047619,False,,276.0,130.0,31.0,70.0,3.0,535.5536525438972,136.51367613864045,132.85051846050163,140.264051856735,485195.0,,missing_challenger_count,86.10961625674621,50.40405988189424,46.740902203755425,54.15443559998879,True,,2,flat_total,0.1
2025-06-26,251016,0.2057877813504823,0.20063694267515925,0.21103896103896103,False,,338.0,128.0,34.0,119.0,3.0,605.8579659950155,124.6781666356302,121.55748999263051,127.85963568076626,503920.0,650456.0,valid,86.10961625674621,38.568550378884,35.4478737358843,41.75001942402005,True,5.929463388589543e-05,2,flat_total,0.1
