season,method,main_drift_assumed,pre_weeks,post_weeks,post_field_mean,main_counterfactual_mean,signed_excess_mean,signed_share,valid_field_weeks,feasible_weeks,count_observed_weeks
2,flat_total,-0.1,6,4,130.8236103543696,70.45332239188326,60.37028796248635,0.4614632465726775,4,4,3
2,flat_total,0.0,6,4,130.8236103543696,78.28146932431473,52.54214103005488,0.40162582952519726,4,4,3
2,flat_total,0.1,6,4,130.8236103543696,86.10961625674621,44.7139940976234,0.3417884124777169,4,4,3
2,linear_total,-0.1,6,4,130.8236103543696,76.61234157161653,54.211268782753095,0.414384442043052,4,4,3
2,linear_total,0.0,6,4,130.8236103543696,85.12482396846279,45.69878638590682,0.3493160467145023,4,4,3
2,linear_total,0.1,6,4,130.8236103543696,93.63730636530909,37.186303989060534,0.2842476513859525,4,4,3
2,flat_per_account,-0.1,6,4,130.8236103543696,95.00240161580577,35.82120873856384,0.27381302688049064,4,4,3
2,flat_per_account,0.0,6,4,130.8236103543696,105.55822401756197,25.265386336807644,0.1931255854227674,4,4,3
2,flat_per_account,0.1,6,4,130.8236103543696,116.11404641931819,14.709563935051435,0.11243814396504404,4,3,3
3,flat_total,-0.1,6,4,98.37282774833947,70.37701845349734,27.99580929484213,0.28458884364351006,4,4,3
3,flat_total,0.0,6,4,98.37282774833947,78.1966871705526,20.176140577786878,0.2050987151594557,4,4,3
3,flat_total,0.1,6,4,98.37282774833947,86.01635588760786,12.356471860731613,0.12560858667540123,4,4,3
3,linear_total,-0.1,6,4,98.37282774833947,66.899545046431,31.473282701908484,0.31993878210377813,4,4,3
3,linear_total,0.0,6,4,98.37282774833947,74.33282782936776,24.039999918971713,0.24437642455975356,4,4,3
3,linear_total,0.1,6,4,98.37282774833947,81.76611061230454,16.60671713603493,0.16881406701572885,4,4,3
3,flat_per_account,-0.1,6,4,98.37282774833947,75.43625351332321,22.936574235016266,0.23315965150146284,4,4,3
3,flat_per_account,0.0,6,4,98.37282774833947,83.81805945924799,14.554768289091466,0.14795516833495873,4,4,3
3,flat_per_account,0.1,6,4,98.37282774833947,92.19986540517282,6.172962343166663,0.06275068516845458,4,3,3
4,flat_total,-0.1,6,5,165.54318047873676,99.69335763318713,65.84982284554962,0.3977803413895852,5,5,4
4,flat_total,0.0,6,5,165.54318047873676,110.77039737020793,54.77278310852883,0.330867045988428,5,5,4
4,flat_total,0.1,6,5,165.54318047873676,121.84743710722873,43.69574337150803,0.2639537505872708,5,5,4
4,linear_total,-0.1,6,5,165.54318047873676,104.27322740937659,61.26995306936017,0.3701146304678495,5,5,4
4,linear_total,0.0,6,5,165.54318047873676,115.85914156597399,49.68403891276277,0.30012736718649946,5,5,4
4,linear_total,0.1,6,5,165.54318047873676,127.4450557225714,38.09812475616537,0.23014010390514933,5,5,4
4,flat_per_account,-0.1,6,5,165.54318047873676,117.3091807065467,48.23399977219005,0.29136808675960824,5,5,4
4,flat_per_account,0.0,6,5,165.54318047873676,130.3435341183852,35.19964636035154,0.21263120751067585,5,5,4
4,flat_per_account,0.1,6,5,165.54318047873676,143.37788753022375,22.165292948513006,0.13389432826174338,5,3,4
