comparison,zero_y,fit,scale,intercept_px,train_MAPE,holdout_MAPE,holdout_bias
2504_sum_to_2510_total,748.0,one_scale_2024JanSep,0.24608501118568232,0.0,4.37445163226235,7.227142204317978,7.612310296874051
2504_sum_to_2510_total,750.0,one_scale_2024JanSep,0.2505592841163311,0.0,4.234346966526558,7.783484590724633,7.99969142945306
2504_sum_to_2510_total,752.0,one_scale_2024JanSep,0.2550335570469799,0.0,4.0995360862718115,8.327601016770803,8.219193662810106
2504_sum_to_2510_total,778.3827686,one_scale_2024JanSep,0.31405541073825494,0.0,2.7942758965106633,14.530449828330362,16.09741836499426
2504_sum_to_2510_total,764.9057820012641,free_zero_2024JanSep,0.28497644376204195,-764.9057820012641,3.3919685542746305,11.991565328476753,12.405021732955975
