date,season,first_leap,baseline_date,low2_current,low2_main_baseline,challenger_low2_increment,low2_increment_3week_baseline,low2_increment_main_minus5pct,low2_increment_main_plus5pct,cap_tier,cap_prefix_current,cap_prefix_main_baseline,challenger_cap_excess_if_main_prefix_stable,observed_stack_total,cap_excess_share_if_main_prefix_stable,C_observed,challenger_low2_mean_per_100k,challenger_cap_mean_per_100k,negative_increment,interpretation
2024-12-19,1,2025-01-16,2024-12-12,203.18550163746647,167.8488926570375,35.33660898042896,44.17076122553618,43.729053613280854,26.944164347577072,3,212.01965388257372,176.68304490214476,35.33660898042896,217.9090887126452,0.16216216216216223,173213.0,20.40066795242214,20.40066795242214,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2024-12-26,1,2025-01-16,2024-12-12,220.85380612768097,167.8488926570375,53.00491347064346,61.83906571575068,61.39735810349535,44.61246883779157,3,229.6879583727882,176.68304490214476,53.00491347064343,235.5773932028597,0.225,340543.0,15.564822495439183,15.564822495439174,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2025-01-02,1,2025-01-16,2024-12-12,229.68795837278822,167.8488926570375,61.839065715750706,70.67321796085793,70.2315103486026,53.446621082898815,3,241.46682803293118,176.68304490214476,64.78378313078642,244.41154544796692,0.26506024096385544,351168.0,17.6095389431129,18.448088416594455,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2025-01-09,1,2025-01-16,2024-12-12,229.6879583727882,167.8488926570375,61.83906571575068,70.6732179608579,70.23151034860257,53.44662108289879,3,241.46682803293118,176.68304490214476,64.78378313078642,244.41154544796692,0.26506024096385544,330152.0,18.730483448760168,19.622411232034462,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2025-06-19,2,2025-07-17,2025-06-12,229.68795837278822,173.73832748710902,55.9496308856792,65.76535560246501,64.63654726003466,47.262714511323736,3,256.1904151081099,200.24078422243073,55.94963088567917,273.8587195983244,0.20430107526881716,,,,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2025-06-26,2,2025-07-17,2025-06-12,276.8034370133601,173.73832748710902,103.06510952625109,112.8808342430369,111.75202590060655,94.37819315189563,3,303.3058937486818,200.24078422243073,103.06510952625106,326.86363306896783,0.31531531531531515,650456.0,15.845054780992273,15.845054780992267,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2025-07-03,2,2025-07-17,2025-06-12,294.4717415035746,173.73832748710902,120.73341401646559,130.5491387332514,129.42033039082105,112.04649764211013,3,323.91891565393206,200.24078422243073,123.67813143150133,341.58722014414656,0.3620689655172413,619598.0,19.485765611971892,19.96102818787364,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2025-07-10,2,2025-07-17,2025-06-12,309.19532857875333,173.73832748710902,135.45700109164432,145.27272580843012,144.14391746599978,126.77008471728885,3,338.6425027291108,200.24078422243073,138.40171850668006,362.20024204939676,0.38211382113821135,563148.0,24.053534966233443,24.576437900281995,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2025-12-18,3,2026-01-15,2025-12-11,153.12530558185878,138.40171850668006,14.723587075178727,17.668304490214467,21.643673000512734,7.80350114984472,3,212.01965388257372,200.2407842224307,11.778869660143016,297.4164589186104,0.03960396039603971,,,,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2025-12-25,3,2026-01-15,2025-12-11,167.84889265703754,138.40171850668006,29.447174150357483,32.39189156539322,36.36726007569149,22.527088225023476,3,229.6879583727882,200.2407842224307,29.447174150357483,318.0294808238606,0.09259259259259266,289845.0,10.159628128950814,10.159628128950814,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2026-01-01,3,2026-01-15,2025-12-11,170.79361007207328,138.40171850668006,32.39189156539322,35.33660898042896,39.31197749072723,25.471805640059216,3,235.5773932028597,200.2407842224307,35.33660898042899,323.91891565393206,0.10909090909090921,283614.0,11.421118691388022,12.45940220878694,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2026-01-08,3,2026-01-15,2025-12-11,170.79361007207325,138.40171850668006,32.391891565393195,35.336608980428935,39.3119774907272,25.471805640059188,3,235.5773932028597,200.2407842224307,35.33660898042899,326.86363306896783,0.10810810810810823,257052.0,12.60129917891835,13.74687183154731,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2026-06-18,4,2026-07-23,2026-06-11,244.41154544796692,161.95945782696603,82.45208762100089,86.37837750771521,90.5500605123492,74.35411472965257,4,468.2100689906836,371.034394294504,97.17567469617961,609.5565049123994,0.15942028985507245,,,,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2026-06-25,4,2026-07-23,2026-06-11,285.63758925846736,161.95945782696603,123.67813143150133,127.60442131821566,131.77610432284965,115.58015854015301,4,538.8832869515415,371.034394294504,167.84889265703754,680.2297228732573,0.24675324675324678,472376.0,26.18213699076611,35.53290020175402,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
2026-07-02,4,2026-07-23,2026-06-11,294.4717415035746,161.95945782696603,132.51228367660858,136.4385735633229,140.6102565679569,124.41431078526026,4,577.1646133470063,371.034394294504,206.13021905250224,724.4004840987935,0.28455284552845533,450911.0,29.38768042398801,45.714169548425794,False,User-assumed stable main band before first leap; season-boss coverage not yet reconciled
