date,x_pixel,B_existing_weekly,B_digitized_raw,B_digitized_constrained,tier1_raw,tier1,tier2_raw,tier2,tier3_raw,tier3,tier4_raw,tier4,tier5_raw,tier5,tier6_raw,tier6,tier7_raw,tier7
2024-08-22,141.5,156.4189853098542,161.95945782696603,161.95945782696603,73.61793537589365,73.61793537589365,79.50737020596515,79.50737020596515,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,2.944717415035746,2.944717415035746,0.0,0.0
2024-08-29,147.96153846153845,156.4189853098542,164.90417524200177,164.90417524200177,70.6732179608579,70.6732179608579,82.45208762100089,82.45208762100089,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-09-05,154.42307692307693,158.65362672835002,167.8488926570375,167.8488926570375,73.61793537589365,73.61793537589365,82.45208762100089,82.45208762100089,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-09-12,160.8846153846154,167.59219240233315,176.68304490214476,176.68304490214476,76.56265279092939,76.56265279092939,88.34152245107238,88.34152245107238,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-09-19,167.34615384615384,174.2958455048726,179.6277623171805,179.6277623171805,79.50737020596515,79.50737020596515,88.34152245107238,88.34152245107238,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-09-26,173.80769230769232,176.5307580763163,182.57247973221627,182.57247973221627,79.50737020596515,79.50737020596515,91.28623986610813,91.28623986610813,8.834152245107237,8.834152245107237,0.0,0.0,0.0,0.0,2.944717415035746,2.944717415035746,0.0,0.0
2024-10-03,180.26923076923077,178.76539949481204,188.46191456228775,188.46191456228775,82.45208762100089,82.45208762100089,91.28623986610813,91.28623986610813,0.0,0.0,0.0,0.0,2.944717415035746,2.944717415035746,11.778869660142984,11.778869660142984,0.0,0.0
2024-10-10,186.73076923076923,177.63590867016657,188.46191456228775,188.46191456228775,79.50737020596515,79.50737020596515,94.23095728114387,94.23095728114387,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,8.834152245107237,8.834152245107237,0.0,0.0
2024-10-17,193.19230769230768,167.59219240233318,176.68304490214476,176.68304490214476,70.6732179608579,70.6732179608579,91.28623986610813,91.28623986610813,8.834152245107237,8.834152245107237,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-10-24,199.65384615384616,164.97531002270168,173.73832748710902,173.73832748710902,70.6732179608579,70.6732179608579,91.28623986610813,91.28623986610813,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
2024-10-31,206.1153846153846,156.4189853098542,164.90417524200177,164.90417524200177,61.839065715750664,61.839065715750664,91.28623986610813,91.28623986610813,5.889434830071492,5.889434830071492,0.0,0.0,0.0,0.0,5.889434830071492,5.889434830071492,0.0,0.0
