source,rule,n,weekly_change_corr,same_direction
2504,all,71,0.11329790893344766,0.5915492957746479
2504,exclude_week_containing_1_or_2,37,0.5660935569668213,0.6756756756756757
2510,all,24,0.8720058170582887,0.8333333333333334
2510,exclude_week_containing_1_or_2,12,0.9585465158060281,0.8333333333333334
2609,all,52,0.5279799484699742,0.5769230769230769
2609,exclude_week_containing_1_or_2,25,0.9176445645800068,0.64
