source,date,x_pixel,y_pixel,week_contains_day_1_or_2,date_itself_day_1_or_2,method
2311_HardDamian_HardJinHilla,2023-04-06,130.44859813083687,1042.7930574098805,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-04-13,181.4766355140237,1035.0066755674218,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-04-20,232.50467289719342,1032.2136181575438,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-04-27,283.53271028036477,1027.0,True,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-05-04,334.5607476635544,1023.0,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-05-11,385.5887850467241,1017.0,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-05-18,436.61682242991424,1009.0547396528694,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-05-25,487.6448598130851,999.7650200267021,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-06-01,538.6728971962661,987.9506008010668,True,True,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-06-08,589.7009345794421,974.3711615487308,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-06-15,640.7289719626158,962.7917222963955,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-06-22,691.757009345794,948.8184245660883,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-06-29,742.78504672897,909.8985313751687,True,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-07-06,793.8130841121465,878.1068090787735,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-07-13,844.8411214953219,852.2109479305764,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-07-20,895.8691588785075,827.8945260347122,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-07-27,946.8971962616772,794.9452603471339,True,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-08-03,997.9252336448685,762.7356475300376,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-08-10,1048.9532710280382,746.5781041388517,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-08-17,1099.981308411208,736.7116154873154,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-08-24,1151.0093457943992,741.9959946595433,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-08-31,1202.037383177569,724.1268357810419,True,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-09-07,1253.0654205607511,709.8384512683568,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-09-14,1304.093457943927,673.7770360480625,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-09-21,1355.121495327103,648.6795727636849,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-09-28,1406.149532710279,647.4499332443256,True,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-10-05,1457.1775700934606,649.0,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-10-12,1508.2056074766308,642.0,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-10-19,1559.2336448598069,636.6809078771704,False,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-10-26,1610.2616822429911,633.3911882510013,True,False,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2311_HardDamian_HardJinHilla,2023-11-02,1648.0,626.0,True,True,printed Apr/Nov tick endpoints to Thursdays; screen line trace
2504_boss_bars,2023-03-30,133.0,682.0,True,False,weekly bar centers; pixels detected
2504_boss_bars,2023-04-06,140.96,682.0,False,False,weekly bar centers; pixels detected
2504_boss_bars,2023-04-13,148.92000000000002,680.0,False,False,weekly bar centers; pixels detected
2504_boss_bars,2023-04-20,156.88000000000002,673.0,False,False,weekly bar centers; pixels detected
2504_boss_bars,2023-04-27,164.84000000000003,669.0,True,False,weekly bar centers; pixels detected
2504_boss_bars,2023-05-04,172.8,668.0,False,False,weekly bar centers; pixels detected
2504_boss_bars,2023-05-11,180.76000000000005,670.0,False,False,weekly bar centers; pixels detected
2504_boss_bars,2023-05-18,188.72000000000003,668.0,False,False,weekly bar centers; pixels detected
2504_boss_bars,2023-05-25,196.68000000000006,666.0,False,False,weekly bar centers; pixels detected
2504_boss_bars,2023-06-01,204.64000000000007,663.0,True,True,weekly bar centers; pixels detected
2504_boss_bars,2023-06-08,212.60000000000008,654.0,False,False,weekly bar centers; pixels detected
