date,total_px,ratio_source_sum_over_boss,source_sum_height,month,october_total_y,ratio_times_bar,source_sum_only_predicted_negative_y,ratio_with_bar_free_origin_predicted_negative_y,thursday,contains_month_day_1_or_2,date_is_1_or_2
2023-03-30 00:00:00.000000000,82,1.3877552866546907,136.0000591010728,2.935483870967742,733.0,113.79593350568464,-728.9163000811457,-707.2126735636677,2023-03-30,True,False
2023-04-06 00:00:00.000000000,82,1.4270835096873915,137.0000591010728,3.1666666666666665,732.3543650793652,117.02084779436612,-728.614900612596,-709.7108667921984,2023-04-06,False,False
2023-04-13 00:00:00.000000001,84,1.4242425961004053,141.0000591010728,3.4,731.047142857143,119.63637807243404,-727.4093027383972,-708.5878804598025,2023-04-13,False,False
2023-04-20 00:00:00.000000001,91,1.4271846303592373,147.0000591010728,3.633333333333333,727.7399206349207,129.8738013626906,-725.6009059270991,-705.4671580248831,2023-04-20,False,False
2023-04-27 00:00:00.000000002,95,1.4054058299199377,156.0000886516092,3.8666666666666663,725.4326984126985,133.51355384239406,-722.8883018036361,-702.2884674912457,2023-04-27,True,False
2023-05-04 00:00:00.000000002,96,1.4107147050377942,158.0000886516092,4.096774193548387,725.0,135.42861168362825,-722.2855028665367,-702.1360724347243,2023-05-04,False,False
2023-05-11 00:00:00.000000003,94,1.414414836530559,157.0000886516092,4.32258064516129,725.0,132.9549946338726,-722.5869023350864,-703.2899933831255,2023-05-11,False,False
2023-05-18 00:00:00.000000003,96,1.4107147050377942,158.0000886516092,4.548387096774194,724.8484639016898,135.42861168362825,-722.2855028665367,-702.1360724347243,2023-05-18,False,False
2023-05-25 00:00:00.000000005,98,1.4298249684167932,163.0000886516092,4.774193548387097,722.6801843317972,140.12284690484574,-720.7785055237883,-702.3152398560501,2023-05-25,False,False
2023-06-01 00:00:00.000000005,101,1.4067800600042697,166.0000886516092,5.0,721.0,142.08478606043124,-719.8743071181393,-699.576937781498,2023-06-01,True,True
2023-06-08 00:00:00.000000005,110,1.4230772815300938,185.0000886516092,5.233333333333333,713.6140476190478,156.53850096831033,-714.1477172156954,-696.2718052706,2023-06-08,False,False
2023-06-15 00:00:00.000000007,133,1.5000003212014137,207.0000886516092,5.466666666666667,701.8974603174604,199.500042719788,-707.5169289076024,-689.0297980461123,2023-06-15,False,False
2023-06-22 00:00:00.000000007,146,1.478261148870803,238.0000886516092,5.7,696.1804761904763,215.82612773513725,-698.1735453825623,-681.6569569159094,2023-06-22,False,False
2023-06-29 00:00:00.000000007,161,1.4525142219499152,260.0000886516092,5.933333333333334,688.5660317460319,233.85478973393637,-691.5427570744694,-673.35743462437,2023-06-29,True,False
2023-07-06 00:00:00.000000007,172,1.4603177010499355,276.0000886516092,6.161290322580645,680.0750384024578,251.1746445805889,-686.7203655776744,-668.3339386114569,2023-07-06,False,False
2023-07-13 00:00:00.000000010,213,1.742574441374256,352.0000886516092,6.387096774193548,655.0,371.1683560127166,-663.8140059678988,-654.2173833854306,2023-07-13,False,False
2023-07-20 00:00:00.000000010,214,1.71153864459002,356.0000886516092,6.612903225806452,654.0,366.26926994226426,-662.6084080937001,-653.0248966474437,2023-07-20,False,False
2023-07-27 00:00:00.000000014,213,1.649769769124551,358.0000886516092,6.838709677419355,654.0,351.4009608235294,-662.0056091566007,-652.3450085244295,2023-07-27,True,False
2023-08-03 00:00:00.000000010,215,1.6278028724177631,363.0000886516092,7.064516129032258,652.401920122888,349.9776175698191,-660.4986118138523,-650.8245790159342,2023-08-03,False,False
2023-08-10 00:00:00.000000008,220,1.6444446224772824,370.0000886516092,7.290322580645161,650.0,361.7778169450021,-658.3888155340045,-648.4286934327537,2023-08-10,False,False
2023-08-17 00:00:00.000000010,211,1.6244345730710237,359.0000886516092,7.516129032258064,654.0,342.755694917986,-661.704209688051,-652.9088685654751,2023-08-17,False,False
2023-08-24 00:00:00.000000014,211,1.6081082933835429,357.0000886516092,7.741935483870968,654.0,339.31084990392753,-662.3070086251504,-652.5686744218652,2023-08-24,False,False
2023-08-31 00:00:00.000000014,209,1.59555574000925,359.0000886516092,7.967741935483871,654.0,333.4711496619332,-661.704209688051,-653.3630116529806,2023-08-31,True,False
2023-09-07 00:00:00.000000014,200,1.5590911026346854,343.0000886516092,8.2,659.1171428571427,311.81822052693707,-666.526601184846,-657.222006339194,2023-09-07,False,False
2023-09-14 00:00:00.000000014,197,1.5504589120858565,338.0000886516092,8.433333333333334,661.0,305.44040568091367,-668.0335985275943,-658.5497967722926,2023-09-14,False,False
2023-09-21 00:00:00.000000016,199,1.5200001943768362,342.0000886516092,8.666666666666666,659.8269841269843,302.4800386809904,-666.8280006533955,-656.7681277584146,2023-09-21,False,False
2023-09-28 00:00:00.000000014,208,1.5106384851550283,355.0000886516092,8.9,655.0,314.2128049122459,-662.9098075622497,-652.0372275122218,2023-09-28,True,False
2023-10-05 00:00:00.000000014,192,1.4977377574328283,331.0000886516092,9.129032258064516,662.8322580645158,287.56564942710304,-670.1433948074421,-659.6849185504213,2023-10-05,False,False
2023-10-12 00:00:00.000000014,191,1.520737528631334,330.0000886516092,9.35483870967742,664.8763440860214,290.4608679685848,-670.4447942759917,-660.8119581915992,2023-10-12,False,False
2023-10-19 00:00:00.000000022,191,1.5277779791895851,330.0000886516092,9.580645161290322,664.0,291.8055940252108,-670.4447942759917,-661.0052534265814,2023-10-19,False,False
2023-10-26 00:00:00.000000020,194,1.5113124162512064,334.0000886516092,9.806451612903226,662.2129032258064,293.19460875273404,-669.239196401793,-659.052971090817,2023-10-26,True,False
2024-01-04 00:00:00.000000020,199,1.437500192386281,345.0000886516092,12.096774193548388,660.0,286.0625382848699,-665.9238022477465,-654.7214795839941,2024-01-04,False,False
2024-02-01 00:00:00.000000028,193,1.4314517998041962,355.0000886516092,13.0,653.8357142857144,276.2701973622099,-662.9098075622497,-657.4133250500504,2024-02-01,True,True
2024-03-14 00:00:00.000000032,195,1.6108789564845538,385.0001182021456,14.419354838709678,658.0,314.121396514488,-653.8678145992434,-661.1547109053813,2024-03-14,False,False
2024-04-04 00:00:00.000000032,208,1.735931025560401,401.0001182021456,15.1,652.0707142857144,361.0736533165634,-649.0454231024485,-656.9553349838733,2024-04-04,False,False
2024-04-18 00:00:00.000000032,202,1.6403511830214397,374.0001182021456,15.566666666666666,658.45626984127,331.3509389703308,-657.1832087532898,-658.1254649046664,2024-04-18,False,False
2024-05-02 00:00:00.000000036,206,1.5943777955318337,397.0001182021456,16.032258064516128,653.1383256528417,328.4418258795577,-650.2510209766472,-654.9203639037205,2024-05-02,True,True
2024-05-16 00:00:00.000000028,209,1.5957449831788315,375.0001182021456,16.483870967741936,659.0,333.5107014843758,-656.8818092847401,-653.3670801891643,2024-05-16,False,False
2024-05-23 00:00:00.000000040,222,1.607595235007781,381.0001182021456,16.70967741935484,655.7136712749618,356.8861421717274,-655.0734124734421,-646.7067269473647,2024-05-23,False,False
2024-05-30 00:00:00.000000040,224,1.5877865316114577,416.0001182021456,16.93548387096774,648.377112135177,355.6641830809665,-644.5244310742033,-645.3153117000031,2024-05-30,True,False
2024-06-06 00:00:00.000000032,219,1.6303504670210691,419.0001182021456,17.166666666666668,647.0,357.04675227761413,-643.6202326685543,-648.716444539679,2024-06-06,False,False
2024-06-13 00:00:00.000000032,223,1.6000002781226632,408.0001182021456,17.4,648.0,356.8000620213539,-646.9356268226007,-646.0466936644543,2024-06-13,False,False
2024-06-27 00:00:00.000000040,240,1.542373127539635,455.0001182021456,17.866666666666667,635.0,370.1695506095125,-632.7698518007658,-636.3987496513208,2024-06-27,True,False
2024-07-04 00:00:00.000000048,234,1.5152544861883483,447.0001182021456,18.096774193548388,635.2483102918586,354.5695497680735,-635.1810475491632,-639.1021642460762,2024-07-04,False,False
2024-07-11 00:00:00.000000040,238,1.5190313955500103,439.0001182021456,18.32258064516129,638.0,361.5294721409025,-637.5922432975607,-637.1416094806806,2024-07-11,False,False
2024-07-18 00:00:00.000000040,242,1.5102043318870664,444.0001182021456,18.548387096774192,636.0,365.4694483166701,-636.0852459548123,-635.037710452343,2024-07-18,False,False
2024-07-25 00:00:00.000000048,259,1.5134230653680611,451.0001182021456,18.774193548387096,634.0,391.9765739303279,-633.9754496749645,-626.5586383223732,2024-07-25,False,False
2024-08-01 00:00:00.000000032,246,1.495327333378258,480.0001182021456,19.0,625.157142857143,367.85052401105145,-625.2348650870238,-632.901178316509,2024-08-01,True,True
2024-08-08 00:00:00.000000040,248,1.5145633444853928,468.0001182021456,19.225806451612904,631.0,375.6117094323774,-628.8516587096199,-632.076931237397,2024-08-08,False,False
2024-08-15 00:00:00.000000040,250,1.5484952255628128,463.0001182021456,19.451612903225808,628.0,387.1238063907032,-630.3586560523684,-631.3438010770393,2024-08-15,False,False
2024-08-22 00:00:00.000000048,267,1.5433335753193689,463.0001182021456,19.677419354838708,628.0,412.07006461027146,-630.3586560523684,-622.6214812728848,2024-08-22,False,False
2024-08-29 00:00:00.000000056,257,1.5294119907343682,494.0001182021456,19.90322580645161,622.4054531490017,393.05888161873264,-621.0152725273283,-627.6499828094167,2024-08-29,True,False
2024-09-05 00:00:00.000000040,265,1.507837221456887,481.0001182021456,20.133333333333333,623.0,399.5768636860751,-624.9334656184741,-623.5374197166946,2024-09-05,False,False
2024-09-12 00:00:00.000000040,272,1.5154323253713191,491.0001182021456,20.366666666666667,619.0,412.1975925009989,-621.9194709329772,-620.0499134979256,2024-09-12,False,False
2024-09-19 00:00:00.000000056,291,1.5166165359072914,502.0001182021456,20.6,614.5433333333334,441.3354119490218,-618.6040767789308,-610.5159404530064,2024-09-19,False,False
2024-09-26 00:00:00.000000040,289,1.5069639935112848,541.0001182021456,20.83333333333333,607.0,435.5125941247613,-606.8494975054932,-611.5675902011108,2024-09-26,True,False
2024-10-03 00:00:00.000000056,273,1.4889504812233707,539.0001182021456,21.06451612903226,603.0,406.4834813739802,-607.4522964425927,-619.539943732667,2024-10-03,False,False
2024-10-10 00:00:00.000000040,285,1.4661019064351637,519.0001182021456,21.29032258064516,609.1996927803377,417.8390433340216,-613.4802858135863,-613.7112120886499,2024-10-10,False,False
2024-10-17 00:00:00.000000056,289,1.4404764155812346,484.0001182021456,21.516129032258064,624.7359447004605,416.2976841029768,-624.0292672128251,-611.8981649626099,2024-10-17,False,False
2024-10-24 00:00:00.000000056,295,1.7812502972368132,570.000147752682,21.741935483870968,627.5362519201227,525.4688376848599,-598.1089040110367,-606.6674889267026,2024-10-24,False,False
2024-10-31 00:00:00.000000056,265,1.6238535161068488,531.000147752682,21.967741935483872,626.0,430.3211817683149,-609.8634832844741,-623.8819082031471,2024-10-31,True,False
2024-11-07 00:00:00.000000056,263,1.592357008591332,500.000147752682,22.2,631.0,418.7898932595203,-619.2068668095142,-624.8421658733665,2024-11-07,False,False
2024-11-14 00:00:00.000000056,258,1.5960915328577232,490.000147752682,22.433333333333334,634.0,411.79161547729257,-622.220861495011,-627.4963562871941,2024-11-14,False,False
2024-11-21 00:00:00.000000056,292,1.5855266476957863,482.000147752682,22.666666666666668,639.0,462.9737811271696,-624.6320572434084,-609.6030877567973,2024-11-21,False,False
2024-11-28 00:00:00.000000056,291,1.6253873056396757,525.000147752682,22.9,628.345714285715,472.9877059411456,-611.6718800957722,-609.903152923814,2024-11-28,True,False
2024-12-05 00:00:00.000000056,310,1.6333336348084757,539.000147752682,23.12903225806452,623.5758064516134,506.3334267906274,-607.4522875360767,-599.5898554832264,2024-12-05,False,False
2024-12-12 00:00:00.000000056,371,1.6608190019724842,568.000147752682,23.35483870967742,613.6903225806452,616.1638497317916,-598.711702948136,-565.7400604680226,2024-12-12,False,False
2024-12-19 00:00:00.000000056,434,1.7050940948156486,636.000147752682,23.580645161290324,589.610215053764,740.0108371499915,-578.2165390867577,-528.7744280127753,2024-12-19,False,False
2024-12-26 00:00:00.000000056,434,1.7692309852284105,782.000147752682,23.806451612903224,563.1225806451623,767.84624758913,-534.2122166785044,-525.37834124596,2024-12-26,True,False
2025-01-02 00:00:00.000000056,418,1.7398722736429062,816.000147752682,24.032258064516128,560.8145161290321,727.2666103827348,-523.9646347478154,-536.1441216776221,2025-01-02,True,True
2025-01-09 00:00:00.000000056,431,1.7247313909375146,802.000147752682,24.258064516129032,564.9655913978492,743.3592294940688,-528.1842273075108,-529.4466952292191,2025-01-09,False,False
2025-01-16 00:00:00.000000056,424,1.7219829673861242,799.000147752682,24.483870967741936,563.0,730.1207781717167,-529.0884257131598,-533.5779706135488,2025-01-16,False,False
2025-01-23 00:00:00.000000056,434,1.7274680186804194,805.000147752682,24.70967741935484,564.0,749.721120107302,-527.2800289018618,-527.5897153416452,2025-01-23,False,False
2025-01-30 00:00:00.000000056,424,1.731092639911693,824.000147752682,24.93548387096774,553.5618279569899,733.9832793225579,-521.5534389994178,-533.125750722457,2025-01-30,True,False
2025-02-06 00:00:00.000000056,425,1.6728397084760729,813.000147752682,25.178571428571427,555.9749149659863,710.9568761023309,-524.8688331534644,-535.4640059501711,2025-02-06,False,False
2025-02-13 00:00:00.000000056,434,1.6814348060451088,797.000147752682,25.428571428571427,561.0,729.7427058235772,-529.6912246502593,-530.0272015256288,2025-02-13,False,False
2025-02-20 00:00:00.000000056,434,1.7219919022134804,830.000147752682,25.678571428571427,549.0,747.3444855606505,-519.7450421881198,-527.8796789888884,2025-02-20,False,False
2025-02-27 00:00:00.000000056,417,1.7270918261278727,867.000147752682,25.928571428571427,544.819557823129,720.1972914953229,-508.5932618517816,-537.3246641847393,2025-02-27,True,False
2025-03-06 00:00:00.000000056,414,1.7145879430987074,811.000147752682,26.161290322580644,562.1154377880183,709.8394084428649,-525.4716320905637,-539.6184217451814,2025-03-06,False,False
2025-03-13 00:00:00.000000056,421,1.687635787162992,778.000147752682,26.387096774193548,565.0,710.4946663956196,-535.4178145527031,-536.9582744575154,2025-03-13,False,False
