date,season,share_before,share_after,change_percentage_points,M_mean_before,M_mean_after,C_mean_before,C_mean_after
2024-08-22,0,0.0,0.0,0.0,51.04976322960052,51.04976322960052,,
2024-08-29,0,0.0,0.0,0.0,53.764802142061264,53.764802142061264,,
2024-09-05,0,0.0,0.0,0.0,55.296942639392206,55.296942639392206,,
2024-09-12,0,0.0,0.0,0.0,57.71032480349651,57.71032480349651,,
2024-09-19,0,0.0,0.0,0.0,57.94855193503426,57.94855193503426,,
2024-09-26,0,0.0,0.0,0.0,58.20490185040943,58.20490185040943,,
2024-10-03,0,0.0,0.0,0.0,59.367619542757346,59.367619542757346,,
2024-10-10,0,0.0,0.0,0.0,61.12522811040692,61.12522811040692,,
2024-10-17,0,0.0,0.0,0.0,57.54004738542008,57.54004738542008,,
2024-10-24,0,0.0,0.0,0.0,58.99493967242757,58.99493967242757,,
2024-10-31,0,0.0,0.0,0.0,58.73366976129652,58.73366976129652,,
2024-11-07,0,0.0,0.0,0.0,61.381162245399985,61.381162245399985,,
2024-11-14,0,0.0,0.0,0.0,63.62510185623243,63.62510185623243,,
2024-11-21,0,0.0,0.0,0.0,60.70580966099913,60.70580966099913,,
2024-11-28,0,0.0,0.0,0.0,58.39507044838126,58.39507044838126,,
2024-12-05,0,0.0,0.0,0.0,64.12073129748815,64.12073129748815,,
2024-12-12,0,0.0,0.0,0.0,51.59192708566689,51.59192708566689,,
2024-12-19,1,0.16216216216216214,0.16216216216216214,0.0,48.3424409813502,48.3424409813502,20.40066795242213,20.40066795242213
2024-12-26,1,0.22499999999999995,0.22499999999999995,0.0,47.301756007455495,47.301756007455495,15.564822495439174,15.564822495439174
2025-01-02,1,0.2585899347624776,0.2585899347624776,0.0,50.06386960165899,50.06386960165899,17.997757652344774,17.997757652344774
2025-01-09,1,0.255864516990255,0.255864516990255,0.0,53.02858025782594,53.02858025782594,18.941651730986273,18.941651730986273
2025-01-16,1,0.2751697243937954,0.2751697243937954,0.0,53.63721330612448,53.63721330612448,22.426826703896854,22.426826703896854
2025-01-23,1,0.2636878547256072,0.2636878547256072,0.0,55.70994853781692,55.70994853781692,23.535574005004296,23.535574005004296
2025-01-30,1,0.27240561245627654,0.27240561245627654,0.0,57.53005863873589,57.53005863873589,26.828742083668345,26.828742083668345
2025-02-06,1,0.2681603445919669,0.2681603445919669,0.0,58.79347022763191,58.79347022763191,28.556241063275696,28.556241063275696
2025-02-13,1,0.2704609134183787,0.2704609134183787,0.0,58.847414565198086,58.847414565198086,31.60790356875228,31.60790356875228
2025-02-20,1,0.27423841068030147,0.27423841068030147,0.0,58.58017604768848,58.58017604768848,35.86928454351573,35.86928454351573
2025-02-27,1,0.26704379423431357,0.26704379423431357,0.0,58.13952938724489,58.13952938724489,30.42277174066411,30.42277174066411
2025-03-06,1,0.24418231841920732,0.24418231841920732,0.0,60.3211115626192,60.3211115626192,29.867586631490937,29.867586631490937
2025-03-13,1,0.2378234127981883,0.2378234127981883,0.0,64.22036347939394,64.22036347939394,32.739932441610115,32.739932441610115
2025-03-20,1,0.2366642099787272,0.2366642099787272,0.0,66.03454650898618,66.03454650898618,36.2835710418854,36.2835710418854
2025-03-27,1,0.21928036100779366,0.21928036100779366,0.0,68.28892013253666,68.28892013253666,39.201269411669735,39.201269411669735
