date,attempts,meso_cost,meso_per_attempt
2025-07-24,48725,3127128873400,64179145.68
2025-07-25,37323,2311256692900,61925801.59
2025-07-26,44773,2849237311400,63637400.03
2025-07-27,43340,2487357030500,57391717.36
2025-07-28,43681,3843378740100,87987425.66
2025-07-29,38875,2880701645000,74101650.03
2025-07-30,35919,3079034052100,85721597.26
2025-07-31,51644,3945948028500,76406708.01
2025-08-01,46042,4417664802200,95948586.12
2025-08-02,39509,3726139159100,94311148.32
2025-08-03,134921,7024594841400,52064503.24
2025-08-04,36044,4356882937900,120876787.76
2025-08-05,36835,4856399828100,131841993.43
2025-08-06,27264,2914464169600,106897893.54
2025-08-07,41777,4350290892200,104131241.88
2025-08-08,37489,3714154710900,99073187.09
2025-08-09,35993,2967755032200,82453672.44
2025-08-10,174643,40364122818800,231123622.58
2025-08-11,27457,2103787155100,76621158.72
2025-08-12,30132,3413030713300,113269305.5
2025-08-13,25866,2044439635100,79039651.86
2025-08-14,38586,3547857771800,91946762.34
2025-08-15,38632,3319405582400,85923731.17
2025-08-16,32985,2736785383000,82970604.3
2025-08-17,35883,2979158639800,83024235.43
2025-08-18,29496,2078907493700,70480997.21
2025-08-19,28859,2199648337500,76220532.16
2025-08-20,29725,2276348297200,76580262.31
2025-08-21,30178,2724210784000,90271415.73
2025-08-22,27416,2238600369800,81653062.8
2025-08-23,20993,1498915844700,71400745.23
2025-08-24,410594,54794858631600,133452653.06
2025-08-25,141882,1801139352600,12694629.01
2025-08-26,62036,1348562626600,21738387.82
2025-08-27,49207,1979044587800,40218761.31
2025-08-28,53024,3138342237500,59187202.73
2025-08-29,45651,2517958169900,55156692.51
2025-08-30,55776,2914193235300,52248157.55
2025-08-31,58718,2631396473300,44814136.61
2025-09-01,46048,3792315813000,82355711.71
2025-09-02,36391,2770116032900,76120909.92
2025-09-03,30831,2469137464900,80086194.57
2025-09-04,40658,3501385547300,86117997.62
2025-09-05,39711,3473196789700,87461831.47
2025-09-06,41685,2875026433400,68970287.48
2025-09-07,287949,65571407979800,227718825.14
2025-09-08,27888,1890598903100,67792559.63
2025-09-09,26509,2067961134900,78009775.36
2025-09-10,28044,2615103474200,93250016.91
2025-09-11,34065,2860512308800,83972179.91
2025-09-12,39905,3343885626500,83796156.53
2025-09-13,44394,4130181506000,93034678.24
2025-09-14,49991,4408050791700,88176887.67
2025-09-15,38330,3735949081700,97468016.74
2025-09-16,38865,4008708017200,103144423.45
2025-09-17,54805,4728672481000,86281771.39
2025-09-18,85369,7780641529500,91141298.71
2025-09-19,34034,3243025894800,95287826.73
2025-09-20,23452,1546190626200,65930011.35
2025-09-21,1064217,258387847297500,242796203.5
2025-09-22,16003,1353157323200,84556478.36
2025-09-23,18422,1857447912800,100827701.27
2025-09-24,18470,1556555569600,84274800.74
2025-09-25,22442,2535261453300,112969497.07
2025-09-26,23519,2432051531900,103407948.12
2025-09-27,28843,3209662856800,111280479.03
2025-09-28,32329,3530381350300,109201687.35
2025-09-29,36336,3135942096400,86303998.69
2025-09-30,23933,4118187455800,172071510.29
2025-10-01,29743,4260509082600,143244093.82
2025-10-02,30934,4410311748300,142571660.58
2025-10-03,35506,4238718344100,119380339.78
2025-10-04,27633,2999949384600,108564013.48
2025-10-05,229839,58033298531100,252495436.07
2025-10-06,26737,2878335488000,107653644.31
2025-10-07,25029,3047350580000,121752789.96
2025-10-08,30145,3592178701700,119163333.94
2025-10-09,28567,3549737163200,124260061.02
2025-10-10,32353,4231336673400,130786532.11
2025-10-11,34571,4303956667100,124496157.68
2025-10-12,32497,4515964083200,138965568.61
2025-10-13,24450,3565391801700,145823795.57
2025-10-14,21963,4055987057700,184673635.56
2025-10-15,19483,2522531002400,129473438.51
2025-10-16,22411,3282666082100,146475662.94
2025-10-17,24415,3342747023400,136913660.59
2025-10-18,26208,3878710995100,147997214.4
2025-10-19,52118,6905574042000,132498830.38
2025-10-20,17312,2143386070200,123809269.3
2025-10-21,20666,2441128325200,118122922.93
2025-10-22,22319,3127241350600,140115657.09
2025-10-23,105434,2733429720200,25925505.25
2025-10-24,63883,2921401689000,45730502.47
2025-10-25,58236,2764363494100,47468292.71
2025-10-26,54309,4843253642100,89179576.9
2025-10-27,28173,2447502667900,86874052.03
2025-10-28,22917,2231219571800,97360892.43
2025-10-29,24337,2393303391700,98340115.53
2025-10-30,25413,2562750059700,100844058.54
2025-10-31,19535,2163214812400,110735337.21
2025-11-01,29509,4014868921500,136055743.04
2025-11-02,477510,96306471407000,201684721.59
2025-11-03,19656,2047671498200,104175391.65
2025-11-04,20167,2462293930700,122095201.6
2025-11-05,20187,2768175782600,137126654.91
2025-11-06,18893,2312065280100,122376821.05
2025-11-07,24366,2981748508400,122373327.93
2025-11-08,30568,4200004294400,137398727.24
2025-11-09,32819,3069802685800,93537362.07
2025-11-10,26628,3338926812400,125391573.25
2025-11-11,20488,3206461896100,156504387.74
2025-11-12,22947,2838482855900,123697339.78
2025-11-13,22005,2658853996500,120829538.58
2025-11-14,21125,2012948841200,95287519.11
2025-11-15,22457,1729878049200,77030683.05
2025-11-16,881694,265305560320300,300904350.4
2025-11-17,15451,1087251273900,70367696.19
2025-11-18,21094,1886643451500,89439814.71
2025-11-19,26749,2376070729600,88828394.69
2025-11-20,1202939,187166694380600,155591176.59
2025-11-21,801349,151703144088600,189309706.62
2025-11-22,554869,112290758075900,202373457.66
2025-11-23,428318,92345621674300,215600609.07
2025-11-24,235797,55722532340300,236315696.72
2025-11-25,172545,39774249073100,230515222.54
2025-11-26,126922,29803710727000,234819107.22
2025-11-27,102590,23410358555200,228193377.09
2025-11-28,120056,26921798696700,224243675.42
2025-11-29,134132,28371249040900,211517378.71
2025-11-30,365724,112472679760500,307534314.84
2025-12-01,76864,17297820290500,225044497.95
2025-12-02,70358,15390226868000,218741676.4
2025-12-03,67179,15682427654000,233442409.89
2025-12-04,72615,18781193185500,258640682.85
2025-12-05,74490,16679074434200,223910248.81
2025-12-06,90787,21140785314300,232861371.28
2025-12-07,112503,30898534000400,274646311.66
2025-12-08,65956,15717888330300,238308695.65
2025-12-09,51793,12074249064600,233125114.68
2025-12-10,52934,12938452275200,244426120.74
2025-12-11,58873,13421963540400,227981647.62
2025-12-12,54410,12341703498800,226827853.31
2025-12-13,69325,15066009060100,217324328.31
2025-12-14,838561,249794462377500,297884664.77
2025-12-15,57475,13651918175500,237527936.94
2025-12-16,74810,18332317496100,245051697.58
2025-12-17,93188,21912188477600,235139593.91
2025-12-18,188652,3626104684300,19221130.36
2025-12-19,70388,2025969946000,28782888.36
2025-12-20,82143,2366392383200,28808205.0
2025-12-21,83491,2097606374900,25123742.38
2025-12-22,72770,2706372104500,37190766.86
2025-12-23,70635,3034176138000,42955703.8
2025-12-24,65129,2394875287100,36771258.38
2025-12-25,60497,2975639208300,49186558.15
2025-12-26,51526,2821204411900,54753025.89
2025-12-27,53462,3516936602500,65783857.74
2025-12-28,418079,34199355860800,81801180.78
2025-12-29,40411,2402391548800,59448950.75
2025-12-30,42613,2345353813000,55038458.05
2025-12-31,48056,3601472772600,74943248.97
