season,start,end,v3_median_w,v3_C_weighted_mean_w,v3_min_w,v3_max_w,mature_anchor_mean_w,mature_anchor_muC,failed_weeks
season1,2024-12-26,2025-05-15,0.35018686256507314,0.3208321085392229,0.036270841253413774,0.7508738327967441,0.6645494188385427,6.511373426809028e-05,1
season2,2025-06-26,2025-11-20,0.42294343122001943,0.3805112472151866,0.08800980077492465,0.5463883180727739,0.4604281996629928,6.255652606031373e-05,0
season3,2025-12-25,2026-04-16,0.5668698337676112,0.4361184877759085,0.005133738459142226,0.8386695009360116,0.6729046047109274,0.000121991,0
season4,2026-06-25,2026-09-03,0.5021935819428676,0.38943992568852925,0.15360277426864663,0.6814238532244128,0.5796251898398644,0.0001728904,0
