date,x_pixel,height_pixels,old_tier1_pixels,old_tier2_pixels,old_tier3_pixels,old_tier4_pixels,old_tier5_pixels,old_tier6_pixels
2025-04-03,944,284.0,24.0,68.0,160.0,15.0,9.0,8.0
2025-04-10,952,281.0,23.0,66.0,161.0,16.0,9.0,6.0
2025-04-17,960,262.0,18.0,51.0,130.0,25.0,38.0,0.0
2025-04-24,967,223.0,18.0,42.0,114.0,24.0,16.0,9.0
2025-05-01,975,234.0,18.0,42.0,114.0,26.0,16.0,18.0
2025-05-08,984,226.0,17.0,39.0,114.0,25.0,17.0,14.0
2025-05-15,991,223.0,17.0,37.0,113.0,26.0,17.0,13.0
2025-05-22,998,223.0,16.0,37.0,113.0,26.0,17.0,14.0
2025-05-29,1006,232.0,17.0,37.0,115.0,27.0,17.0,19.0
2025-06-05,1014,250.0,19.0,42.0,122.0,28.0,18.0,21.0
2025-06-12,1022,256.0,21.0,45.0,125.0,30.0,18.0,17.0
2025-06-19,1031,318.0,44.0,77.0,135.0,29.0,16.0,17.0
2025-06-26,1037,368.0,43.0,92.0,171.0,30.0,18.0,14.0
2025-07-03,1045,393.0,40.0,90.0,198.0,30.0,19.0,16.0
2025-07-10,1053,408.0,38.0,86.0,219.0,32.0,19.0,14.0
2025-07-17,1061,440.0,36.0,81.0,245.0,36.0,20.0,22.0
2025-07-24,1069,442.0,33.0,75.0,256.0,40.0,20.0,18.0
2025-07-31,1076,455.0,31.0,71.0,263.0,44.0,21.0,25.0
2025-08-07,1084,451.0,29.0,66.0,267.0,48.0,22.0,19.0
2025-08-14,1092,454.0,28.0,62.0,272.0,50.0,23.0,19.0
2025-08-21,1100,472.0,25.0,60.0,272.0,65.0,30.0,20.0
2025-08-28,1108,479.0,24.0,58.0,267.0,70.0,33.0,27.0
2025-09-04,1116,482.0,22.0,56.0,263.0,74.0,35.0,32.0
2025-09-11,1123,471.0,22.0,52.0,258.0,77.0,36.0,26.0
2025-09-18,1131,472.0,20.0,50.0,254.0,81.0,42.0,25.0
2025-09-25,1139,443.0,19.0,47.0,235.0,77.0,41.0,24.0
2025-10-02,1147,442.0,18.0,45.0,227.0,78.0,41.0,33.0
