model,term,coefficient,hac_se,ci_lower,ci_upper,p_value,n,df,hac_lag_weeks,exploratory_BH_q
low2_difference_HAC4,intercept,0.001411435841824294,0.007075076274725041,-0.012695865573165637,0.015518737256814224,0.8424465133459244,76,71,4,
low2_difference_HAC4,dlog_A,-0.11729612887986142,0.14626121675644554,-0.40893271200440745,0.17434045424468464,0.42525025039388503,76,71,4,
low2_difference_HAC4,dlog1p_C_100k,0.35100174547762947,0.21334523075345638,-0.07439656244471948,0.7764000533999784,0.10434307215591217,76,71,4,0.28634265955018373
low2_difference_HAC4,reward_pulse,-0.22645641877399234,0.03793899905365807,-0.30210463431973533,-0.15080820322824937,8.547355788511896e-08,76,71,4,
low2_difference_HAC4,growth_pulse,0.03224206870080735,0.012973992235826093,0.006372662927701271,0.058111474473913426,0.015308310247448713,76,71,4,
low2_difference_HAC8,intercept,0.001411435841824294,0.005772587456674517,-0.010098776632720706,0.012921648316369293,0.8075437130181922,76,71,8,
low2_difference_HAC8,dlog_A,-0.11729612887986142,0.1414602410453566,-0.39935983832609373,0.16476758056637092,0.4097810939901273,76,71,8,
low2_difference_HAC8,dlog1p_C_100k,0.35100174547762947,0.2087824458290923,-0.06529862770587774,0.7673021186611366,0.09712143542115416,76,71,8,0.28634265955018373
low2_difference_HAC8,reward_pulse,-0.22645641877399234,0.03704611360305027,-0.30032427129725003,-0.15258856625073464,4.74460273961724e-08,76,71,8,
low2_difference_HAC8,growth_pulse,0.03224206870080735,0.01190636115347333,0.008501458843664409,0.05598267855795029,0.008475936268696012,76,71,8,
low2_difference_upper_control_HAC4,intercept,-0.0001625082111940272,0.007098492211034409,-0.014320004514499756,0.0139949880921117,0.9818004862095708,76,70,4,
low2_difference_upper_control_HAC4,dlog_A,-0.08367422260827359,0.14445468483330456,-0.37178000700902647,0.20443156179247932,0.564285349552737,76,70,4,
