model,term,coefficient,hac_se,ci_lower,ci_upper,p_value,n,df,hac_lag_weeks
boss_scope_log_ratio_HAC4,intercept,0.010118153327697686,0.0075171478601012785,-0.004988120865800893,0.025224427521196267,0.18449407773214996,53,49,4
boss_scope_log_ratio_HAC4,month_start,0.054608336047269335,0.015659494493838064,0.023139403686490694,0.08607726840804797,0.001040315796564134,53,49,4
boss_scope_log_ratio_HAC4,S4,0.07103816356167002,0.00949101929411878,0.051965246213093085,0.09011108091024694,1.181329393304111e-09,53,49,4
boss_scope_log_ratio_HAC4,month_start_x_S4,0.12579663621745443,0.019678147369580283,0.08625191855096602,0.16534135388394283,5.790057988831127e-08,53,49,4
boss_scope_log_ratio_HAC8,intercept,0.010118153327697686,0.009065180240037022,-0.008099008402794008,0.02833531505818938,0.26979918391767443,53,49,8
boss_scope_log_ratio_HAC8,month_start,0.054608336047269335,0.01298822349190318,0.028507523743640448,0.08070914835089822,0.00011069325508022535,53,49,8
boss_scope_log_ratio_HAC8,S4,0.07103816356167002,0.010877746803196002,0.04917851295020559,0.09289781417313445,3.5411467045710476e-08,53,49,8
boss_scope_log_ratio_HAC8,month_start_x_S4,0.12579663621745443,0.018033278935618253,0.08955740542419166,0.1620358670107172,7.2315915331648135e-09,53,49,8
