season,pre_start,post_end,n_pre,n_post,pre_low_mean,post_low_mean,log_ratio,increase_pct,bootstrap_se,bootstrap_lower_pct,bootstrap_upper_pct,log_ratio_se_variance,C_peak_over_pre_A,fast_genesis
1,2024-11-28,2025-01-09,3,4,159.01474041193026,220.85380612768097,0.3285040669720363,38.88888888888893,0.030816518053480613,30.909090909090903,47.16981132075473,0.0009496577849404965,0.9923419935684049,0
2,2025-05-29,2025-07-10,3,4,163.9226027703232,277.53961636711904,0.5265693025794745,69.31137724550895,0.051155742924109994,53.01724137931034,87.03124999999996,0.00261691003411763,1.529282869462587,1
3,2025-11-27,2026-01-08,3,4,135.45700109164432,165.6403545957607,0.2011646445954345,22.282608695652172,0.02017881473952771,17.625899280575542,27.00729927007299,0.0004071845642921808,1.0217502423548075,0
4,2026-05-28,2026-07-16,3,5,158.0331679402517,284.45970229245313,0.5877866649021193,80.00000000000004,0.03172206767767232,68.81987577639752,89.43396226415099,0.001006289577746823,1.4043887892923292,1
