model,n,k,r_squared,rmse,condition_number,hac_lag_weeks
boss_scope_log_ratio_HAC4,53,4,0.710101702617948,0.033682904798866695,6.9335132132761625,4
boss_scope_log_ratio_HAC8,53,4,0.710101702617948,0.033682904798866695,6.9335132132761625,8
