season,n_weeks,pre_leap_last_date,pre_leap_last_share,last_date,last_share,last_share_scenario_min,last_share_scenario_max,last_C_mean_per_100k,last_M_mean_per_100k
1,22,2025-01-09,0.255864516990255,2025-05-15,0.04333996759979348,0.00945796989753713,0.07114180963056763,18.19640094821732,67.00198862353844
2,22,2025-07-10,0.3752752893354561,2025-11-13,0.08748014565848936,0.06569277032722493,0.14197841887110438,22.209520451552358,92.54862752625283
3,17,2026-01-08,0.09909909909909963,2026-04-09,0.07307882482625053,0.04535933357062415,0.09689690432049283,26.440229479386478,127.84926498838009
4,10,2026-07-16,0.33097092276583734,2026-08-20,0.36499526538990573,0.3333545544482343,0.39412109504920345,100.49028899225279,180.48973555806572
