scenario,season,success,objective,equality_max_error,inequality_max_error,n_weeks,closure_anchor,last_share,transferred_production_last
primary,1,True,2.1769672779378055,0.0,0.0,22,2025-06-05,0.04333996759979348,30.40149246588847
primary,2,True,0.8951420180340437,0.0,0.0,22,2025-12-04,0.08748014565848936,76.24429572663522
primary,3,True,0.32233599432992693,0.0,0.0,17,2026-04-30,0.07307882482625053,8.611940276572321
primary,4,True,0.3028326067210346,1.6431300764452317e-14,0.0,10,,0.36499526538990573,21.027017402691268
no_transfers,1,True,2.8781411217941226,5.551115123125783e-17,0.0,22,2025-06-05,0.00945796989753713,0.0
no_transfers,2,True,0.8054190506448444,0.0,0.0,22,2025-12-04,0.1001543598492497,0.0
no_transfers,3,True,0.7916296016177045,5.551115123125783e-17,0.0,17,2026-04-30,0.04535933357062415,0.0
no_transfers,4,True,0.2730188211980508,1.1102230246251565e-15,0.0,10,,0.386893122281641,0.0
all_declines_transfer,1,True,2.24478902812548,0.0,0.0,22,2025-06-05,0.05943833186950975,60.11835155029366
all_declines_transfer,2,True,1.1426329872146779,1.1102230246251565e-16,0.0,22,2025-12-04,0.06587441204795583,147.44821920802576
all_declines_transfer,3,True,0.23850796470980726,3.0531133177191805e-16,0.0,17,2026-04-30,0.0920414756308587,23.32575785479709
all_declines_transfer,4,True,0.3357631441223988,1.9984014443252818e-15,0.0,10,,0.3442235171883317,40.93667618700608
all_declines_full_productivity,1,True,2.4398797907748224,1.1102230246251565e-16,0.0,22,2025-06-05,0.07114180963056763,75.26580432600376
all_declines_full_productivity,2,True,3.0771888047536917,1.1102230246251565e-16,3.6637359812630166e-14,22,2025-12-04,0.06569277032722493,162.45422072185366
all_declines_full_productivity,3,True,0.28997436389584896,2.7755575615628914e-17,0.0,17,2026-04-30,0.09689690432049283,33.86868759649916
all_declines_full_productivity,4,True,0.3531083440240073,1.7763568394002505e-15,0.0,10,,0.3342447402847403,50.48712618817067
full_productivity_retained,1,True,2.084744667223277,0.0,0.0,22,2025-06-05,0.04367226898984339,37.747967775663724
full_productivity_retained,2,True,0.9554204966670345,0.0,0.0,22,2025-12-04,0.07620243913210942,94.48829576098646
full_productivity_retained,3,True,0.26208915890894946,1.2490009027033011e-15,0.0,17,2026-04-30,0.07776288015615326,11.490372687934194
full_productivity_retained,4,True,0.3108098138455619,1.1102230246251565e-15,0.0,10,,0.35969860991859665,26.107344882868034
main_upper_positive,1,True,2.1769672779378055,0.0,0.0,22,2025-06-05,0.04333996759979348,30.40149246588847
main_upper_positive,2,True,0.5308831087488749,0.0,0.0,22,2025-12-04,0.12107793349962923,77.0679957993481
main_upper_positive,3,True,0.21560900204816016,5.551115123125783e-17,0.0,17,2026-04-30,0.07183269755949624,8.693698326575479
main_upper_positive,4,True,0.9485213814462886,1.9984014443252818e-15,0.0,10,,0.3333545544482343,19.96944745036294
main_upper_negative,1,True,2.1769672779378055,0.0,0.0,22,2025-06-05,0.04333996759979348,30.40149246588847
main_upper_negative,2,True,0.5308831087488749,0.0,0.0,22,2025-12-04,0.12107793349962923,77.0679957993481
main_upper_negative,3,True,0.21560900204816016,5.551115123125783e-17,0.0,17,2026-04-30,0.07183269755949624,8.693698326575479
main_upper_negative,4,True,0.08093087823550181,8.881784197001252e-16,0.0,10,,0.39412109504920345,22.074966867401333
solo_upper_control,1,True,2.1769672779378055,0.0,0.0,22,2025-06-05,0.04333996759979348,30.40149246588847
solo_upper_control,2,True,0.8951420180340437,0.0,0.0,22,2025-12-04,0.08748014565848936,76.24429572663522
solo_upper_control,3,True,0.32233599432992693,0.0,0.0,17,2026-04-30,0.07307882482625053,8.611940276572321
solo_upper_control,4,True,0.4620934628117873,4.884981308350689e-15,0.0,10,,0.3538873969031643,20.94186221415214
chuchu_population,1,True,2.1769672779378055,0.0,0.0,22,2025-06-05,0.04333996759979348,30.40149246588847
chuchu_population,2,True,0.8887886236699271,0.0,0.0,22,2025-12-04,0.08611178680272699,76.76186971805409
chuchu_population,3,True,0.33048923534275726,0.0,0.0,17,2026-04-30,0.07355198939598223,8.126784853170664
chuchu_population,4,True,0.3008123453762136,1.7763568394002505e-15,0.0,10,,0.3653075164777712,20.71140046866453
without_progression,1,True,2.1769672779378055,0.0,0.0,22,2025-06-05,0.04333996759979348,30.40149246588847
without_progression,2,True,1.703231310494451,0.0,0.0,22,2025-12-04,0.14197841887110438,78.55282039151386
without_progression,3,True,0.327001508215778,5.551115123125783e-17,0.0,17,2026-04-30,0.07296754820457037,8.598292321425804
without_progression,4,True,0.3028326067210346,1.6431300764452317e-14,0.0,10,,0.36499526538990573,21.027017402691268
weaker_main_bridge,1,True,1.147962510903956,0.0,0.0,22,2025-06-05,0.04351835574337573,30.81883777587383
weaker_main_bridge,2,True,0.4201898716806276,0.0,0.0,22,2025-12-04,0.10369806679049647,77.07852033778659
weaker_main_bridge,3,True,0.10409056292048201,2.7755575615628914e-17,0.0,17,2026-04-30,0.07333595369975725,8.689088028207687
weaker_main_bridge,4,True,0.09219719889964229,0.0,0.0,10,,0.36388905171724684,21.06372749505536
