date,a_px,b_px,factor_b_per_a,relative_difference,snapshot_a,snapshot_b,measure
2024-06-06,220,153,0.6842105263157895,0.016433566433566416,250410,251016,all_boss_stacks
2024-06-13,225,155,0.6842105263157895,0.006837606837606813,250410,251016,all_boss_stacks
2024-06-20,247,163,0.6842105263157895,-0.035502958579881616,250410,251016,all_boss_stacks
2024-06-27,240,173,0.6842105263157895,0.05352564102564106,250410,251016,all_boss_stacks
2024-07-04,235,173,0.6842105263157895,0.07594108019639934,250410,251016,all_boss_stacks
2024-07-11,238,174,0.6842105263157895,0.06851971557853909,250410,251016,all_boss_stacks
2024-07-18,243,177,0.6842105263157895,0.06457739791073114,250410,251016,all_boss_stacks
2024-07-25,260,181,0.6842105263157895,0.017455621301775137,250410,251016,all_boss_stacks
2024-08-01,247,184,0.6842105263157895,0.08875739644970415,250410,251016,all_boss_stacks
2024-08-08,248,182,0.6842105263157895,0.07258064516129048,250410,251016,all_boss_stacks
2024-08-15,251,182,0.6842105263157895,0.05976095617529875,250410,251016,all_boss_stacks
2024-08-22,267,183,0.6842105263157895,0.0017286084701815252,250410,251016,all_boss_stacks
2024-08-29,258,186,0.6842105263157895,0.05366726296958846,250410,251016,all_boss_stacks
2024-09-05,265,190,0.6842105263157895,0.04789550072568938,250410,251016,all_boss_stacks
2024-09-12,272,198,0.6842105263157895,0.06391402714932126,250410,251016,all_boss_stacks
2024-09-19,291,202,0.6842105263157895,0.014538725878932013,250410,251016,all_boss_stacks
2024-09-26,289,208,0.6842105263157895,0.05190311418685134,250410,251016,all_boss_stacks
2024-10-03,273,212,0.6842105263157895,0.13496759650605816,250410,251016,all_boss_stacks
2024-10-10,285,209,0.6842105263157895,0.07179487179487176,250410,251016,all_boss_stacks
2024-10-17,289,198,0.6842105263157895,0.0013308490817141028,250410,251016,all_boss_stacks
2024-10-24,295,195,0.6842105263157895,-0.03389830508474578,250410,251016,all_boss_stacks
2024-10-31,264,189,0.6842105263157895,0.046328671328671245,250410,251016,all_boss_stacks
2024-11-07,263,186,0.6842105263157895,0.03363556595495765,250410,251016,all_boss_stacks
2024-11-14,258,187,0.6842105263157895,0.05933214072748938,250410,251016,all_boss_stacks
2024-11-21,292,184,0.6842105263157895,-0.0790305584826132,250410,251016,all_boss_stacks
2024-11-28,291,187,0.6842105263157895,-0.06079830822098864,250410,251016,all_boss_stacks
2024-12-05,309,198,0.6842105263157895,-0.06348020911127716,250410,251016,all_boss_stacks
2024-12-12,371,203,0.6842105263157895,-0.2002902757619739,250410,251016,all_boss_stacks
2024-12-19,436,246,0.6842105263157895,-0.17537050105857444,250410,251016,all_boss_stacks
2024-12-26,433,268,0.6842105263157895,-0.09539882750044426,250410,251016,all_boss_stacks
2025-01-02,418,276,0.6842105263157895,-0.034965034965035,250410,251016,all_boss_stacks
2025-01-09,431,278,0.6842105263157895,-0.057290737105122225,250410,251016,all_boss_stacks
2025-01-16,423,281,0.6842105263157895,-0.029096199308965343,250410,251016,all_boss_stacks
2025-01-23,462,281,0.6842105263157895,-0.11105561105561101,250410,251016,all_boss_stacks
2025-01-30,423,286,0.6842105263157895,-0.011820330969267157,250410,251016,all_boss_stacks
2025-02-06,425,286,0.6842105263157895,-0.016470588235294126,250410,251016,all_boss_stacks
2025-02-13,448,288,0.6842105263157895,-0.06043956043956045,250410,251016,all_boss_stacks
2025-02-20,464,295,0.6842105263157895,-0.07078912466843501,250410,251016,all_boss_stacks
2025-02-27,417,289,0.6842105263157895,0.012912746725696422,250410,251016,all_boss_stacks
2025-03-06,414,282,0.6842105263157895,-0.004459308807134854,250410,251016,all_boss_stacks
2025-03-13,421,282,0.6842105263157895,-0.021012241914854846,250410,251016,all_boss_stacks
2025-03-20,439,286,0.6842105263157895,-0.04783599088838264,250410,251016,all_boss_stacks
2024-08-22,183,56,0.3020833333333333,0.013001695873374741,251016,260910,all_boss_stacks
2024-08-29,186,56,0.3020833333333333,-0.0033370411568409697,251016,260910,all_boss_stacks
2024-09-05,190,57,0.3020833333333333,-0.006896551724137834,251016,260910,all_boss_stacks
2024-09-12,198,60,0.3020833333333333,0.0031347962382446415,251016,260910,all_boss_stacks
2024-09-19,202,62,0.3020833333333333,0.016046432229429808,251016,260910,all_boss_stacks
2024-09-26,208,63,0.3020833333333333,0.0026525198938993633,251016,260910,all_boss_stacks
2024-10-03,212,64,0.3020833333333333,-0.0006506180871826972,251016,260910,all_boss_stacks
2024-10-10,209,64,0.3020833333333333,0.013694109882857575,251016,260910,all_boss_stacks
2024-10-17,198,60,0.3020833333333333,0.0031347962382446415,251016,260910,all_boss_stacks
2024-10-24,195,59,0.3020833333333333,0.0015915119363396624,251016,260910,all_boss_stacks
2024-10-31,189,57,0.3020833333333333,-0.0016420361247947435,251016,260910,all_boss_stacks
2024-11-07,186,56,0.3020833333333333,-0.0033370411568409697,251016,260910,all_boss_stacks
2024-11-14,187,56,0.3020833333333333,-0.008666789599852343,251016,260910,all_boss_stacks
2024-11-21,184,56,0.3020833333333333,0.007496251874063109,251016,260910,all_boss_stacks
2024-11-28,187,56,0.3020833333333333,-0.008666789599852343,251016,260910,all_boss_stacks
2024-12-05,198,60,0.3020833333333333,0.0031347962382446415,251016,260910,all_boss_stacks
2024-12-12,203,62,0.3020833333333333,0.011041277390861248,251016,260910,all_boss_stacks
