series,week_start,week_end,x_start,x_end,observed_columns,max_abs_chord_residual_px,rms_chord_residual_px,verdict
boss,2023-08-10,2023-08-17,616,624,9,1.0,0.5773502691896257,STRAIGHT_WITHIN_3PX
boss,2023-08-17,2023-08-24,624,631,8,1.4285714285714448,0.7559289460184598,STRAIGHT_WITHIN_3PX
boss,2023-08-24,2023-08-31,631,639,9,1.125,0.5713045500334204,STRAIGHT_WITHIN_3PX
boss,2023-08-31,2023-09-07,639,646,8,1.7142857142856656,0.9161253813128755,STRAIGHT_WITHIN_3PX
boss,2023-09-07,2023-09-14,646,654,9,1.5,0.7453559924999299,STRAIGHT_WITHIN_3PX
boss,2023-09-14,2023-09-21,654,662,9,3.0,1.7320508075688772,STRAIGHT_WITHIN_3PX
boss,2023-09-21,2023-09-28,662,669,8,3.2857142857143344,1.9910514092523588,REVIEW_3_TO_5PX
boss,2023-09-28,2023-10-05,669,677,9,5.0,2.7028791233711424,REVIEW_3_TO_5PX
boss,2023-10-05,2023-10-12,677,684,8,1.7142857142856656,0.9910312089651006,STRAIGHT_WITHIN_3PX
boss,2023-10-12,2023-10-19,684,692,9,1.875,1.3411230782859234,STRAIGHT_WITHIN_3PX
boss,2023-10-19,2023-10-26,692,700,9,2.0,1.0408329997330663,STRAIGHT_WITHIN_3PX
boss,2023-10-26,2023-11-02,700,707,8,1.1428571428571104,0.5976143046671968,STRAIGHT_WITHIN_3PX
boss,2023-11-02,2023-11-09,707,715,9,2.625,1.2332207155790618,STRAIGHT_WITHIN_3PX
boss,2023-11-09,2023-11-16,715,722,8,1.4285714285714448,0.6408699444616683,STRAIGHT_WITHIN_3PX
boss,2023-11-16,2023-11-23,722,730,9,1.5,0.927960727138337,STRAIGHT_WITHIN_3PX
boss,2023-11-23,2023-11-30,730,738,9,1.5,0.8333333333333334,STRAIGHT_WITHIN_3PX
boss,2023-11-30,2023-12-07,738,745,8,4.85714285714289,2.5877458475338355,REVIEW_3_TO_5PX
boss,2023-12-07,2023-12-14,745,753,9,1.125,0.5464532103585,STRAIGHT_WITHIN_3PX
boss,2023-12-14,2023-12-21,753,760,8,4.14285714285711,2.326094212561966,REVIEW_3_TO_5PX
boss,2023-12-21,2023-12-28,760,768,9,4.125,1.8540496217739157,REVIEW_3_TO_5PX
boss,2023-12-28,2024-01-04,768,776,9,1.25,0.6871842709362768,STRAIGHT_WITHIN_3PX
boss,2024-01-04,2024-01-11,776,783,8,0.8571428571428896,0.48181205582971576,STRAIGHT_WITHIN_3PX
boss,2024-01-11,2024-01-18,783,791,9,1.875,0.8620067027323833,STRAIGHT_WITHIN_3PX
boss,2024-01-18,2024-01-25,791,798,8,1.4285714285714448,0.7905694150420922,STRAIGHT_WITHIN_3PX
boss,2024-01-25,2024-02-01,798,806,9,4.0,2.0275875100994063,REVIEW_3_TO_5PX
boss,2024-02-01,2024-02-08,806,814,9,4.5,2.504163200219453,REVIEW_3_TO_5PX
boss,2024-02-08,2024-02-15,814,821,8,0.7142857142856656,0.3779644730092165,STRAIGHT_WITHIN_3PX
boss,2024-02-15,2024-02-22,821,829,9,1.0,0.4714045207910317,STRAIGHT_WITHIN_3PX
boss,2024-02-22,2024-02-29,829,836,8,5.285714285714334,2.8660575211055797,INTERIOR_KINK_GT5PX
boss,2024-02-29,2024-03-07,836,844,9,4.25,2.0052015692526606,REVIEW_3_TO_5PX
boss,2024-03-07,2024-03-14,844,851,8,4.14285714285711,2.146425600188103,REVIEW_3_TO_5PX
boss,2024-03-14,2024-03-21,851,859,9,3.875,2.158638974498103,REVIEW_3_TO_5PX
boss,2024-03-21,2024-03-28,859,867,9,3.0,1.7950549357115013,STRAIGHT_WITHIN_3PX
boss,2024-03-28,2024-04-04,867,874,8,1.1428571428571104,0.5345224838248374,STRAIGHT_WITHIN_3PX
boss,2024-04-04,2024-04-11,874,882,9,2.0,1.0540925533894598,STRAIGHT_WITHIN_3PX
boss,2024-04-11,2024-04-18,882,889,8,0.8571428571428896,0.550973165019325,STRAIGHT_WITHIN_3PX
boss,2024-04-18,2024-04-25,889,897,9,4.0,2.7688746209726918,REVIEW_3_TO_5PX
boss,2024-04-25,2024-05-02,897,905,9,2.375,1.4018836534383934,STRAIGHT_WITHIN_3PX
boss,2024-05-02,2024-05-09,905,912,8,2.8571428571428896,1.7778397806648185,STRAIGHT_WITHIN_3PX
boss,2024-05-09,2024-05-16,912,920,9,1.25,0.6614378277661477,STRAIGHT_WITHIN_3PX
boss,2024-05-16,2024-05-23,920,927,8,1.2857142857143344,0.767649473578741,STRAIGHT_WITHIN_3PX
boss,2024-05-23,2024-05-30,927,935,9,7.0,3.0368111930480994,INTERIOR_KINK_GT5PX
boss,2024-05-30,2024-06-06,935,943,9,2.375,1.0639287779003088,STRAIGHT_WITHIN_3PX
boss,2024-06-06,2024-06-13,943,950,8,0.0,0.0,STRAIGHT_WITHIN_3PX
boss,2024-06-13,2024-06-20,950,958,9,3.0,1.7320508075688772,STRAIGHT_WITHIN_3PX
boss,2024-06-20,2024-06-27,958,965,8,6.85714285714289,3.7937919213970104,INTERIOR_KINK_GT5PX
boss,2024-06-27,2024-07-04,965,973,9,3.0,1.9148542155126762,STRAIGHT_WITHIN_3PX
boss,2024-07-04,2024-07-11,973,981,9,1.5,0.7264831572567789,STRAIGHT_WITHIN_3PX
boss,2024-07-11,2024-07-18,981,988,8,0.7142857142856656,0.353553390593268,STRAIGHT_WITHIN_3PX
boss,2024-07-18,2024-07-25,988,996,9,2.25,1.1873172373979173,STRAIGHT_WITHIN_3PX
boss,2024-07-25,2024-08-01,996,1003,8,7.85714285714289,4.920801328471386,INTERIOR_KINK_GT5PX
boss,2024-08-01,2024-08-08,1003,1011,9,5.0,2.788866755113585,REVIEW_3_TO_5PX
boss,2024-08-08,2024-08-15,1011,1019,9,6.75,3.811532208676424,INTERIOR_KINK_GT5PX
boss,2024-08-15,2024-08-22,1019,1026,8,1.7142857142856656,1.0773645092141626,STRAIGHT_WITHIN_3PX
boss,2024-08-22,2024-08-29,1026,1034,9,6.875,4.415094059649869,INTERIOR_KINK_GT5PX
boss,2024-08-29,2024-09-05,1034,1041,8,2.142857142857167,1.2817398889233123,STRAIGHT_WITHIN_3PX
boss,2024-09-05,2024-09-12,1041,1049,9,1.75,0.7993052538854533,STRAIGHT_WITHIN_3PX
boss,2024-09-12,2024-09-19,1049,1057,9,2.125,1.076903998610007,STRAIGHT_WITHIN_3PX
boss,2024-09-19,2024-09-26,1057,1064,8,8.0,4.168333000133266,INTERIOR_KINK_GT5PX
boss,2024-09-26,2024-10-03,1064,1072,9,1.125,0.5464532103585,STRAIGHT_WITHIN_3PX
boss,2024-10-03,2024-10-10,1072,1079,8,2.428571428571445,1.5811388300841962,STRAIGHT_WITHIN_3PX
boss,2024-10-10,2024-10-17,1079,1087,9,6.0,3.197221015541813,INTERIOR_KINK_GT5PX
boss,2024-10-17,2024-10-24,1087,1095,9,1.75,0.9860132971832694,STRAIGHT_WITHIN_3PX
boss,2024-10-24,2024-10-31,1095,1102,8,2.428571428571445,1.4759984514122808,STRAIGHT_WITHIN_3PX
boss,2024-10-31,2024-11-07,1102,1110,9,6.0,2.958039891549808,INTERIOR_KINK_GT5PX
boss,2024-11-07,2024-11-14,1110,1117,8,4.714285714285666,2.6792856190729943,REVIEW_3_TO_5PX
boss,2024-11-14,2024-11-21,1117,1125,9,2.0,1.4142135623730951,STRAIGHT_WITHIN_3PX
boss,2024-11-21,2024-11-28,1125,1133,9,6.375,2.8565227501671018,INTERIOR_KINK_GT5PX
boss,2024-11-28,2024-12-05,1133,1140,4,,,UNRESOLVED_COLUMNS
boss,2024-12-05,2024-12-12,1140,1148,9,4.5,2.6874192494328497,REVIEW_3_TO_5PX
boss,2024-12-12,2024-12-19,1148,1155,8,10.142857142857167,5.395103600223352,INTERIOR_KINK_GT5PX
boss,2024-12-19,2024-12-26,1155,1163,9,6.5,3.9157800414902435,INTERIOR_KINK_GT5PX
boss,2024-12-26,2025-01-02,1163,1171,9,12.25,8.34457574981763,INTERIOR_KINK_GT5PX
boss,2025-01-02,2025-01-09,1171,1178,8,4.428571428571445,2.283481051877972,REVIEW_3_TO_5PX
boss,2025-01-09,2025-01-16,1178,1186,9,4.375,2.307897070687705,REVIEW_3_TO_5PX
boss,2025-01-16,2025-01-23,1186,1193,8,1.4285714285714448,0.7196229171289258,STRAIGHT_WITHIN_3PX
boss,2025-01-23,2025-01-30,1193,1201,9,16.5,10.525102269231295,INTERIOR_KINK_GT5PX
boss,2025-01-30,2025-02-06,1201,1209,9,11.25,7.21062102426383,INTERIOR_KINK_GT5PX
boss,2025-02-06,2025-02-13,1209,1216,8,1.1428571428571672,0.5976143046672053,STRAIGHT_WITHIN_3PX
boss,2025-02-13,2025-02-20,1216,1224,9,5.5,3.484090826727812,INTERIOR_KINK_GT5PX
boss,2025-02-20,2025-02-27,1224,1231,8,5.285714285714278,3.414778804800435,INTERIOR_KINK_GT5PX
boss,2025-02-27,2025-03-06,1231,1239,9,12.5,6.722164829874376,INTERIOR_KINK_GT5PX
boss,2025-03-06,2025-03-13,1239,1247,9,7.5,4.109609335312651,INTERIOR_KINK_GT5PX
boss,2025-03-13,2025-03-20,1247,1254,8,2.857142857142833,1.7423301310929196,STRAIGHT_WITHIN_3PX
boss,2025-03-20,2025-03-27,1254,1262,9,4.5,2.351122663277647,REVIEW_3_TO_5PX
field,2022-12-29,2023-01-05,373,380,8,0.0,0.0,STRAIGHT_WITHIN_3PX
field,2023-01-05,2023-01-12,380,388,9,0.5,0.27638539919628335,STRAIGHT_WITHIN_3PX
field,2023-01-12,2023-01-19,388,396,9,0.875,0.5713045500334204,STRAIGHT_WITHIN_3PX
field,2023-01-19,2023-01-26,396,403,8,1.7142857142856656,0.834522960396268,STRAIGHT_WITHIN_3PX
field,2023-01-26,2023-02-02,403,411,9,3.5,1.7638342073763937,REVIEW_3_TO_5PX
field,2023-02-02,2023-02-09,411,418,8,2.0,1.3228756555322954,STRAIGHT_WITHIN_3PX
field,2023-02-09,2023-02-16,418,426,9,4.125,2.1714690367992304,REVIEW_3_TO_5PX
