date,month_coordinate,x_pixel,boss_y,boss_distance,boss_px,field_y,field_distance,field_px,azmoth_y,azmoth_distance,azmoth_px,other_coin_y,other_coin_distance,other_coin_px,etc_y,etc_distance,etc_px,sum_px,canonical_total,read_total,boss_index,field_index,azmoth_index,other_coin_index,etc_index,relative_error,window
2022-12-25T19:40:17.631806383,-0.1993661768942716,368,701,8.717797887081348,125,703,10.04987562112089,123,710,1000000.0,0,705,1000000.0,0,821,12.36931687685298,5,253,94.44500150507254,116.7090542716404,57.662576221166205,56.73997500162754,0.0,0.0,2.3065030488466483,0.23573563885614512,earlier_comparison
2022-12-28T15:11:27.640449425,-0.10861423220974269,371,697,18.027756377319946,129,770,12.083045973594572,56,710,1000000.0,0,705,1000000.0,0,822,19.209372712298546,4,189,94.44500150507254,87.1858152464033,59.507778660243524,25.83283414708246,0.0,0.0,1.8452024390773185,-0.07686151879916447,earlier_comparison
2022-12-31T10:42:37.649092467,-0.01786228752521375,374,694,14.177446878757825,132,698,11.224972160321824,128,710,1000000.0,0,705,1000000.0,0,822,14.071247279470288,4,264,94.44500150507254,121.78336097910302,60.89168048955151,59.04647805047419,0.0,0.0,1.8452024390773185,0.2894632753281514,earlier_comparison
2023-01-03T06:13:47.657735509,0.07288965715931518,377,693,12.96148139681572,133,770,11.445523142259598,56,710,1000000.0,0,705,1000000.0,0,822,22.64950330581225,4,193,96.09429463031667,89.03101768548062,61.35298109932084,25.83283414708246,0.0,0.0,1.8452024390773185,-0.073503603642746,earlier_comparison
2023-01-06T01:44:57.666378552,0.16364160184384413,380,693,15.84297951775486,133,770,8.602325267042627,56,710,1000000.0,0,705,1000000.0,0,823,19.209372712298546,3,192,96.3031578132034,88.56971707571128,61.35298109932084,25.83283414708246,0.0,0.0,1.3839018293079888,-0.08030308572531397,earlier_comparison
2023-01-08T21:16:07.675021594,0.25439354652837304,383,692,12.96148139681572,134,770,9.695359714832659,56,710,1000000.0,0,705,1000000.0,0,823,20.92844953645635,3,193,96.3031578132034,89.03101768548062,61.81428170909017,25.83283414708246,0.0,0.0,1.3839018293079888,-0.0755129976301333,earlier_comparison
2023-01-11T16:47:17.683664636,0.345145491212902,386,690,8.06225774829855,136,769,12.041594578792296,57,710,1000000.0,0,705,1000000.0,0,822,17.4928556845359,4,197,96.3031578132034,90.87622012455793,62.73688292862883,26.29413475685179,0.0,0.0,1.8452024390773185,-0.05635264524941075,earlier_comparison
2023-01-14T12:18:27.692307679,0.4358974358974309,389,689,5.385164807134504,137,769,7.681145747868608,57,710,1000000.0,0,705,1000000.0,0,822,15.7797338380595,4,198,96.3031578132034,91.33752073432727,63.19818353839816,26.29413475685179,0.0,0.0,1.8452024390773185,-0.05156255715422997,earlier_comparison
2023-01-17T07:49:37.700950721,0.5266493805819599,392,690,17.204650534085253,136,769,7.0710678118654755,57,776,82.80096617793781,0,705,1000000.0,0,822,19.209372712298546,4,197,96.3031578132034,90.87622012455793,62.73688292862883,26.29413475685179,0.0,0.0,1.8452024390773185,-0.05635264524941075,earlier_comparison
2023-01-20T03:20:47.709593763,0.6174013252664888,395,692,13.038404810405298,134,768,11.832159566199232,58,776,82.80096617793781,0,705,1000000.0,0,822,22.64950330581225,4,196,96.3031578132034,90.41491951478861,61.81428170909017,26.755435366621118,0.0,0.0,1.8452024390773185,-0.061142733344591305,earlier_comparison
