component_removed,window,MAPE_pct,median_bias_pct
none,post_NEXT,16.25502968988883,15.273308087892412
none,azmoth_pre_NEXT,7.921357428311391,8.354718877538758
boss,post_NEXT,51.29655679762743,-51.12761161807037
boss,azmoth_pre_NEXT,58.34707959915254,-58.633449876381775
field,post_NEXT,5.1187722155372315,-5.389340274571025
field,azmoth_pre_NEXT,14.980462944440296,-14.281684795389026
azmoth,post_NEXT,2.981706732293857,1.9704954962724064
azmoth,azmoth_pre_NEXT,3.5830362530122195,-3.365424062022504
other_coin,post_NEXT,3.4989798245924018,3.422023499002891
other_coin,azmoth_pre_NEXT,3.0249008248918408,1.106700487136747
etc,post_NEXT,15.371816142841915,14.529222061902525
etc,azmoth_pre_NEXT,7.2083712950261365,7.733181293155145
