source_zero_candidate,total_zero_candidate,boss_post_over_pre,field_post_over_pre,official_total_ratio_from_boss,official_total_ratio_from_field,old_2510_total_post_over_pre,boss_field_implied_gap_pp,boss_vs_2510_gap_pp
824,750.0,0.9729033660719915,0.8496823137634094,1.0748114109633295,1.0427919305278206,0.9203982857594593,3.201948043550895,15.44131252038703
824,778.38,0.9729033660719915,0.8496823137634094,1.0748114109633295,1.0427919305278206,0.9343099435893648,3.201948043550895,14.050146737396474
826,750.0,0.9730665983382467,0.8519001950195829,1.0749917412083743,1.0455138757058517,0.9203982857594593,2.9477865502522516,15.459345544891502
826,778.38,0.9730665983382467,0.8519001950195829,1.0749917412083743,1.0455138757058517,0.9343099435893648,2.9477865502522516,14.068179761900945
828,750.0,0.9732278757326358,0.8540535798786558,1.0751699118159235,1.048156666214714,0.9203982857594593,2.7013245601209546,15.477162605646422
828,778.38,0.9732278757326358,0.8540535798786558,1.0751699118159235,1.048156666214714,0.9343099435893648,2.7013245601209546,14.085996822655867
832,750.0,0.9735447047128949,0.8581777958049935,1.075519927465146,1.053218203942492,0.9203982857594593,2.2301723522653916,15.512164170568665
832,778.38,0.9735447047128949,0.8581777958049935,1.075519927465146,1.053218203942492,0.9343099435893648,2.2301723522653916,14.12099838757811
836,750.0,0.9738541225095756,0.8620753297173808,1.0758617556366017,1.0580015410167856,0.9203982857594593,1.7860214619816128,15.546346987714244
836,778.38,0.9738541225095756,0.8620753297173808,1.0758617556366017,1.0580015410167856,0.9343099435893648,1.7860214619816128,14.155181204723688
