season,stage,n_main,n_joint,main_mean,challenger_mean,matched_main_mean,ratio_of_period_means,C_weighted_w,median_w
1,pre_leap,4,4,0.0004958762244010636,0.00017913515966059418,0.0004958762244010636,0.36124974508902863,0.35924594269718496,0.3583464862746797
1,post_leap,18,18,0.0006273059049408442,0.00028113226780399346,0.0006273059049408442,0.44815817225649196,0.4613407478103529,0.4788655016100104
2,pre_leap,4,3,0.00048651001736157924,0.00019682501092912384,0.0005000545656619401,0.39360706699793757,0.38957414851938743,0.38329144239048873
2,post_leap,18,18,0.0007170645467842033,0.0004501765870138114,0.0007170645467842033,0.6278048315632172,0.6815136689529956,0.7197592663180759
3,pre_leap,4,3,0.0009101872356276741,0.00011346141987420309,0.0009196552135943,0.12337386685468829,0.12309928760604023,0.12247632345370847
3,post_leap,13,13,0.0013031900660220453,0.00014287487830487862,0.0013031900660220453,0.10963472023770145,0.11231106239119003,0.09789685349820756
4,pre_leap,5,4,0.001320225141411158,0.0004913591749487833,0.0013250024371812827,0.3708364310589997,0.3666997551443046,0.37015065893342325
4,post_leap,5,5,0.001674999375689028,0.0008401779823769779,0.001674999375689028,0.5015989824064037,0.5006050200026935,0.49945586695309796
