date,events,pre_calendar,post_calendar,main_pre_n,main_post_n,C_pre_n,C_post_n,main_mean_pre,main_mean_post,main_change_pct,C_mean_pre,C_mean_post,C_change_pct,w_pre,w_post,w_change_pct,coverage,interpretation
2024-09-12,TALAHAT_CHALLENGE,3,3,3,3,0,0,0.0005333753011828462,0.0005795659164572588,8.660058906360568,,,,,,,full_3plus3,descriptive window comparison; not a causal patch coefficient
2024-10-17,AZMOTH_INTRO,3,3,3,3,0,0,0.0005955623751724873,0.000584054777645463,-1.9322237278154852,,,,,,,full_3plus3,descriptive window comparison; not a causal patch coefficient
2024-11-21,SPECIAL_WORLD_NEXT_PREP,3,3,3,3,0,0,0.0006118113904178013,0.0006103837508289125,-0.2333463566138838,,,,,,,full_3plus3,descriptive window comparison; not a causal patch coefficient
2024-12-19,NEXT_S1,3,3,3,3,0,3,0.0005745144075973566,0.0004853914057185874,-15.512753152960135,,0.00017521064052293433,,,0.3600280349935316,,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-01-16,CRYSTAL_CAP_90;S1_FIRST_LEAP,3,3,3,3,3,3,0.0005001869666246938,0.0005559006487192498,11.138571336737702,0.0001749192612768202,0.0002413729439334474,37.991060659386314,0.3486081329903106,0.43428924193516055,24.57805795002246,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-02-20,BALDRIX_CHAMPION,3,3,3,3,3,3,0.0005838511960593429,0.0005899835110075187,1.0503215527458698,0.00028861290601053645,0.0003198954047183387,10.838911932323715,0.49436363425950114,0.5427194637049949,9.781429315270152,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-03-20,DESTINY_HEXA_BOSS_REWORK,3,3,3,3,3,3,0.0006080681464395242,0.0006828687509556383,12.301352233972596,0.00030926040648521165,0.00038276742603351007,23.768648687918414,0.5098525867324932,0.5617486114800619,10.178633216349109,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-04-17,CRYSTAL_ADJ_0417,3,3,3,3,3,3,0.0007150721923770746,0.0006557556798618653,-8.295178185859353,0.00038400588435520575,9.99934507761257e-05,-73.96043788651122,0.5406658095995678,0.1496558106590406,-72.32008978524462,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-05-22,S1_END,3,3,3,2,3,0,0.0006581690906392704,0.0006565077890240311,-0.25241258498264196,9.863616906765383e-05,,,0.14915186578534514,,,partial_or_boundary,descriptive window comparison; not a causal patch coefficient
2025-06-19,ASSEMBLE_S2,3,3,3,3,0,2,0.0006029641049494067,0.0004666314412433562,-22.610411231277162,,0.00017706628427026927,,,0.3697126517257483,,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-07-17,ASCENT_HEXA;S2_FIRST_LEAP,3,3,3,3,3,3,0.0005000545656619401,0.0005505101450167934,10.09001473430473,0.00019682501092912384,0.0003559338989113388,80.83773867514716,0.38957414851938743,0.6466306254782084,65.98396683552743,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-08-21,FIRST_ADVERSARY,3,3,3,3,3,3,0.000585158315167086,0.0006537307335590644,11.7186095821604,0.00041630754212137994,0.0005250331599647742,26.11665820161719,0.7117140687980785,0.8040972265738016,12.98037538189134,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-09-18,FALL_UPDATE,3,3,3,3,3,3,0.0006796812938771864,0.0007566798584840344,11.328627887876097,0.0005497330438692497,0.0005889785096836825,7.139004331667409,0.8096059050950754,0.7850279537885135,-3.0357920010076422,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-10-23,CRYSTAL_ADJ_1023,3,3,3,3,3,3,0.0008552194826853838,0.0008916824712201683,4.263582539103417,0.0005918052809835678,0.00025069742611499423,-57.63852838583319,0.694755073875313,0.28093724827749755,-59.56312392071611,full_3plus3,descriptive window comparison; not a causal patch coefficient
2025-11-20,S2_END,3,3,3,2,3,0,0.0009018004149908498,0.0008957720366048621,-0.6684825473326939,0.00021213260081932953,,,0.23599780379187768,,,partial_or_boundary,descriptive window comparison; not a causal patch coefficient
2025-12-18,CROWN,3,3,3,3,0,2,0.0009245217738819501,0.0008849807040291476,-4.276921427904778,,0.00010783519957965766,,,0.12139860469358732,,full_3plus3,descriptive window comparison; not a causal patch coefficient
2026-01-15,RADIANT_CALAMITY_AZMOTH;S3_FIRST_LEAP,3,3,3,3,3,3,0.0009196552135943,0.0011673056816371814,26.928621116057826,0.00011346141987420309,0.00012769300102352606,12.543101580344928,0.12309928760604023,0.11017364328745546,-10.500178002614646,full_3plus3,descriptive window comparison; not a causal patch coefficient
