season,start,end,n_calendar,n_main,n_joint,main_mean,challenger_mean,matched_main_mean,ratio_of_period_means,C_weighted_w,median_w,main_index,challenger_index,last_date,last_w,last_w_scenario_min,last_w_scenario_max
1,2024-12-19,2025-05-15,22,22,22,0.0005993924447352155,0.00025195991912101525,0.0005993924447352155,0.4203588505896496,0.43214045666783596,0.4444046505323985,84.58476174442056,35.555953224283996,2025-05-15,0.27158001310165214,0.057238978194749254,0.45913705695391493
2,2025-06-19,2025-11-13,22,22,21,0.0006642120264140525,0.00038638097599097757,0.0006781744088233017,0.5697368862110058,0.608001357028204,0.6824638156565654,95.70227535454293,54.525116363805566,2025-11-13,0.2276564646859826,0.17692094136789388,0.3377348095446447
3,2025-12-18,2026-04-09,17,17,16,0.0012002001859423251,0.0001345746365591923,0.0012226983457109607,0.11006364491393941,0.11535541290512955,0.11456978730874029,172.54413058700766,18.990835920912804,2026-04-09,0.2068078332854676,0.12463642045834056,0.2814432288863564
4,2026-06-18,2026-08-20,10,10,9,0.0014840980953991399,0.0006695119335568256,0.0015062808551262843,0.44448014543788034,0.4350893941736544,0.45870327680409834,212.56258461402882,94.47984852389527,2026-08-20,0.556764564375595,0.48630786639681806,0.6262815255633232
