date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index
2024-08-22,0,outside_season,outside_season,317258.0,0.0,161.95945782696603,0.0,161.95945782696603,0.0005104976322960052,,0.0,317258.0,0.0,0.0,0.0,,,False,0.0,72.04014828369006,
2024-08-29,0,outside_season,outside_season,306714.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0005376480214206126,,0.0,306714.0,0.0,0.0,0.0,,,False,0.0,75.87154324961713,
2024-09-05,0,outside_season,outside_season,303541.0,0.0,167.8488926570375,0.0,167.8488926570375,0.0005529694263939221,,0.0,303541.0,0.0,0.0,0.0,,,False,0.0,78.03366157566586,
2024-09-12,0,outside_season,outside_season,306155.0,0.0,176.68304490214476,0.0,176.68304490214476,0.0005771032480349651,,0.0,306155.0,0.0,0.0,0.0,,,False,0.0,81.43936608766008,
2024-09-19,0,outside_season,outside_season,309978.0,0.0,179.6277623171805,0.0,179.6277623171805,0.0005794855193503426,,0.0,309978.0,0.0,0.0,0.0,,,False,0.0,81.77554625374606,
2024-09-26,0,outside_season,outside_season,313672.0,0.0,182.57247973221627,0.0,182.57247973221627,0.0005820490185040943,,0.0,313672.0,0.0,0.0,0.0,,,False,0.0,82.13730083883746,
2024-10-03,0,outside_season,outside_season,317449.0,0.0,188.46191456228775,0.0,188.46191456228775,0.0005936761954275734,,0.0,317449.0,0.0,0.0,0.0,,,False,0.0,83.77809894777454,
2024-10-10,0,outside_season,outside_season,308321.0,0.0,188.46191456228775,0.0,188.46191456228775,0.0006112522811040692,,0.0,308321.0,0.0,0.0,0.0,,,False,0.0,86.25839217202875,
2024-10-17,0,outside_season,outside_season,307061.0,0.0,176.68304490214476,0.0,176.68304490214476,0.0005754004738542008,,0.0,307061.0,0.0,0.0,0.0,,,False,0.0,81.19907485668179,
2024-10-24,0,outside_season,outside_season,294497.0,0.0,173.73832748710902,0.0,173.73832748710902,0.0005899493967242757,,0.0,294497.0,0.0,0.0,0.0,,,False,0.0,83.25218244155779,
2024-10-31,0,outside_season,outside_season,280766.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0005873366976129652,,0.0,280766.0,0.0,0.0,0.0,,,False,0.0,82.8834848815849,
2024-11-07,0,outside_season,outside_season,268656.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0006138116224539998,,0.0,268656.0,0.0,0.0,0.0,,,False,0.0,86.61956001825035,
2024-11-14,0,outside_season,outside_season,259181.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0006362510185623243,,0.0,259181.0,0.0,0.0,0.0,,,False,0.0,89.78615143958496,
2024-11-21,0,outside_season,outside_season,266794.0,0.0,161.95945782696603,0.0,161.95945782696603,0.0006070580966099913,,0.0,266794.0,0.0,0.0,0.0,,,False,0.0,85.66651935271011,
2024-11-28,0,outside_season,outside_season,282394.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0005839507044838126,,0.0,282394.0,0.0,0.0,0.0,,,False,0.0,82.4056620050818,
2024-12-05,0,outside_season,outside_season,270955.0,0.0,173.73832748710902,0.0,173.73832748710902,0.0006412073129748816,,0.0,270955.0,0.0,0.0,0.0,,,False,0.0,90.48557130332141,
2024-12-12,0,outside_season,outside_season,353878.0,0.0,182.57247973221627,0.0,182.57247973221627,0.0005159192708566689,,0.0,353878.0,0.0,0.0,0.0,,,False,0.0,72.80523634902376,
2024-12-19,1,pre_leap,valid,377665.0,173213.0,182.57247973221624,35.33660898042894,217.90908871264517,0.000483424409813502,0.00020400667952422127,0.4220032654183185,450761.4516129032,73096.4516129032,0.42200326541831845,0.422003265418349,0.4220032654183186,0.5543263232189778,False,0.0,68.2196428811773,28.788912061528364
2024-12-26,1,pre_leap,valid,385974.0,340543.0,182.57247973221627,53.00491347064342,235.5773932028597,0.00047301756007455493,0.00015564822495439174,0.3290537986155507,498030.96774193546,112056.96774193547,0.3290537986155507,0.32905379861557976,0.3290537986155507,0.4034162389806468,False,0.0,66.7510542904958,21.964687975880498
2025-01-02,1,pre_leap,valid,361956.0,351168.0,181.20917985538082,63.2023655925861,244.41154544796692,0.0005006386960165899,0.00017997757652344774,0.3594959358025408,488199.46878390666,126243.46878390665,0.3553499518481608,0.3657944324018117,0.34911495352651745,0.4442760081823499,False,0.0,70.64887986919385,25.39798518197713
2025-01-09,1,pre_leap,valid,342976.0,330152.0,181.8753034250811,62.5362420228858,244.41154544796692,0.0005302858025782594,0.00018941651730986273,0.35719703674681863,460905.31607603567,117929.31607603567,0.35290025893512517,0.36671094335359194,0.3518660808433105,0.44777703227186477,False,0.0,74.83260535148291,26.72998488359382
2025-01-16,1,post_leap,valid,338246.0,307111.0,181.4257285194338,68.87525175860466,250.30098027803845,0.0005363721330612448,0.00022426826703896854,0.4181206539553031,466655.45215686713,128409.4521568671,0.38980370861723335,0.4828466685423541,0.0,45.70728173201193,False,2.0213618599042814e-16,75.6914930774177,31.648176584383194
2025-01-23,1,post_leap,valid,326928.0,277133.0,182.1314205557141,65.22484230728855,247.35626286300266,0.0005570994853781692,0.00023535574005004295,0.42246626720589986,444007.3440295727,117079.34402957265,0.40388818183819886,0.4668374903881282,0.0,48.3668419134499,False,0.0,78.61648516351951,33.212813027880095
2025-01-30,1,post_leap,valid,320285.0,257133.0,184.26014831107523,68.98554938199892,253.24569769307413,0.0005753005863873589,0.00026828742083668346,0.46634303385889714,440197.1833252398,119912.18332523979,0.44574551376130284,0.5048143072005569,0.0,52.31522208351311,False,1.884583812601043e-16,81.18497898734229,37.86004940472802
2025-02-06,1,post_leap,valid,315231.0,237813.0,185.33524413326631,67.91045355980783,253.24569769307413,0.000587934702276319,0.00028556241063275697,0.4857042959484089,430737.79573237896,115506.79573237897,0.4725964759766693,0.5122627105319507,0.0,55.67274286939728,False,0.0,82.9678738030939,40.29785273186816
2025-02-13,1,post_leap,valid,313952.0,216696.0,184.7526349757307,68.49306271734343,253.24569769307413,0.0005884741456519809,0.0003160790356875228,0.5371162658936074,430342.94635408116,116390.94635408114,0.5285193735696265,0.5458572923602673,0.0,60.85014951821896,False,0.0,83.04399870224093,44.60428248782122
2025-02-20,1,post_leap,valid,324696.0,200373.0,190.20748841980262,71.87236151837877,262.0798499381814,0.0005858017604768849,0.0003586928454351573,0.6123109721335687,447386.58641931956,122690.58641931956,0.577778904017159,0.6238921107648571,0.0,70.48991630608897,False,0.0,82.66687839431867,50.61783667287276
2025-02-27,1,post_leap,valid,319263.0,222293.0,185.61800570759965,67.62769198547447,253.24569769307413,0.0005813952938724489,0.0003042277174066411,0.5232717234092111,435582.64121180377,116319.64121180377,0.5223071594304605,0.5487464662856903,0.0,60.32149460396853,False,0.0,82.04504885484957,42.93185411147006
2025-03-06,1,post_leap,valid,309935.0,202226.0,186.9562371216038,60.40002574139886,247.35626286300266,0.000603211115626192,0.0002986758663149094,0.49514317388673235,410065.8234824183,100130.82348241833,0.48645671903775944,0.529964220907362,0.0,62.83729589666999,False,0.0,85.12364302384059,42.14839077962563
2025-03-13,1,post_leap,valid,293566.0,179680.0,188.5291522519176,58.827110611085054,247.35626286300266,0.0006422036347939394,0.00032739932441610116,0.5098060905886217,385167.9583569635,91601.95835696354,0.48371808056861937,0.5478112524154181,0.0,66.98689893143359,False,0.0,90.62616974500345,46.20177330272104
2025-03-20,1,post_leap,valid,289339.0,163262.0,191.0636965236355,59.237283754402945,250.30098027803845,0.0006603454650898618,0.000362835710418854,0.5494634696544455,379045.5049827241,89706.50498272407,0.5011303371800351,0.6002546321392918,0.0,73.54784640638928,False,0.0,93.18629943410255,51.20246741132008
2025-03-27,1,post_leap,valid,286159.0,140011.0,195.41489096206556,54.88608931597291,250.30098027803845,0.0006828892013253665,0.00039201269411669735,0.5740502168666167,366532.3449137119,80373.34491371187,0.5011931851173365,0.6451313333232238,0.0,84.81903921834662,False,1.5876692300614225e-16,96.36761507306024,55.319850331608876
2025-04-03,1,post_leap,valid,279071.0,126230.0,197.07987814970784,50.27638471329481,247.35626286300266,0.0007061997776541018,0.00039829188555252166,0.5639932185699524,350263.8639800851,71192.8639800851,0.47280844580846837,0.6471264313230746,0.0,90.64335736354262,False,1.5352626930683473e-16,99.65714526685876,56.20595411254898
2025-04-10,1,post_leap,valid,274058.0,110998.0,207.6567410839969,39.69952177900574,247.35626286300266,0.0007577109264608108,0.00035765979368101894,0.47202670727161183,326452.0204537344,52394.02045373437,0.38447795846813226,0.56346818867357,0.0,101.23045460278553,False,0.0,106.92626967319264,50.47205499467352
2025-04-17,1,post_leap,valid,295193.0,100353.0,202.78195667441736,15.127132038227806,217.90908871264517,0.0006869470369365716,0.00015073921096756256,0.2194335266948402,317213.8127044073,22020.812704407297,0.17916474427124937,0.2829842307147149,0.0,40.59333951152433,False,1.5782907767103637e-16,96.94024667925846,21.271940207497458
2025-04-24,1,post_leap,valid,303741.0,75810.0,189.4755300060693,4.875819386289932,194.35134939235923,0.0006238062362541419,6.431630901318998e-05,0.10310302346350252,311557.2402087681,7816.240208768126,0.07310139766139555,0.21499442601867627,0.0,48.8806252473289,False,0.0,88.02997490492109,9.076156568113618
2025-05-01,1,post_leap,valid,293825.0,65100.0,193.17429831731232,4.121768490082676,197.296066807395,0.0006574467738188117,6.331441613030224e-05,0.09630348592713804,300094.3569338567,6269.356933856687,0.02170126244528444,0.15154386083931776,0.0,55.966666666666676,False,0.0,92.77724337627933,8.934771951846178
2025-05-08,1,post_leap,valid,289371.0,55532.0,187.42855503709447,3.978076940229019,191.40663197732349,0.0006477102233364589,7.163575848572028e-05,0.11059846811852533,295512.75413155794,6141.754131557949,0.009994259299640167,0.14458795155358617,0.0,62.530648995174,False,0.0,91.40324573917842,10.109058959814261
