x,y,month,P,P_from_source_affine,error
150,716,-0.22700889978072775,94.44500150507254,92.71304515761813,-1.731956347454414
152,716,-0.1728363214239626,94.44500150507254,92.71304515761813,-1.731956347454414
154,715,-0.11866374306719747,94.44500150507254,94.19924154226692,-0.2457599628056215
156,715,-0.06449116471043234,94.44500150507254,94.19924154226692,-0.2457599628056215
158,715,-0.010318586353667204,94.44500150507254,94.19924154226692,-0.2457599628056215
160,715,0.04385399200309793,95.29630696186092,94.19924154226692,-1.0970654195940028
162,715,0.09802657035986306,96.3031578132034,94.19924154226692,-2.1039162709364803
164,715,0.1521991487166282,96.3031578132034,94.19924154226692,-2.1039162709364803
166,714,0.20637172707339335,96.3031578132034,95.68543792691571,-0.6177198862876878
168,713,0.2605443054301585,96.3031578132034,97.1716343115645,0.8684764983611046
170,713,0.3147168837869236,96.3031578132034,97.1716343115645,0.8684764983611046
172,713,0.36888946214368873,96.3031578132034,97.1716343115645,0.8684764983611046
174,713,0.4230620405004539,96.3031578132034,97.1716343115645,0.8684764983611046
176,713,0.477234618857219,96.3031578132034,97.1716343115645,0.8684764983611046
178,713,0.5314071972139841,96.3031578132034,97.1716343115645,0.8684764983611046
180,713,0.5855797755707493,96.3031578132034,97.1716343115645,0.8684764983611046
182,713,0.6397523539275144,96.3031578132034,97.1716343115645,0.8684764983611046
184,713,0.6939249322842795,96.3031578132034,97.1716343115645,0.8684764983611046
186,712,0.7480975106410447,96.3031578132034,98.6578306962133,2.354672883009897
188,712,0.8022700889978098,96.3031578132034,98.6578306962133,2.354672883009897
190,712,0.856442667354575,96.3031578132034,98.6578306962133,2.354672883009897
192,711,0.9106152457113401,96.81964521730781,100.14402708086209,3.3243818635542794
194,711,0.9647878240681053,98.3084710893714,100.14402708086209,1.8355559914906934
196,710,1.0189604024248704,99.79729696143498,101.63022346551088,1.8329265040758997
198,711,1.0731329807816354,100.01947042946513,100.14402708086209,0.12455665139695782
200,712,1.1273055591384007,100.91679239743127,98.6578306962133,-2.25896170121797
202,714,1.1814781374951657,101.34963520569714,95.68543792691571,-5.66419727878143
204,715,1.235650715851931,99.702148237802,94.19924154226692,-5.5029066955350885
206,715,1.289823294208696,96.72449649367485,94.19924154226692,-2.5252549514079305
208,717,1.3439958725654613,96.3031578132034,91.22684877296933,-5.076309040234065
210,718,1.3981684509222263,94.48550562168226,89.74065238832077,-4.744853233361496
212,719,1.4523410292789916,92.58684519694168,88.25445600367198,-4.332389193269705
214,719,1.5065136076357566,92.24651474968968,88.25445600367198,-3.9920587460177046
216,719,1.5606861859925216,89.26886300556252,88.25445600367198,-1.0144070018905467
218,719,1.6148587643492869,88.87053258067996,88.25445600367198,-0.6160765770079877
220,719,1.669031342706052,88.87053258067996,88.25445600367198,-0.6160765770079877
222,718,1.7232039210628172,88.87053258067996,89.74065238832077,0.8701198076408048
224,718,1.7773764994195822,88.87053258067996,89.74065238832077,0.8701198076408048
226,719,1.8315490777763475,88.87053258067996,88.25445600367198,-0.6160765770079877
228,720,1.8857216561331125,88.87053258067996,86.76825961902318,-2.10227296165678
230,720,1.9398942344898777,88.87053258067996,86.76825961902318,-2.10227296165678
232,721,1.9940668128466428,88.87053258067996,85.28206323437439,-3.5884693463055726
234,722,2.048239391203408,88.67735910146507,83.7958668497256,-4.881492251739473
236,722,2.102411969560173,87.1885332294015,83.7958668497256,-3.3926663796759016
238,724,2.156584547916938,84.38703844212677,80.82347408042801,-3.5635643616987522
240,724,2.2107571262737036,82.3527251771435,80.82347408042801,-1.529251096715484
242,726,2.2649297046304686,81.43790734815653,77.85108131113043,-3.5868260370261
244,727,2.3191022829872336,81.0285521341379,76.36488492648186,-4.663667207656033
246,729,2.3732748613439987,78.05090039001074,73.39249215718428,-4.65840823282646
248,730,2.4274474397007637,75.0732486458836,71.90629577253549,-3.1669528733481087
250,731,2.481620018057529,74.00528211563308,70.4200993878867,-3.5851827277463855
252,732,2.535792596414294,73.41976994476204,68.9339030032379,-4.485866941524137
254,732,2.5899651747710593,71.93094407269848,68.9339030032379,-2.997041069460579
