date,month_coordinate,x_pixel,boss_y,boss_distance,boss_px,field_y,field_distance,field_px,azmoth_y,azmoth_distance,azmoth_px,other_coin_y,other_coin_distance,other_coin_px,etc_y,etc_distance,etc_px,sum_px,canonical_total,read_total,boss_index,field_index,azmoth_index,other_coin_index,etc_index,relative_error,window,affine_diagnostic,same_window_scalar
2022-12-25T19:40:17.631806383,-0.1993661768942716,368,701,8.717797887081348,125,769,21.18962010041709,57,710,1000000.0,0.0,705,1000000.0,0,821,12.36931687685298,5,187.0,94.44500150507254,86.26321402686465,57.662576221166205,26.29413475685179,0.0,0.0,2.3065030488466483,-0.0866301799758927,earlier_comparison,91.66026651907305,86.26321402686465
2022-12-28T15:11:27.640449425,-0.1086142322097426,371,697,18.027756377319943,129,770,12.083045973594572,56,710,1000000.0,0.0,705,1000000.0,0,822,19.209372712298546,4,189.0,94.44500150507254,87.1858152464033,59.50777866024352,25.83283414708246,0.0,0.0,1.8452024390773183,-0.0768615187991644,earlier_comparison,92.53127380834925,87.1858152464033
2022-12-31T10:42:37.649092467,-0.0178622875252137,374,694,14.177446878757824,132,770,15.297058540778355,56,710,1000000.0,0.0,705,1000000.0,0,822,14.071247279470288,4,192.0,94.44500150507254,88.56971707571128,60.89168048955151,25.83283414708246,0.0,0.0,1.8452024390773183,-0.0622085270340717,earlier_comparison,93.83778474226354,88.56971707571128
2023-01-03T06:13:47.657735509,0.0728896571593151,377,693,12.96148139681572,133,770,11.445523142259598,56,710,1000000.0,0.0,705,1000000.0,0,822,22.64950330581225,4,193.0,96.09429463031668,89.03101768548062,61.35298109932084,25.83283414708246,0.0,0.0,1.8452024390773183,-0.073503603642746,earlier_comparison,94.27328838690164,89.03101768548062
2023-01-06T01:44:57.666378552,0.1636416018438441,380,693,15.84297951775486,133,770,8.602325267042627,56,710,1000000.0,0.0,705,1000000.0,0,823,19.209372712298546,3,192.0,96.3031578132034,88.56971707571128,61.35298109932084,25.83283414708246,0.0,0.0,1.3839018293079888,-0.0803030857253139,earlier_comparison,93.83778474226354,88.56971707571128
2023-01-08T21:16:07.675021594,0.254393546528373,383,692,12.96148139681572,134,770,9.69535971483266,56,710,1000000.0,0.0,705,1000000.0,0,823,20.92844953645635,3,193.0,96.3031578132034,89.03101768548062,61.81428170909017,25.83283414708246,0.0,0.0,1.3839018293079888,-0.0755129976301333,earlier_comparison,94.27328838690164,89.03101768548062
2023-01-11T16:47:17.683664636,0.345145491212902,386,690,8.06225774829855,136,769,12.041594578792296,57,710,1000000.0,0.0,705,1000000.0,0,822,17.4928556845359,4,197.0,96.3031578132034,90.87622012455792,62.73688292862883,26.29413475685179,0.0,0.0,1.8452024390773183,-0.0563526452494107,earlier_comparison,96.01530296545403,90.87622012455793
2023-01-14T12:18:27.692307679,0.4358974358974309,389,689,5.385164807134504,137,769,7.681145747868608,57,710,1000000.0,0.0,705,1000000.0,0,822,15.7797338380595,4,198.0,96.3031578132034,91.33752073432728,63.19818353839816,26.29413475685179,0.0,0.0,1.8452024390773183,-0.0515625571542299,earlier_comparison,96.45080661009213,91.33752073432727
2023-01-17T07:49:37.700950721,0.5266493805819599,392,690,17.204650534085253,136,769,7.071067811865476,57,710,1000000.0,0.0,705,1000000.0,0,822,19.209372712298546,4,197.0,96.3031578132034,90.87622012455792,62.73688292862883,26.29413475685179,0.0,0.0,1.8452024390773183,-0.0563526452494107,earlier_comparison,96.01530296545403,90.87622012455793
2023-01-20T03:20:47.709593763,0.6174013252664888,395,692,13.038404810405298,134,768,11.832159566199232,58,710,1000000.0,0.0,705,1000000.0,0,822,22.64950330581225,4,196.0,96.3031578132034,90.4149195147886,61.81428170909017,26.75543536662112,0.0,0.0,1.8452024390773183,-0.0611427333445913,earlier_comparison,95.57979932081592,90.41491951478861
2023-01-22T22:51:57.718236805,0.7081532699510177,398,691,8.774964387392123,135,767,15.556349186104043,59,710,1000000.0,0.0,705,1000000.0,0,822,20.92844953645635,4,198.0,96.3031578132034,91.33752073432728,62.2755823188595,27.21673597639045,0.0,0.0,1.8452024390773183,-0.0515625571542299,earlier_comparison,96.45080661009213,91.33752073432727
2023-01-25T18:23:07.726879848,0.7989052146355466,401,690,9.9498743710662,136,765,12.84523257866513,61,758,84.40379138403677,0.0,705,1000000.0,0,822,26.095976701399778,4,201.0,96.3031578132034,92.72142256363526,62.73688292862883,28.13933719592911,0.0,0.0,1.8452024390773183,-0.0371922928686879,earlier_comparison,97.75731754400641,92.72142256363526
2023-01-28T13:54:17.735522890,0.8896571593200756,404,690,10.392304845413264,136,763,16.911534525287763,63,710,1000000.0,0.0,705,1000000.0,0,822,22.64950330581225,4,203.0,96.3031578132034,93.64402378317392,62.73688292862883,29.06193841546777,0.0,0.0,1.8452024390773183,-0.0276121166783266,earlier_comparison,98.6283248332826,93.64402378317392
2023-01-31T09:25:27.744165933,0.9804091040046046,407,689,4.242640687119285,137,762,11.445523142259598,64,710,1000000.0,0.0,705,1000000.0,0,822,17.4928556845359,4,205.0,98.7377909857042,94.56662500271256,63.19818353839816,29.523239025237096,0.0,0.0,1.8452024390773183,-0.0422448784943504,earlier_comparison,99.49933212255881,94.56662500271257
2023-02-02T23:49:12.808988751,1.0711610486891334,410,689,7.3484692283495345,137,762,13.96424004376894,64,710,1000000.0,0.0,705,1000000.0,0,822,17.4928556845359,4,205.0,100.01947042946512,94.56662500271256,63.19818353839816,29.523239025237096,0.0,0.0,1.8452024390773183,-0.0545178394100573,earlier_comparison,99.49933212255881,94.56662500271257
2023-02-05T12:48:19.913569564,1.1619129933736625,413,690,9.69535971483266,136,764,11.832159566199232,62,710,1000000.0,0.0,705,1000000.0,0,823,19.209372712298546,3,201.0,101.86790908816492,92.72142256363526,62.73688292862883,28.60063780569844,0.0,0.0,1.3839018293079888,-0.0897877124052241,earlier_comparison,97.75731754400641,92.72142256363526
2023-02-08T01:47:27.018150376,1.2526649380581911,416,693,5.196152422706632,133,770,17.291616465790582,56,710,1000000.0,0.0,705,1000000.0,0,823,20.92844953645635,3,192.0,98.7669439339974,88.56971707571128,61.35298109932084,25.83283414708246,0.0,0.0,1.3839018293079888,-0.1032453415294553,earlier_comparison,93.83778474226354,88.56971707571128
2023-02-10T14:46:34.122731188,1.3434168827427202,419,694,10.04987562112089,132,773,24.779023386727733,53,710,1000000.0,0.0,705,1000000.0,0,823,22.64950330581225,3,188.0,96.3031578132034,86.72451463663397,60.89168048955151,24.44893231777447,0.0,0.0,1.3839018293079888,-0.0994634381060365,earlier_comparison,92.09577016371115,86.72451463663397
2023-02-13T03:45:41.227312001,1.4341688274272493,422,697,9.273618495495704,129,774,10.198039027185567,52,710,1000000.0,0.0,705,1000000.0,0,823,20.92844953645635,3,184.0,92.58684519694168,84.87931219755666,59.50777866024352,23.98763170800514,0.0,0.0,1.3839018293079888,-0.0832465236610051,earlier_comparison,90.35375558515877,84.87931219755666
2023-02-15T16:44:48.331892813,1.524920772111778,425,700,10.770329614269007,126,775,7.810249675906654,51,710,1000000.0,0.0,705,1000000.0,0,824,14.071247279470288,2,179.0,91.23474593474612,82.57280914871001,58.12387683093554,23.52633109823581,0.0,0.0,0.9226012195386591,-0.0949412057576332,earlier_comparison,88.17623736196828,82.57280914871001
2023-02-18T05:43:55.436473625,1.615672716796307,428,701,15.620499351813308,125,775,12.84523257866513,51,710,1000000.0,0.0,705,1000000.0,0,824,15.7797338380595,2,178.0,88.87053258067996,82.11150853894067,57.662576221166205,23.52633109823581,0.0,0.0,0.9226012195386591,-0.0760547264145536,earlier_comparison,87.74073371733017,82.11150853894067
2023-02-20T18:43:02.541054438,1.706424661480836,431,700,4.242640687119285,126,776,9.273618495495704,50,710,1000000.0,0.0,705,1000000.0,0,821,19.209372712298546,5,181.0,88.87053258067996,83.49541036824866,58.12387683093554,23.06503048846648,0.0,0.0,2.3065030488466483,-0.06048261506199,earlier_comparison,89.04724465124447,83.49541036824866
2023-02-23T07:42:09.645635250,1.797176606165365,434,700,7.14142842854285,126,776,8.48528137423857,50,710,1000000.0,0.0,705,1000000.0,0,819,22.64950330581225,7,183.0,88.87053258067996,84.41801158778732,58.12387683093554,23.06503048846648,0.0,0.0,3.2291042683853077,-0.0501012074936141,earlier_comparison,89.91825194052066,84.41801158778732
2023-02-25T20:41:16.750216063,1.887928550849894,437,701,11.74734012447073,125,775,11.916375287812984,51,710,1000000.0,0.0,705,1000000.0,0,821,15.7797338380595,5,181.0,88.87053258067996,83.49541036824866,57.662576221166205,23.52633109823581,0.0,0.0,2.3065030488466483,-0.06048261506199,earlier_comparison,89.04724465124447,83.49541036824866
2023-02-28T09:40:23.854796875,1.9786804955344228,440,705,19.261360284258224,121,775,10.04987562112089,51,710,1000000.0,0.0,705,1000000.0,0,823,22.64950330581225,3,175.0,88.87053258067996,80.72760670963268,55.817373782088886,23.52633109823581,0.0,0.0,1.3839018293079888,-0.0916268377671173,earlier_comparison,86.43422278341589,80.72760670963268
2023-03-03T03:39:27.847882440,2.069432440218952,443,705,16.0312195418814,121,776,7.810249675906654,50,710,1000000.0,0.0,705,1000000.0,0,824,14.071247279470288,2,173.0,88.09491018285433,79.80500549009403,55.817373782088886,23.06503048846648,0.0,0.0,0.9226012195386591,-0.0941019711076763,earlier_comparison,85.5632154941397,79.80500549009403
2023-03-05T23:10:37.856525482,2.1601843849034807,446,711,21.42428528562855,115,776,6.164414002968976,50,710,1000000.0,0.0,705,1000000.0,0,824,20.92844953645635,2,167.0,84.18916968256802,77.03720183147804,53.0495701234729,23.06503048846648,0.0,0.0,0.9226012195386591,-0.0849511626977221,earlier_comparison,82.9501936263111,77.03720183147804
2023-03-08T18:41:47.865168524,2.2509363295880096,449,712,17.204650534085253,114,777,5.385164807134504,49,710,1000000.0,0.0,705,1000000.0,0,824,19.209372712298546,2,165.0,81.43790734815653,76.1146006119394,52.58826951370358,22.603729878697152,0.0,0.0,0.9226012195386591,-0.0653664480038684,earlier_comparison,82.07918633703491,76.1146006119394
2023-03-11T14:12:57.873811567,2.3416882742725385,452,715,22.3159136044214,111,782,13.45362404707371,44,710,1000000.0,0.0,705,1000000.0,0,824,24.37211521390788,2,157.0,79.78708978577748,72.42419573378476,51.20436768439559,20.297226829850505,0.0,0.0,0.9226012195386591,-0.0922817722987711,earlier_comparison,78.59515717993014,72.42419573378476
2023-03-14T09:44:07.882454609,2.4324402189570677,455,719,11.357816691600547,107,786,17.72004514666935,40,710,1000000.0,0.0,705,1000000.0,0,825,27.820855486487112,1,148.0,74.7988153751859,68.27249024586078,49.35916524531827,18.452024390773182,0.0,0.0,0.4613006097693296,-0.0872517177790784,earlier_comparison,74.67562437818727,68.27249024586078
2023-03-17T05:15:17.891097652,2.5231921636415966,458,720,1.4142135623730951,106,787,10.677078252031311,39,710,1000000.0,0.0,705,1000000.0,0,825,22.64950330581225,1,146.0,73.76606784824456,67.34988902632213,48.89786463554894,17.990723781003854,0.0,0.0,0.4613006097693296,-0.0869800845982753,earlier_comparison,73.80461708891107,67.34988902632213
