date,model,valid,share,B_fitted
2024-02-29,challenger_reward_unchanged,True,0.0,120.4512701318598
2024-03-07,basic,True,0.0,126.2863650866246
2024-03-07,inflow,True,0.0,125.28611994582822
2024-03-07,progression,True,0.0,125.31457748748748
2024-03-07,chuchu_C,True,0.0,125.31172479006372
2024-03-07,chuchu_C_without_world4,True,0.0,125.3110751258168
2024-03-07,population_lag_minus1,True,0.0,120.03818802795509
2024-03-07,population_lag_plus1,True,0.0,126.67222115979577
2024-03-07,flexible_main,True,0.0,125.49087021022164
2024-03-07,stiff_main,True,0.0,124.41059817169422
2024-03-07,challenger_reward_unchanged,True,0.0,125.28264066445017
2024-03-14,basic,True,0.0,126.59247654793097
2024-03-14,inflow,True,0.0,126.63545914593719
2024-03-14,progression,True,0.0,126.6342269759883
2024-03-14,chuchu_C,True,0.0,126.63435320713076
2024-03-14,chuchu_C_without_world4,True,0.0,126.63438308821503
2024-03-14,population_lag_minus1,True,0.0,124.90429121699684
2024-03-14,population_lag_plus1,True,0.0,130.9329015082567
2024-03-14,flexible_main,True,0.0,126.9595697927112
2024-03-14,stiff_main,True,0.0,125.43091413756657
2024-03-14,challenger_reward_unchanged,True,0.0,126.63562629941589
2024-03-21,basic,True,0.0,131.67667513155533
2024-03-21,inflow,True,0.0,130.59612811945314
2024-03-21,progression,True,0.0,130.62686340425722
2024-03-21,chuchu_C,True,0.0,130.62378426454353
2024-03-21,chuchu_C_without_world4,True,0.0,130.62308351880887
2024-03-21,population_lag_minus1,True,0.0,126.2488631133173
2024-03-21,population_lag_plus1,True,0.0,135.33512875896213
2024-03-21,flexible_main,True,0.0,131.00336220438206
2024-03-21,stiff_main,True,0.0,129.04035748893065
2024-03-21,challenger_reward_unchanged,True,0.0,130.59237828692406
2024-03-28,basic,True,0.0,132.1320654487339
2024-03-28,inflow,True,0.0,133.12837147629992
2024-03-28,progression,True,0.0,133.09978312444147
2024-03-28,chuchu_C,True,0.0,133.10267025225212
2024-03-28,chuchu_C_without_world4,True,0.0,133.1033329275914
2024-03-28,population_lag_minus1,True,0.0,128.96829613134022
2024-03-28,population_lag_plus1,True,0.0,120.90052074934134
2024-03-28,flexible_main,True,0.0,133.60701577133412
2024-03-28,stiff_main,True,0.0,131.56773901679162
2024-03-28,challenger_reward_unchanged,True,0.0,133.13195369652172
2024-04-04,basic,True,0.0,117.26386541503638
2024-04-04,inflow,True,0.0,119.62793855257335
2024-04-04,progression,True,0.0,119.55971333913307
2024-04-04,chuchu_C,True,0.0,119.56658696902772
2024-04-04,chuchu_C_without_world4,True,0.0,119.5681609032511
2024-04-04,population_lag_minus1,True,0.0,132.1884406028743
2024-04-04,population_lag_plus1,True,0.0,110.93937849001466
2024-04-04,flexible_main,True,0.0,120.10653686599292
2024-04-04,stiff_main,True,0.0,118.25103913883248
2024-04-04,challenger_reward_unchanged,True,0.0,119.63642642676245
2024-04-11,basic,True,0.0,107.08514794848415
2024-04-11,inflow,True,0.0,110.390917559828
2024-04-11,progression,True,0.0,110.29503599711222
2024-04-11,chuchu_C,True,0.0,110.3046924098245
2024-04-11,chuchu_C_without_world4,True,0.0,110.30690286772169
2024-04-11,population_lag_minus1,True,0.0,119.39916345243375
2024-04-11,population_lag_plus1,True,0.0,110.34941394639652
2024-04-11,flexible_main,True,0.0,110.87250858019581
2024-04-11,stiff_main,True,0.0,109.14537108532481
2024-04-11,challenger_reward_unchanged,True,0.0,110.40283697197576
2024-04-18,basic,True,0.0,106.11762479627379
2024-04-18,inflow,True,0.0,110.40771736349687
2024-04-18,progression,True,0.0,110.28273051690466
2024-04-18,chuchu_C,True,0.0,110.2953169471588
2024-04-18,chuchu_C_without_world4,True,0.0,110.29819802263958
2024-04-18,population_lag_minus1,True,0.0,110.73180127067587
2024-04-18,population_lag_plus1,True,0.0,112.79075537819581
2024-04-18,flexible_main,True,0.0,110.92642526350075
2024-04-18,stiff_main,True,0.0,109.18795378662513
2024-04-18,challenger_reward_unchanged,True,0.0,110.42325591366667
2024-04-25,basic,True,0.0,119.76600129265641
2024-04-25,inflow,True,0.0,112.00381947857946
2024-04-25,progression,True,0.0,112.2183045610994
2024-04-25,chuchu_C,True,0.0,112.19684704302415
2024-04-25,chuchu_C_without_world4,True,0.0,112.19196796495268
2024-04-25,population_lag_minus1,True,0.0,111.29176935167418
2024-04-25,population_lag_plus1,True,0.0,117.91668684841015
2024-04-25,flexible_main,True,0.0,112.2850859269468
2024-04-25,stiff_main,True,0.0,110.88244638076308
2024-04-25,challenger_reward_unchanged,True,0.0,111.9777733797729
2024-05-02,basic,True,0.0,119.94978285454219
2024-05-02,inflow,True,0.0,118.32206874599684
2024-05-02,progression,True,0.0,118.36814003824101
2024-05-02,chuchu_C,True,0.0,118.36360950808468
2024-05-02,chuchu_C_without_world4,True,0.0,118.36259309838469
2024-05-02,population_lag_minus1,True,0.0,112.32043279319012
2024-05-02,population_lag_plus1,True,0.0,119.99612035023503
2024-05-02,flexible_main,True,0.0,118.7724175414788
2024-05-02,stiff_main,True,0.0,117.12922311486317
2024-05-02,challenger_reward_unchanged,True,0.0,118.31671962644975
2024-05-09,basic,True,0.0,118.83143630671798
2024-05-09,inflow,True,0.0,121.42438350756856
2024-05-09,progression,True,0.0,121.34940452875182
2024-05-09,chuchu_C,True,0.0,121.35703046285718
2024-05-09,chuchu_C_without_world4,True,0.0,121.35878922900582
2024-05-09,population_lag_minus1,True,0.0,119.6953264272576
2024-05-09,population_lag_plus1,True,0.0,118.46538294611507
2024-05-09,flexible_main,True,0.0,121.9960869033956
2024-05-09,stiff_main,True,0.0,120.20701974226978
2024-05-09,challenger_reward_unchanged,True,0.0,121.43394474407081
2024-05-16,basic,True,0.0,115.32582720154029
2024-05-16,inflow,True,0.0,120.73768638342425
2024-05-16,progression,True,0.0,120.57948246252623
2024-05-16,chuchu_C,True,0.0,120.59546218828135
2024-05-16,chuchu_C_without_world4,True,0.0,120.59912861945935
2024-05-16,population_lag_minus1,True,0.0,123.71477718633002
2024-05-16,population_lag_plus1,True,0.0,118.06766663311839
2024-05-16,flexible_main,True,0.0,121.38628285052265
2024-05-16,stiff_main,True,0.0,119.54308744163711
2024-05-16,challenger_reward_unchanged,True,0.0,120.75751601261432
2024-05-23,basic,True,0.0,113.65886636039347
2024-05-23,inflow,True,0.0,121.10727589258354
2024-05-23,progression,True,0.0,120.88772496878603
2024-05-23,chuchu_C,True,0.0,120.90986397545758
2024-05-23,chuchu_C_without_world4,True,0.0,120.91493788092285
2024-05-23,population_lag_minus1,True,0.0,123.77973187870553
2024-05-23,population_lag_plus1,True,0.0,119.99456258320579
2024-05-23,flexible_main,True,0.0,121.82069240495673
2024-05-23,stiff_main,True,0.0,119.93052542620637
2024-05-23,challenger_reward_unchanged,True,0.0,121.13469513000341
2024-05-30,basic,True,0.0,117.81442316973987
2024-05-30,inflow,True,0.0,123.39286888395674
2024-05-30,progression,True,0.0,123.22972696187043
2024-05-30,chuchu_C,True,0.0,123.24623462622816
2024-05-30,chuchu_C_without_world4,True,0.0,123.25002729794598
2024-05-30,population_lag_minus1,True,0.0,124.85827061179644
2024-05-30,population_lag_plus1,True,0.0,122.81344623247884
2024-05-30,flexible_main,True,0.0,124.09002960617065
2024-05-30,stiff_main,True,0.0,122.24554997779092
2024-05-30,challenger_reward_unchanged,True,0.0,123.41341243315979
2024-06-06,basic,True,0.0,120.55577476380851
2024-06-06,inflow,True,0.0,126.9284446648682
2024-06-06,progression,True,0.0,126.74160716805942
2024-06-06,chuchu_C,True,0.0,126.76050870826342
2024-06-06,chuchu_C_without_world4,True,0.0,126.76485090040035
2024-06-06,population_lag_minus1,True,0.0,127.54583014394618
2024-06-06,population_lag_plus1,True,0.0,127.4317048221409
2024-06-06,flexible_main,True,0.0,127.67720057820279
2024-06-06,stiff_main,True,0.0,125.78166570472314
2024-06-06,challenger_reward_unchanged,True,0.0,126.9519649665484
2024-06-13,basic,True,0.0,137.42130115508195
2024-06-13,inflow,True,0.0,130.7969530430396
2024-06-13,progression,True,0.0,130.9814160591093
2024-06-13,chuchu_C,True,0.0,130.96310142355836
2024-06-13,chuchu_C_without_world4,True,0.0,130.95896094881303
2024-06-13,population_lag_minus1,True,0.0,131.79833234223966
2024-06-13,population_lag_plus1,True,0.0,136.25345782827185
2024-06-13,flexible_main,True,0.0,131.2984440643437
2024-06-13,stiff_main,True,0.0,129.74580579845758
2024-06-13,challenger_reward_unchanged,True,0.0,130.77498619164177
2024-06-20,basic,True,0.0,147.5276338169989
2024-06-20,inflow,True,0.0,139.30689227382473
2024-06-20,progression,True,0.0,139.5351877394432
2024-06-20,chuchu_C,True,0.0,139.51230901104597
2024-06-20,chuchu_C_without_world4,True,0.0,139.5070953178134
2024-06-20,population_lag_minus1,True,0.0,133.02039932549994
2024-06-20,population_lag_plus1,True,0.0,147.00383199935084
2024-06-20,flexible_main,True,0.0,139.64182694452487
2024-06-20,stiff_main,True,0.0,138.53499925859032
2024-06-20,challenger_reward_unchanged,True,0.0,139.27898255161662
2024-06-27,basic,True,0.0,170.38150108825033
2024-06-27,inflow,True,0.0,148.5415504316897
2024-06-27,progression,True,0.0,149.12491095661073
2024-06-27,chuchu_C,True,0.0,149.06614993789017
2024-06-27,chuchu_C_without_world4,True,0.0,149.05271947994112
2024-06-27,population_lag_minus1,True,0.0,141.32164632592747
2024-06-27,population_lag_plus1,True,0.0,149.3439362546172
2024-06-27,flexible_main,True,0.0,148.45488846722068
2024-06-27,stiff_main,True,0.0,148.16448324839527
2024-06-27,challenger_reward_unchanged,True,0.0,148.46955800778056
2024-07-04,basic,True,0.0,160.4908609172932
2024-07-04,inflow,True,0.0,151.87782330747515
2024-07-04,progression,True,0.0,152.11775712561212
2024-07-04,chuchu_C,True,0.0,152.09333083256035
2024-07-04,chuchu_C_without_world4,True,0.0,152.08768834876693
2024-07-04,population_lag_minus1,True,0.0,149.3799221967926
2024-07-04,population_lag_plus1,True,0.0,151.05932486385836
2024-07-04,flexible_main,True,0.0,151.86899360469013
2024-07-04,stiff_main,True,0.0,151.7780524054617
2024-07-04,challenger_reward_unchanged,True,0.0,151.84715192750087
2024-07-11,basic,True,0.0,155.2477710685658
2024-07-11,inflow,True,0.0,154.00714889125396
2024-07-11,progression,True,0.0,154.04314995709123
2024-07-11,chuchu_C,True,0.0,154.03899491136667
2024-07-11,chuchu_C_without_world4,True,0.0,154.0379348950391
2024-07-11,population_lag_minus1,True,0.0,153.54669174403173
2024-07-11,population_lag_plus1,True,0.0,151.14473731953427
2024-07-11,flexible_main,True,0.0,153.96262491436218
2024-07-11,stiff_main,True,0.0,154.23385275683242
2024-07-11,challenger_reward_unchanged,True,0.0,154.00077522401577
2024-07-18,basic,True,0.0,151.3705935837237
2024-07-18,inflow,True,0.0,154.11371637268184
2024-07-18,progression,True,0.0,154.03562785679466
2024-07-18,chuchu_C,True,0.0,154.04271970743488
2024-07-18,chuchu_C_without_world4,True,0.0,154.04418580168934
2024-07-18,population_lag_minus1,True,0.0,156.05428671190398
2024-07-18,population_lag_plus1,True,0.0,155.771616361802
2024-07-18,flexible_main,True,0.0,153.96291808497858
2024-07-18,stiff_main,True,0.0,154.69222370169786
2024-07-18,challenger_reward_unchanged,True,0.0,154.12066080102966
2024-07-25,basic,True,0.0,160.53821164438736
2024-07-25,inflow,True,0.0,157.7601152554833
2024-07-25,progression,True,0.0,157.84002518369348
2024-07-25,chuchu_C,True,0.0,157.8310538772965
2024-07-25,chuchu_C_without_world4,True,0.0,157.82881382532315
2024-07-25,population_lag_minus1,True,0.0,156.23142792838064
2024-07-25,population_lag_plus1,True,0.0,155.52161399253563
