name,success,n_train,parameter_count,log_rmse,objective,endpoint_valid,endpoint_share,endpoint_bM,endpoint_bC,nfev,multistart_objective_range,cv_log_rmse
basic,True,118,43,0.049029748977544786,67.98049228385781,True,0.202780253283022,244.34502669089858,60.20221033502297,22,7.416673497573356e-09,0.11075837529576622
inflow,True,118,44,0.04353655253277099,56.75160457941966,True,0.20143671580683023,241.98599115483026,59.126318356220494,23,6.322430579075444e-09,0.0666331490043103
progression,True,118,46,0.043488404977078954,56.479554193207626,True,0.20198210832026967,241.87545231005026,59.299821517765984,23,5.337864905641254e-08,0.06542921917841074
