date,selected_model,B_observed,B_fitted,bM_fitted_per_100k,bC_fitted_per_100k,B_main_reconciled,B_challenger_reconciled,bM_reconciled_per_100k,bC_reconciled_per_100k,challenger_share,conditional_laplace_p05,conditional_laplace_p95,scenario_min,scenario_max,A_accounts,C_accounts,season,in_fit,alignment_note,canonical_challenger_count,boss_source
2023-12-28,inflow,120.66556746890036,121.89711323669545,32.059373903392334,,120.66556746890036,0.0,31.735472990560897,,0.0,0.0,0.0,0.0,0.0,380223.0,0.0,0,True,,,conditional_backcast
2024-01-04,inflow,120.66633290135691,125.09251186699986,32.13036613523812,,120.66633290135691,0.0,30.993489525889974,,0.0,0.0,0.0,0.0,0.0,389328.0,0.0,0,True,,,conditional_backcast
2024-01-11,inflow,122.96820155088497,126.02771422708243,33.27148158249841,,122.96820155088497,0.0,32.46376622971413,,0.0,0.0,0.0,0.0,0.0,378786.0,0.0,0,True,,,conditional_backcast
2024-01-18,inflow,127.3697546702826,130.05784149375268,33.520494205789426,,127.3697546702826,0.0,32.82767939542587,,0.0,0.0,0.0,0.0,0.0,387995.0,0.0,0,True,,,conditional_backcast
2024-01-25,inflow,125.13569516087055,130.4640524775927,34.83388668460711,,125.13569516087055,0.0,33.411215907017436,,0.0,0.0,0.0,0.0,0.0,374532.0,0.0,0,True,,,conditional_backcast
2024-02-01,inflow,124.34283702780536,122.37233160221054,36.01739221101149,,124.34283702780536,0.0,36.59736372776155,,0.0,0.0,0.0,0.0,0.0,339759.0,0.0,0,True,,,conditional_backcast
2024-02-08,inflow,122.90105374237476,118.94422026013436,37.127835917935336,,122.90105374237476,0.0,38.362941448594334,,0.0,0.0,0.0,0.0,0.0,320364.0,0.0,0,True,,,conditional_backcast
2024-02-15,inflow,125.13485030589193,118.04568003629514,38.20186729544672,,125.13485030589193,0.0,40.496060033297816,,0.0,0.0,0.0,0.0,0.0,309005.0,0.0,0,True,,,conditional_backcast
2024-02-22,inflow,125.13485030589193,117.25053621249423,39.26294372364848,,125.13485030589193,0.0,41.903113999608856,,0.0,0.0,0.0,0.0,0.0,298629.0,0.0,0,True,,,conditional_backcast
2024-02-29,inflow,125.13485030589193,120.46037821254818,39.01803459739843,,125.13485030589193,0.0,40.53213173513812,,0.0,0.0,0.0,0.0,0.0,308730.0,0.0,0,True,,,conditional_backcast
2024-03-07,inflow,125.13485030589193,125.28611994582822,40.580997679477676,,125.13485030589193,0.0,40.5320004488995,,0.0,0.0,0.0,0.0,0.0,308731.0,0.0,0,True,,,conditional_backcast
2024-03-14,inflow,125.13485030589193,126.63545914593719,41.981342146925776,,125.13485030589193,0.0,41.48387032057071,,0.0,0.0,0.0,0.0,0.0,301647.0,0.0,0,True,,,conditional_backcast
2024-03-21,inflow,118.43177090538323,130.59612811945314,42.70345336633297,,118.43177090538323,0.0,38.72584646096352,,0.0,0.0,0.0,0.0,0.0,305821.0,0.0,0,True,,,conditional_backcast
2024-03-28,inflow,116.19712948688743,133.12837147629992,43.592190925293444,,116.19712948688743,0.0,38.04814403866712,,0.0,0.0,0.0,0.0,0.0,305395.0,0.0,0,True,,,conditional_backcast
2024-04-04,inflow,116.19712948688743,119.62793855257335,44.352639237940586,,116.19712948688743,0.0,43.08065011378,,0.0,0.0,0.0,0.0,0.0,269720.0,0.0,0,True,,,conditional_backcast
