date,target_share,achieved_share,log_rmse,penalized_objective,success
2026-03-26,0.05,0.05000062132552056,0.04603622853067058,68.72641602001403,True
2026-03-26,0.15,0.15000028830532378,0.04385168017744405,59.234770827096725,True
2026-03-26,0.25,0.24999997012778474,0.043573531549812354,56.78233917374919,True
2026-03-26,0.35,0.34999967423169653,0.04468984262261227,60.29202340877531,True
2026-03-26,0.45,0.4499993036675726,0.04738896248007462,70.30662297299095,True
2026-03-26,0.55,0.5499987418234321,0.052253279641966084,89.39969839974374,True
2026-03-26,0.65,0.649997761296996,0.060260489775359125,123.35354595757147,True
2026-03-26,0.75,0.7499957309579479,0.07323318295144954,185.65286967553027,True
2026-08-20,0.05,0.050000105072234804,0.04357408228969951,57.58255242684296,True
2026-08-20,0.15,0.15000001046736583,0.04354431625533064,56.800388946996385,True
2026-08-20,0.25,0.2499999936714414,0.04353285061433759,56.78400949793499,True
2026-08-20,0.35,0.34999998414997463,0.04353285197290087,57.00966028065378,True
2026-08-20,0.45,0.4499999748433946,0.04353922880013898,57.41691731367391,True
2026-08-20,0.55,0.5499999616997642,0.043550448636428915,58.04092556284471,True
2026-08-20,0.65,0.64999993775866,0.04356887575175463,59.01881917382568,True
2026-08-20,0.75,0.7499998841332012,0.043603050891014905,60.71968859900936,True
