season,valid_interior_weeks,boss_weighted_challenger_share,A_weighted_bM_per_100k,C_weighted_bC_per_100k
1,19,0.18855931167729328,62.46783623398626,23.575686217187094
2,19,0.20295156175861284,86.54405497460105,22.5885854742235
3,14,0.23647243850690394,107.57892659866374,50.9678941132544
4,8,0.23201273156190635,201.47642208482313,54.527286443149386
