source,date,pixel_x,pixel_y,indicator
2311,2023-07-04 02:31:23.076923077,780,887,-887
2311,2023-07-05 01:34:09.230769230,787,882,-882
2311,2023-07-06 00:36:55.384615385,794,878,-878
2311,2023-07-06 23:39:41.538461540,801,873,-873
2311,2023-07-07 22:42:27.692307692,808,869,-869
2311,2023-07-08 21:45:13.846153846,815,865,-865
2311,2023-07-09 20:47:59.999999998,822,863,-863
2311,2023-07-10 19:50:46.153846154,829,860,-860
2311,2023-07-11 18:53:32.307692306,836,856,-856
2311,2023-07-12 17:56:18.461538462,843,853,-853
2311,2023-07-13 16:59:04.615384616,850,850,-850
2311,2023-07-14 16:01:50.769230770,857,847,-847
2311,2023-07-15 15:04:36.923076922,864,844,-844
2311,2023-07-16 14:07:23.076923078,871,841,-841
2311,2023-07-17 13:10:09.230769232,878,837,-837
2311,2023-07-18 12:12:55.384615384,885,833,-833
2311,2023-07-19 11:15:41.538461538,892,829,-829
2311,2023-07-20 10:18:27.692307692,899,827,-827
2311,2023-07-21 09:21:13.846153846,906,823,-823
2311,2023-07-22 08:23:59.999999998,913,819,-819
2311,2023-07-23 07:26:46.153846154,920,816,-816
2311,2023-07-24 06:29:32.307692308,927,810,-810
2311,2023-07-25 05:32:18.461538462,934,806,-806
2311,2023-07-26 04:35:04.615384616,941,800,-800
2311,2023-07-27 03:37:50.769230768,948,794,-794
2311,2023-07-28 02:40:36.923076924,955,789,-789
2311,2023-07-29 01:43:23.076923078,962,781,-781
2311,2023-07-30 00:46:09.230769232,969,776,-776
2311,2023-07-30 23:48:55.384615384,976,772,-772
2311,2023-07-31 22:51:41.538461538,983,767,-767
2311,2023-08-01 21:54:27.692307692,990,764,-764
2311,2023-08-02 20:57:13.846153846,997,763,-763
2311,2023-08-03 20:00:00.000000000,1004,761,-761
2311,2023-08-04 19:02:46.153846154,1011,758,-758
2311,2023-08-05 18:05:32.307692308,1018,756,-756
2311,2023-08-06 17:08:18.461538460,1025,755,-755
2311,2023-08-07 16:11:04.615384616,1032,751,-751
2311,2023-08-08 15:13:50.769230770,1039,750,-750
2311,2023-08-09 14:16:36.923076926,1046,747,-747
2311,2023-08-10 13:19:23.076923076,1053,746,-746
2311,2023-08-11 12:22:09.230769232,1060,744,-744
