date,indicator,source,scale_from_overlap_differences,offset_from_overlap_median,aligned_2510_pixel_equivalent
2023-04-01 00:00:00.000000000,-1047.0,2311,0.058818037143286,84.08564829891603,22.503163409895585
2023-04-01 23:02:46.153846153,-1046.0,2311,0.058818037143286,84.08564829891603,22.561981447038875
2023-04-02 22:05:32.307692307,-1045.0,2311,0.058818037143286,84.08564829891603,22.620799484182157
2023-04-03 21:08:18.461538461,-1044.0,2311,0.058818037143286,84.08564829891603,22.679617521325447
2023-04-04 20:11:04.615384615,-1044.0,2311,0.058818037143286,84.08564829891603,22.679617521325447
2023-04-05 19:13:50.769230769,-1043.0,2311,0.058818037143286,84.08564829891603,22.73843555846873
2023-04-06 18:16:36.923076923,-1042.0,2311,0.058818037143286,84.08564829891603,22.79725359561202
2023-04-07 17:19:23.076923077,-1040.0,2311,0.058818037143286,84.08564829891603,22.914889669898592
2023-04-08 16:22:09.230769230,-1040.0,2311,0.058818037143286,84.08564829891603,22.914889669898592
2023-04-09 15:24:55.384615384,-1039.0,2311,0.058818037143286,84.08564829891603,22.973707707041875
2023-04-10 14:27:41.538461538,-1037.0,2311,0.058818037143286,84.08564829891603,23.091343781328447
2023-04-11 13:30:27.692307692,-1036.0,2311,0.058818037143286,84.08564829891603,23.15016181847173
2023-04-12 12:33:13.846153846,-1036.0,2311,0.058818037143286,84.08564829891603,23.15016181847173
2023-04-13 11:35:59.999999999,-1034.0,2311,0.058818037143286,84.08564829891603,23.267797892758303
2023-04-14 10:38:46.153846154,-1034.0,2311,0.058818037143286,84.08564829891603,23.267797892758303
2023-04-15 09:41:32.307692307,-1034.0,2311,0.058818037143286,84.08564829891603,23.267797892758303
2023-04-16 08:44:18.461538461,-1033.0,2311,0.058818037143286,84.08564829891603,23.326615929901592
2023-04-17 07:47:04.615384615,-1033.0,2311,0.058818037143286,84.08564829891603,23.326615929901592
2023-04-18 06:49:50.769230769,-1033.0,2311,0.058818037143286,84.08564829891603,23.326615929901592
2023-04-19 05:52:36.923076923,-1033.0,2311,0.058818037143286,84.08564829891603,23.326615929901592
2023-04-20 04:55:23.076923076,-1032.0,2311,0.058818037143286,84.08564829891603,23.385433967044875
2023-04-21 03:58:09.230769230,-1032.0,2311,0.058818037143286,84.08564829891603,23.385433967044875
2023-04-22 03:00:55.384615384,-1031.0,2311,0.058818037143286,84.08564829891603,23.444252004188165
2023-04-23 02:03:41.538461538,-1030.0,2311,0.058818037143286,84.08564829891603,23.503070041331448
2023-04-24 01:06:27.692307692,-1030.0,2311,0.058818037143286,84.08564829891603,23.503070041331448
