pair,start,end,weeks,difference_pairs,difference_scale_k,weekly_change_correlation,same_direction_fraction,RMSE_in_right_image_pixels,RMSE_over_right_10_90_span_pct
2311_2504,2023-04-01,2023-10-28,31,30,0.09341923941162728,0.20027065749975767,0.7,3.544901385415845,7.97887771637007
2311_2510,2023-04-01,2023-10-28,31,30,0.05881803714328601,0.4819353034316414,0.7333333333333333,0.8692224232301502,3.088607595234036
2504_2510,2023-03-30,2025-03-13,103,83,0.11520956833991658,0.2625406100339047,0.5903614457831325,2.423986965670076,2.3811266853340634
2504_2609,2024-08-22,2025-03-13,30,29,0.16005720724867054,0.39945394838306164,0.5172413793103449,3.2634858145744747,6.799085461735058
2510_2609,2024-08-22,2025-10-02,59,58,0.8989631655043565,0.9737608322143854,0.8103448275862069,2.0092449407592787,1.386832963853499
