date,indicator
2023-03-30 00:00:00.000000000,26
2023-04-06 00:00:00.000000000,27
2023-04-13 00:00:00.000000001,26
2023-04-20 00:00:00.000000001,25
2023-04-27 00:00:00.000000002,27
2023-05-04 00:00:00.000000002,28
2023-05-11 00:00:00.000000003,28
2023-05-18 00:00:00.000000003,28
2023-05-25 00:00:00.000000005,30
2023-06-01 00:00:00.000000005,33
2023-06-08 00:00:00.000000005,36
2023-06-15 00:00:00.000000007,32
2023-06-22 00:00:00.000000007,35
2023-06-29 00:00:00.000000007,37
2023-07-06 00:00:00.000000007,38
2023-07-13 00:00:00.000000010,60
2023-07-20 00:00:00.000000010,62
2023-07-27 00:00:00.000000014,63
2023-08-03 00:00:00.000000010,66
2023-08-10 00:00:00.000000008,69
2023-08-17 00:00:00.000000010,65
2023-08-24 00:00:00.000000014,67
2023-08-31 00:00:00.000000014,72
2023-09-07 00:00:00.000000014,69
2023-09-14 00:00:00.000000014,69
2023-09-21 00:00:00.000000016,66
2023-09-28 00:00:00.000000014,74
2023-10-05 00:00:00.000000014,67
2023-10-12 00:00:00.000000014,66
2023-10-19 00:00:00.000000022,70
2023-10-26 00:00:00.000000020,75
2024-01-04 00:00:00.000000020,79
2024-02-01 00:00:00.000000028,90
2024-03-14 00:00:00.000000032,96
2024-04-04 00:00:00.000000032,105
2024-04-18 00:00:00.000000032,107
2024-05-02 00:00:00.000000036,101
2024-05-16 00:00:00.000000028,103
2024-05-23 00:00:00.000000040,116
2024-05-30 00:00:00.000000040,109
2024-06-06 00:00:00.000000032,118
2024-06-13 00:00:00.000000032,100
2024-06-27 00:00:00.000000040,107
2024-07-04 00:00:00.000000048,108
2024-07-11 00:00:00.000000040,111
2024-07-18 00:00:00.000000040,113
2024-07-25 00:00:00.000000048,123
2024-08-01 00:00:00.000000032,117
2024-08-08 00:00:00.000000040,116
2024-08-15 00:00:00.000000040,118
2024-08-22 00:00:00.000000048,127
2024-08-29 00:00:00.000000056,124
2024-09-05 00:00:00.000000040,127
2024-09-12 00:00:00.000000040,130
2024-09-19 00:00:00.000000056,140
2024-09-26 00:00:00.000000040,139
2024-10-03 00:00:00.000000056,130
2024-10-10 00:00:00.000000040,141
2024-10-17 00:00:00.000000056,142
2024-10-24 00:00:00.000000056,146
2024-10-31 00:00:00.000000056,131
2024-11-07 00:00:00.000000056,131
2024-11-14 00:00:00.000000056,128
2024-11-21 00:00:00.000000056,149
2024-11-28 00:00:00.000000056,145
2024-12-05 00:00:00.000000056,155
2024-12-12 00:00:00.000000056,156
2024-12-19 00:00:00.000000056,179
2024-12-26 00:00:00.000000056,188
2025-01-02 00:00:00.000000056,190
2025-01-09 00:00:00.000000056,205
2025-01-16 00:00:00.000000056,209
2025-01-23 00:00:00.000000056,232
2025-01-30 00:00:00.000000056,215
2025-02-06 00:00:00.000000056,218
2025-02-13 00:00:00.000000056,229
2025-02-20 00:00:00.000000056,234
2025-02-27 00:00:00.000000056,211
2025-03-06 00:00:00.000000056,214
2025-03-13 00:00:00.000000056,217
