x_pixel,date,field_y_v2,azmoth_y_v2,read_total_v2,field_y_v1,azmoth_y_v1,read_total_v1
368,2022-12-25T19:40:17.631806383,769,710,86.26321402686465,703,710,116.7090542716404
371,2022-12-28T15:11:27.640449425,770,710,87.1858152464033,770,710,87.1858152464033
374,2022-12-31T10:42:37.649092467,770,710,88.56971707571128,698,710,121.78336097910302
377,2023-01-03T06:13:47.657735509,770,710,89.03101768548062,770,710,89.03101768548062
380,2023-01-06T01:44:57.666378552,770,710,88.56971707571128,770,710,88.56971707571128
383,2023-01-08T21:16:07.675021594,770,710,89.03101768548062,770,710,89.03101768548062
386,2023-01-11T16:47:17.683664636,769,710,90.87622012455793,769,710,90.87622012455792
389,2023-01-14T12:18:27.692307679,769,710,91.33752073432727,769,710,91.33752073432728
392,2023-01-17T07:49:37.700950721,769,710,90.87622012455793,769,776,90.87622012455792
395,2023-01-20T03:20:47.709593763,768,710,90.41491951478861,768,776,90.4149195147886
398,2023-01-22T22:51:57.718236805,767,710,91.33752073432727,767,777,91.33752073432728
401,2023-01-25T18:23:07.726879848,765,758,92.72142256363526,765,758,92.72142256363526
404,2023-01-28T13:54:17.735522890,763,710,93.64402378317392,691,710,126.85766768656563
407,2023-01-31T09:25:27.744165933,762,710,94.56662500271257,762,710,94.56662500271256
410,2023-02-02T23:49:12.808988751,762,710,94.56662500271257,762,710,94.56662500271256
413,2023-02-05T12:48:19.913569564,764,710,92.72142256363526,764,710,92.72142256363526
416,2023-02-08T01:47:27.018150376,770,710,88.56971707571128,691,710,125.01246524748834
419,2023-02-10T14:46:34.122731188,773,710,86.72451463663397,693,710,123.62856341818032
422,2023-02-13T03:45:41.227312001,774,710,84.87931219755666,774,710,84.87931219755666
425,2023-02-15T16:44:48.331892813,775,710,82.57280914871001,775,768,82.57280914871001
428,2023-02-18T05:43:55.436473625,775,710,82.11150853894067,775,768,82.11150853894067
431,2023-02-20T18:43:02.541054438,776,710,83.49541036824866,776,710,83.49541036824866
434,2023-02-23T07:42:09.645635250,776,710,84.41801158778732,776,710,84.41801158778732
437,2023-02-25T20:41:16.750216063,775,710,83.49541036824866,699,711,118.55425671071772
440,2023-02-28T09:40:23.854796875,775,710,80.72760670963268,702,710,114.40255122279376
443,2023-03-03T03:39:27.847882440,776,710,79.80500549009403,776,710,79.80500549009403
446,2023-03-05T23:10:37.856525482,776,710,77.03720183147804,776,710,77.03720183147804
449,2023-03-08T18:41:47.865168524,777,710,76.1146006119394,777,788,76.1146006119394
452,2023-03-11T14:12:57.873811567,782,710,72.42419573378476,782,732,72.42419573378476
455,2023-03-14T09:44:07.882454609,786,710,68.27249024586078,786,792,68.27249024586078
458,2023-03-17T05:15:17.891097652,787,710,67.34988902632213,787,714,67.34988902632213
461,2023-03-20T00:46:27.899740694,787,710,66.42728780678347,787,718,66.42728780678347
464,2023-03-22T20:17:37.908383736,787,710,65.04338597747548,787,718,65.04338597747548
467,2023-03-25T15:48:47.917026778,787,710,65.04338597747548,787,710,65.04338597747548
470,2023-03-28T11:19:57.925669821,787,710,64.58208536770614,787,710,64.58208536770614
473,2023-03-31T06:51:07.934312863,786,710,65.04338597747548,786,710,65.04338597747548
476,2023-04-03T00:44:48.331892812,786,710,64.58208536770614,786,735,64.58208536770614
479,2023-04-05T18:05:17.372515111,783,710,65.5046865872448,726,734,91.7988213440966
482,2023-04-08T11:25:46.413137409,783,710,65.96598719701414,783,722,65.96598719701414
485,2023-04-11T04:46:15.453759708,782,710,66.42728780678347,782,721,66.42728780678347
488,2023-04-13T22:06:44.494382008,782,710,67.34988902632213,782,733,67.34988902632213
491,2023-04-16T15:27:13.535004307,781,710,68.27249024586078,781,730,68.27249024586078
494,2023-04-19T08:47:42.575626606,780,710,70.1176926849381,780,732,70.1176926849381
497,2023-04-22T02:08:11.616248904,780,710,72.42419573378476,718,771,101.02483353948318
500,2023-04-24T19:28:40.656871203,780,710,73.80809756309274,780,710,73.80809756309274
503,2023-04-27T12:49:09.697493502,779,710,74.73069878263139,715,710,104.2539378078685
506,2023-04-30T06:09:38.738115802,778,710,75.65330000217006,778,710,75.65330000217006
509,2023-05-03T01:05:08.038029371,778,710,75.65330000217006,778,718,75.65330000217006
512,2023-05-05T20:36:18.046672413,778,710,75.65330000217006,778,718,75.65330000217006
515,2023-05-08T16:07:28.055315455,778,710,75.65330000217006,778,710,75.65330000217006
518,2023-05-11T11:38:38.063958497,778,710,75.19199939240073,778,710,75.19199939240073
521,2023-05-14T07:09:48.072601539,778,710,75.19199939240073,778,710,75.19199939240073
524,2023-05-17T02:40:58.081244581,778,710,75.65330000217006,778,710,75.65330000217006
527,2023-05-19T22:12:08.089887623,778,710,75.65330000217006,778,783,75.65330000217006
530,2023-05-22T17:43:18.098530667,777,710,77.03720183147804,777,782,77.03720183147804
533,2023-05-25T13:14:28.107173710,775,710,77.9598030510167,775,718,77.9598030510167
536,2023-05-28T08:45:38.115816752,775,710,79.3437048803247,775,719,79.3437048803247
539,2023-05-31T04:16:48.124459794,776,710,79.3437048803247,776,782,79.3437048803247
542,2023-06-02T22:15:27.225583390,776,710,80.26630609986336,776,713,80.26630609986336
545,2023-06-05T15:35:56.266205688,773,710,84.87931219755666,773,710,84.87931219755666
548,2023-06-08T08:56:25.306827987,769,710,88.10841646594196,769,710,88.10841646594196
551,2023-06-11T02:16:54.347450286,762,753,94.56662500271257,694,753,125.935066467027
554,2023-06-13T19:37:23.388072585,758,710,98.25702988086721,685,782,131.9319743940283
557,2023-06-16T12:57:52.428694884,753,710,106.56044085671515,681,777,139.7740847601069
560,2023-06-19T06:18:21.469317185,752,710,108.40564329579246,671,776,145.77099268710816
563,2023-06-21T23:38:50.509939483,750,710,112.55734878371644,666,710,151.3066000043401
566,2023-06-24T16:59:19.550561783,748,758,116.7090542716404,748,758,116.7090542716404
569,2023-06-27T10:19:48.591184081,746,710,120.86075975956436,746,742,120.86075975956436
572,2023-06-30T03:40:17.631806380,746,710,122.70596219864169,746,710,122.70596219864169
575,2023-07-02T22:30:48.228176301,743,710,125.93506646702699,743,710,125.935066467027
578,2023-07-05T18:01:58.236819343,740,710,130.08677195495096,740,710,130.08677195495096
581,2023-07-08T13:33:08.245462385,731,746,137.46758171126024,731,746,137.46758171126024
584,2023-07-11T09:04:18.254105427,699,710,153.15180244341744,699,736,153.15180244341744
587,2023-07-14T04:35:28.262748469,678,750,165.14561829742001,678,721,165.14561829742
590,2023-07-17T00:06:38.271391512,679,710,167.45212134626667,679,710,167.4521213462667
593,2023-07-19T19:37:48.280034556,680,710,166.9908207364973,680,710,166.9908207364973
596,2023-07-22T15:08:58.288677598,682,710,167.913421956036,682,710,167.913421956036
599,2023-07-25T10:40:08.297320640,686,710,167.913421956036,686,710,167.913421956036
602,2023-07-28T06:11:18.305963682,687,710,167.913421956036,687,710,167.913421956036
605,2023-07-31T01:42:28.314606725,687,710,170.21992500488264,687,710,170.21992500488264
608,2023-08-02T21:13:38.323249766,688,710,170.21992500488264,688,710,170.21992500488264
611,2023-08-05T16:44:48.331892808,686,710,171.6038268341906,686,710,171.6038268341906
614,2023-08-08T12:15:58.340535851,682,710,173.91032988303726,682,710,173.91032988303726
617,2023-08-11T07:47:08.349178892,682,710,173.44902927326794,682,710,173.44902927326794
620,2023-08-14T03:18:18.357821935,686,710,171.1425262244213,686,710,171.1425262244213
623,2023-08-16T22:49:28.366464979,689,710,168.3747225658053,689,710,168.3747225658053
626,2023-08-19T18:20:38.375108021,690,710,167.45212134626667,690,710,167.4521213462667
629,2023-08-22T13:51:48.383751063,691,710,167.45212134626667,691,710,167.4521213462667
632,2023-08-25T09:22:58.392394106,692,710,167.45212134626667,692,710,167.4521213462667
635,2023-08-28T04:54:08.401037147,693,710,167.913421956036,693,710,167.913421956036
638,2023-08-31T00:25:18.409680189,693,710,168.3747225658053,693,710,168.3747225658053
641,2023-09-02T18:31:25.566119256,695,710,167.45212134626667,695,710,167.4521213462667
644,2023-09-05T11:51:54.606741555,698,710,163.761716468112,698,710,163.761716468112
647,2023-09-08T05:12:23.647363854,703,710,160.99391280949604,703,710,160.99391280949604
650,2023-09-10T22:32:52.687986153,703,710,159.61001098018806,703,711,159.61001098018806
653,2023-09-13T15:53:21.728608452,705,710,158.6874097606494,705,711,158.6874097606494
656,2023-09-16T09:13:50.769230750,705,710,158.6874097606494,705,711,158.6874097606494
659,2023-09-19T02:34:19.809853049,707,710,159.61001098018806,707,716,159.61001098018806
662,2023-09-21T19:54:48.850475348,709,710,160.5326121997267,709,716,160.5326121997267
665,2023-09-24T13:15:17.891097647,707,710,161.9165140290347,707,716,161.9165140290347
668,2023-09-27T06:35:46.931719945,706,710,166.529520126728,706,710,166.529520126728
671,2023-09-29T23:56:15.972342249,705,710,166.06821951695866,705,710,166.06821951695866
