month,window,date_shift,days,boss_image_pct,field_image_pct,etc_image_pct,field_within_BF_official,field_within_BF_image,BF_difference_pp,field_image_vs_printed_pp,field_if_add_ursus_pct,corrected_field_difference_pp,ursus_official_pct
2023-04,full_month,-7,30,69.79896692555033,29.438034355428854,0.7629987190208208,29.565217391304348,29.664373142511774,0.09915575120742659,2.238034355428855,27.082991606994547,-0.1170083930054524,8.0
2023-04,full_month,0,30,69.45061398616154,29.656381113139982,0.8930049006984779,29.565217391304348,29.92360033055728,0.35838293925293385,2.456381113139983,27.28387062408878,0.08387062408878165,8.0
2023-04,full_month,7,30,69.37472053164007,29.612708090716325,1.0125713776436138,29.565217391304348,29.9156251484123,0.350407757107952,2.4127080907163254,27.243691443459017,0.043691443459017876,8.0
2023-05,full_month,-7,31,69.49966776774059,29.27906653189693,1.2212657003624787,29.475982532751093,29.64106266342833,0.16508013067723581,2.2790665318969303,26.848904009749486,-0.15109599025051423,8.3
2023-05,full_month,0,31,69.38170072800226,29.4124149721644,1.2058842998333479,29.475982532751093,29.771423898796822,0.2954413660457291,2.412414972164399,26.97118452947475,-0.0288154705252488,8.3
2023-05,full_month,7,31,69.48464450983847,29.335386754698206,1.1799687354633241,29.475982532751093,29.685668360262632,0.20968582751153875,2.335386754698206,26.900549654058256,-0.09945034594174373,8.3
2023-06,full_month,-7,30,67.91927321232113,30.465851662724525,1.6148751249543503,32.55295429208473,30.965912480588685,-1.587041811496043,1.2658516627245255,27.327868941463898,-1.8721310585361017,10.3
2023-06,full_month,0,30,67.59628194989939,30.625201164542865,1.7785168855577447,32.55295429208473,31.179738071008426,-1.3732162210763015,1.425201164542866,27.47080544459495,-1.7291945554050479,10.3
2023-06,full_month,7,30,67.18419878646856,30.907009379191884,1.9087918343395596,32.55295429208473,31.508439907269633,-1.0445143848150948,1.7070093791918843,27.72358741313512,-1.4764125868648783,10.3
2023-07,full_month,-7,31,62.37726760039458,35.78629279277973,1.8364396068256839,41.30190796857463,36.455781197671485,-4.8461267709031475,-1.0137072072202642,31.92137317115952,-4.878626828840478,10.8
2023-07,full_month,0,31,60.95197290148715,37.273772645777754,1.7742544527350903,41.30190796857463,37.94704986773769,-3.3548581008369425,0.4737726457777569,33.24820520003376,-3.5517947999662383,10.8
2023-07,full_month,7,31,59.74528483438034,38.52854499368548,1.726170171934199,41.30190796857463,39.205295103582294,-2.0966128649923377,1.7285449936854818,34.36746213436744,-2.432537865632554,10.8
2023-08,full_month,-7,31,60.7519689115937,37.751308226113515,1.496722862292785,38.52097130242826,38.32492615787526,-0.19604514455299693,2.8513082261135168,34.20268525285885,-0.6973147471411494,9.4
2023-08,full_month,0,31,61.14442002873809,37.4187120932285,1.4368678780334203,38.52097130242826,37.96420759734466,-0.556763705083597,2.518712093228501,33.901353156465014,-0.9986468435349849,9.4
2023-08,full_month,7,31,61.59576997000617,37.051707588053226,1.3525224419406152,38.52097130242826,37.559711109943265,-0.9612601924849926,2.1517075880532275,33.56884707477622,-1.3311529252237762,9.4
2023-09,full_month,-7,30,63.323272983104076,35.49972490700496,1.1770021098909684,36.16557734204793,35.92253388880246,-0.24304345324546972,2.2997249070049577,32.62424718953756,-0.5757528104624399,8.1
2023-09,full_month,0,30,64.11607625571223,34.76825348033165,1.115670263956121,36.16557734204793,35.16052904756499,-1.0050482944829398,1.5682534803316486,31.952024948424796,-1.2479750515752066,8.1
2023-09,full_month,7,30,64.84254340391095,34.06015530474155,1.0973012913474984,36.16557734204793,34.43804441077582,-1.7275329312721155,0.8601553047415464,31.301282725057483,-1.8987172749425199,8.1
2023-10,full_month,-7,31,65.34208777021583,33.552637000847334,1.1052752289368464,33.876221498371336,33.927630698725515,0.05140920035417906,2.3526370008473343,30.901978677780388,-0.2980213222196113,7.9
2023-10,full_month,0,31,65.49352664719322,33.45506326106898,1.051410091737818,33.876221498371336,33.8105508042975,-0.06567069407383741,2.2550632610689796,30.81211326344453,-0.387886736555469,7.9
2023-10,full_month,7,31,65.77455852231019,33.24949479730232,0.9759466803874959,33.876221498371336,33.57719027112071,-0.29903122725062303,2.0494947973023194,30.622784708315436,-0.5772152916845634,7.9
2023-11,through_Nov15,-7,15,66.6099000254646,32.54784273571392,0.8422572388214835,33.512931034482754,32.82430784462835,-0.688623189854404,1.4478427357139196,30.20439805874252,-0.8956019412574818,7.2
2023-11,through_Nov15,0,15,67.08423295945488,32.19817731571006,0.7175897248350696,33.512931034482754,32.43089810820628,-1.0820329262764758,1.0981773157100605,29.879908548978932,-1.2200914510210694,7.2
2023-11,through_Nov15,7,15,67.41860797748954,31.96165206539645,0.6197399571139962,33.512931034482754,32.16096642492573,-1.3519646095570224,0.8616520653964486,29.660413116687902,-1.4395868833120993,7.2
2023-11,through_Nov16,-7,16,66.63162023550741,32.54052721193448,0.8278525525581129,33.512931034482754,32.812163545394576,-0.7007674890881788,1.44052721193448,30.197609252675203,-0.9023907473247981,7.2
2023-11,through_Nov16,0,16,67.09379111910117,32.19455177710887,0.7116571037899757,33.512931034482754,32.4253087905426,-1.087622243940153,1.0945517771088689,29.87654404915703,-1.2234559508429719,7.2
2023-11,through_Nov16,7,16,67.49777870252441,31.88088365677657,0.6213376406989974,33.512931034482754,32.08021007720154,-1.4327209572812123,0.7808836567765702,29.58546003348866,-1.514539966511343,7.2
