source_zero_candidate_y,method,pre_train_RMSE_px,post_Azmoth_RMSE_px,post_Azmoth_median_bias_px
824,sum,3.082317706078473,26.889215189743965,29.341151713929094
824,ratio_Bbar,7.2740283004687765,42.09422160322294,39.6991025917107
826,sum,3.1998377129371933,26.875298406175673,29.262075569338094
826,ratio_Bbar,7.364462608449318,41.70078936600197,38.930831755386066
828,sum,3.3175700081352693,26.84998280791654,29.087940322363295
828,ratio_Bbar,7.45099758858753,41.312221327859156,38.17329676808009
832,sum,3.552746367921446,26.76702509422381,28.729111281065457
832,ratio_Bbar,7.612890759731252,40.55367613786225,36.69531952830971
836,sum,3.7863224905752726,26.644078118594194,28.376944211587443
836,ratio_Bbar,7.760762645984644,39.82503327914622,35.77153899272008
