origin_upper_bound,origin_lower_bound,fitted_origin,scale,window,n,RMSE_original_total_pixels,median_bias_pixels
0,-81.0,-80.99999425712942,0.34947078431656714,train,25,5.895626792254743,-1.137710091664303
0,-81.0,-80.99999425712942,0.34947078431656714,post_Azmoth,22,41.44948437156671,38.76556597049574
100,-81.0,-80.99999122774665,0.34947078412969984,train,25,5.895626839629881,-1.1377101242785557
100,-81.0,-80.99999122774665,0.34947078412969984,post_Azmoth,22,41.449484463972674,38.76556608986249
300,-81.0,-80.99999312254279,0.34947078424658,train,25,5.895626809998033,-1.1377101038792716
300,-81.0,-80.99999312254279,0.34947078424658,post_Azmoth,22,41.44948440617516,38.76556601520173
