source,month_start_included,n,intercept,bar_slope,month_start_coefficient_pixels,RMSE_pixels,R2
2504,False,80,5.000942825625505,1.0644038642685305,,23.353202699478,0.9539390348177235
2504,True,80,4.147526313448809,1.07162077451094,16.011244740015357,22.212104439254187,0.9583303790431019
2510,False,25,-761.1640852682671,0.9143658440296827,,7.459603252887322,0.993713823074601
2510,True,25,-761.8599479577408,0.9061979167821916,13.125699401011486,4.649209942329937,0.997558181068255
2609,False,53,-733.6046498918613,0.39379933629827846,,12.091988545917303,0.9703360187872395
2609,True,53,-738.1248882463642,0.3963066375790971,11.907251755134801,10.846181633522008,0.9761335552649864
