interval,start,end,apr_source_boss_up_px,apr_source_field_up_px,apr_source_azmoth_change_px,apr_source_sum_change_px,apr_source_sum_without_az_change_px,apr_boss_bar_up_px,oct_total_up_px,oct_boss_bar_up_px,oct_source_boss_up_px,sep_boss_bar_up_px,sep_source_boss_up_px
아즈모스 도입,2024-10-10,2024-10-17,-22.74930875576041,-13.952688172041803,101.50066564260021,58.41413210445626,-43.086533538143954,4.0,-15.536251920122822,-12.0,,-3.9999999999999916,
도입 다음 주,2024-10-17,2024-10-24,-11.454787506400066,-6.952688172041803,1.567229902701115,-19.044342037901174,-20.61157194060229,6.0,-2.800307219662159,-2.0,,-0.9999999999999979,
NEXT 시작,2024-12-12,2024-12-19,35.50875576038737,14.521249359960166,4.877112135176958,76.29779825912237,71.42068612394542,63.0,24.080107526881193,42.0,,11.999999999999995,
NEXT 다음 주,2024-12-19,2024-12-26,57.62314388119427,13.018842805939244,2.596825396826148,124.4684075780599,121.87158218123375,0.0,26.487634408601707,23.0,,6.000000000000006,
2510·2609 겹침,2025-08-21,2025-08-28,,,,,,,24.62995391704891,7.0,27.0,0.0,8.0
9월 관측,2025-09-18,2025-09-25,,,,,,,-11.97007936507913,-29.0,-20.0,-8.999999999999991,-6.0
2609 2차 이후,2026-07-23,2026-07-30,,,,,,,,,,9.00000000000001,75.5
