source_zero_y,scenario,n,post_RMSE_2510_total_pixels,post_median_bias_pixels
824.0,with_azmoth,22,29.60164282456151,31.786647997841953
824.0,without_azmoth,22,7.159074984205163,2.289852007043237
826.0,with_azmoth,22,29.577656481421567,31.883914237327076
826.0,without_azmoth,22,6.809453312562308,1.938213117893099
828.0,with_azmoth,22,29.541389773528188,31.96547562748742
828.0,without_azmoth,22,6.4691523995502624,1.5818590415134963
832.0,with_azmoth,22,29.434118641915276,32.08340013952579
832.0,without_azmoth,22,5.829484749038418,0.8479427704403406
836.0,with_azmoth,22,29.28401634981962,31.570015744087016
836.0,without_azmoth,22,5.270978851792553,-0.3137238567017562
