date,total_px,top_y,boss_y,field_y,azmoth_y,other_coin_y,etc_y,azmoth_active,other_coin_active,contains_month_1_or_2,month,target_negative_y,source_sum,boss_source,ratio,source_sum_prediction,ratio_free_origin_prediction,ratio_positive_origin_prediction,source_zero_y
2023-03-30,82,682,726.0,786.4569380440352,710.0,705.0,825.0,False,False,True,2.935483870967742,-733.0,135.54306195596484,98.0,1.3830924689384168,-731.1894573566101,-706.6019241668349,-721.9206335548297,824.0
2023-04-06,82,682,727.9095238095236,783.0,710.0,705.0,825.0,False,False,False,3.1666666666666665,-732.3543650793652,137.09047619047635,96.09047619047635,1.4266812032310812,-730.710501409815,-709.4292596375034,-721.9054174540188,824.0
2023-04-13,84,680,725.6768253968257,782.0,710.0,705.0,825.0,False,False,False,3.4,-731.047142857143,140.32317460317427,98.32317460317427,1.4271627738781745,-729.7099159851597,-708.5172025691895,-720.9088587120239,824.0
2023-04-20,91,673,720.0692063492044,780.0,710.0,705.0,824.7673015873011,False,False,False,3.6333333333333333,-727.7399206349207,147.93079365079564,103.93079365079564,1.423358645252327,-727.3552042974006,-704.9802389133105,-717.4347709909957,824.0
2023-04-27,95,669,713.1961904761904,779.1961904761904,710.0,705.0,824.0,False,False,True,3.8666666666666667,-725.4326984126985,155.6076190476192,110.8038095238096,1.404352609502854,-724.9790718473355,-701.947528884291,-715.5401865908098,824.0
2023-05-04,96,668,712.0,778.0,710.0,705.0,824.0,False,False,False,4.096774193548387,-725.0,158.0,112.0,1.4107142857142858,-724.2385816420715,-701.8666299270163,-715.0166427539216,824.0
2023-05-11,94,670,712.8275473630312,778.0,710.0,705.0,824.0,False,False,False,4.32258064516129,-725.0,157.17245263696884,111.17245263696884,1.4137715675861895,-724.4947242585334,-702.9852346407631,-715.987675568377,824.0
2023-05-18,96,668,712.0,778.0,710.0,705.0,824.0,False,False,False,4.548387096774194,-724.8484639016898,158.0,112.0,1.4107142857142858,-724.2385816420715,-701.8666299270163,-715.0166427539216,824.0
2023-05-25,98,666,710.0,775.3922171018937,710.0,705.0,824.0,False,False,False,4.774193548387097,-722.6801843317972,162.60778289810628,114.0,1.4263840605097042,-722.812379807186,-701.8677544069682,-713.9387454558034,824.0
2023-06-01,101,663,705.4022217564449,776.0,710.0,705.0,824.0,False,False,True,5.0,-721.0,166.59777824355513,118.59777824355513,1.4047293356661885,-721.5773956925476,-699.184948085863,-712.5961600915273,824.0
2023-06-08,110,654,694.4104761904765,769.547301587302,710.0,705.0,824.0,False,False,False,5.233333333333333,-713.6140476190478,184.04222222222154,129.58952380952348,1.4201936762475884,-716.1779880899984,-695.8668304854316,-708.0263310851547,824.0
2023-06-15,133,631,680.3542857142861,755.8285714285715,710.0,705.0,821.0,False,False,False,5.466666666666667,-701.8974603174604,214.81714285714236,143.6457142857139,1.4954650330177426,-706.6525288293161,-688.6856657206447,-695.2574511617552,824.0
2023-06-22,146,618,662.9622222222209,749.989206349206,710.2590476190563,705.0,821.0,False,False,False,5.7,-696.1804761904763,238.04857142857304,161.03777777777907,1.4782157001512,-699.4619326601253,-681.5067907365225,-688.8623447309526,824.0
2023-06-29,161,603,646.6939682539692,746.0,710.0,705.0,821.0,False,False,True,5.933333333333334,-688.5660317460319,258.30603174603084,177.30603174603084,1.4568372502748388,-693.191839707883,-673.3504649015206,-681.71911572354,824.0
2023-07-06,172,592,634.4697388632891,739.2046082949337,713.1815668202653,705.0,820.9116231438816,False,False,False,6.161290322580645,-680.0750384024578,277.41402969789567,189.53026113671092,1.4636925419407982,-687.277528564635,-668.295238911435,-675.9072527893437,824.0
2023-07-13,213,551,624.5407066052206,686.8924731182723,733.0619559651956,705.0,819.5765488991299,False,False,False,6.387096774193548,-655.0,340.9902713773772,199.45929339477937,1.709573244614243,-667.5993982048765,-653.766697427041,-643.6285594491259,824.0
2023-07-20,214,550,615.7411162314387,680.1294418842807,710.0,705.0,820.0,False,False,False,6.612903225806452,-654.0,356.1294418842806,208.2588837685613,1.7100324146558294,-662.9135192837008,-653.2114730929156,-643.0104617811771,824.0
