source_sum,period,n,RMSE_total_pixels,median_bias_pixels
full,train,9,1.776714310030427,0.47095644012938465
full,later,15,21.869000460152414,-18.317653893400575
without_dark_azmoth,train,9,1.3517290373472937,0.45936604883036125
without_dark_azmoth,later,15,13.984318288112041,-8.40054482600027
