source_ratio,period,n,RMSE_target_pixels,median_bias_pixels,implied_bar_additive_origin_px
full_sources,pre_train,25,4.205569188178049,-1.0258227675709577,-278.272606859184
full_sources,post_all,22,27.97972514041454,22.674065611646938,-278.272606859184
full_sources,post_without_1_2_week,16,30.068696889093573,25.7692737715293,-278.272606859184
sources_without_azmoth,pre_train,25,4.205569188178049,-1.0258227675709577,-278.272606859184
sources_without_azmoth,post_all,22,21.96443210875929,17.240776339105537,-278.272606859184
sources_without_azmoth,post_without_1_2_week,16,23.85255916598243,19.380502222595794,-278.272606859184
