source,period,n,RMSE_target_pixels,median_bias_pixels,scale
source_sum,pre_Azmoth_calibration,25,2.9843611817507982,0.7365915518593056,0.30952018930224484
source_sum,after_Azmoth_all,22,29.60164282456151,31.786647997841953,0.30952018930224484
source_sum,after_Azmoth_exclude_1_2_weeks,16,29.20043989663746,31.786647997841953,0.30952018930224484
source_sum_excluding_azmoth,pre_Azmoth_calibration,25,2.9843611817507982,0.7365915518593056,0.30952018930224484
source_sum_excluding_azmoth,after_Azmoth_all,22,7.159074984205163,2.289852007043237,0.30952018930224484
source_sum_excluding_azmoth,after_Azmoth_exclude_1_2_weeks,16,6.841619526352126,-0.16483745660957538,0.30952018930224484
