date,season,weight_status,P_total,A_accounts,C_accounts,M_boss,C_boss,residual_C_to_M_productivity_assumed,main_residual,main_total,challenger_total,q_main,q_main_sep2025_100,own_scenario_baseline
2024-08-22,0,outside_season,222.6577867661019,317258.0,0.0,161.95945782696603,0.0,0.0,60.69832893913588,222.6577867661019,0.0,0.0007018192977516781,50.35661363858934,0.001393698358647888
2024-08-29,0,outside_season,230.0904119986253,306714.0,0.0,164.90417524200177,0.0,0.0,65.18623675662354,230.0904119986253,0.0,0.0007501790332316925,53.826499010839555,0.001393698358647888
2024-09-05,0,outside_season,230.0904119986253,303541.0,0.0,167.8488926570375,0.0,0.0,62.24151934158781,230.0904119986253,0.0,0.0007580208670282608,54.38916264231403,0.001393698358647888
2024-09-12,0,outside_season,237.52303723114872,306155.0,0.0,176.68304490214476,0.0,0.0,60.83999232900397,237.52303723114872,0.0,0.0007758260921139577,55.666714917181515,0.001393698358647888
2024-09-19,0,outside_season,244.01419660088567,309978.0,0.0,179.6277623171805,0.0,0.0,64.38643428370517,244.01419660088567,0.0,0.0007871984353756901,56.482698030827805,0.001393698358647888
2024-09-26,0,outside_season,252.38828769619565,313672.0,0.0,182.57247973221627,0.0,0.0,69.81580796397938,252.38828769619565,0.0,0.0008046248555694983,57.73307047230177,0.001393698358647888
2024-10-03,0,outside_season,259.8209129287191,317449.0,0.0,188.46191456228772,0.0,0.0,71.3589983664314,259.8209129287191,0.0,0.0008184650540046405,58.72612598888927,0.001393698358647888
2024-10-10,0,outside_season,248.46646470484197,308321.0,0.0,188.46191456228772,0.0,0.0,60.00455014255425,248.46646470484197,0.0,0.0008058694176032186,57.82236971169585,0.001393698358647888
2024-10-17,0,outside_season,231.7070936160228,307061.0,0.0,176.68304490214476,0.0,0.0,55.02404871387804,231.7070936160228,0.0,0.0007545962972048642,54.143444492317855,0.001393698358647888
2024-10-24,0,outside_season,222.6577867661019,294497.0,0.0,173.73832748710902,0.0,0.0,48.91945927899289,222.6577867661019,0.0,0.0007560613071308092,54.24856120691069,0.001393698358647888
