date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index,P_total,residual_outside_weekly_boss,q_main_lower_fixed_boss,q_main_upper_fixed_boss,source_boss_rewards,source_coin_exchange,source_field,source_other,source_serazar_coin,extra_boss_scope_difference,nonboss_residual,three_component_feasible,detected_sources_sum,total_minus_detected_sources
2025-08-21,2,post_leap,valid,363337.0,388357.0,227.10249776265715,192.9976655172272,420.1001632798843,0.0006250464383276,0.0004969594098142,0.7950759805045411,672110.3225608021,308773.32256080204,0.7138069874272384,0.8212785025834982,0.0,8.76041170598829,False,0.0,88.20498911777096,70.12966820820414,642.2141650989681,222.1140018190838,0.0006250464383276604,0.0012363632098623067,411.2916090541072,109.97907494853416,,,,-8.80855422577713,230.92255604486093,False,521.2706840026414,120.94348109632676
2025-08-28,2,post_leap,valid,356257.0,356370.0,235.6952181960246,188.34408956912284,424.0393077651474,0.0006615876128638,0.000528507140245,0.7988467891006662,640942.0302318044,284685.0302318044,0.6928778713277819,0.8314187542164765,0.0,7.997463310604143,False,1.6387885011817486e-16,93.36158821932858,74.58160497434922,691.9601166145297,267.92080884938235,0.0006615876128638163,0.0014136312466713832,435.39661178255295,132.57751500645213,122.03157631275708,,,11.357304017405568,256.5635048319768,True,690.0057031017623,1.9544135127674735
2025-09-04,2,post_leap,valid,350337.0,332895.0,236.64906152890168,184.44552882120996,421.0945903501116,0.0006754897756414,0.0005540651821781,0.8202421445269734,623391.5087023068,273054.50870230683,0.6861555265608195,0.8502118086252582,0.0,8.353384513134783,False,0.0,95.32342663856076,78.18829188967268,669.1036040626165,248.00901371250484,0.0006754897756414587,0.0013834053361232372,426.3572357593858,114.49876296011774,131.07095233592426,,,5.262645409274171,242.74636830323067,True,671.9269510554278,-2.8233469928113664
2025-09-11,2,post_leap,valid,344546.0,309117.0,242.0959155211395,176.05395741393647,418.149872935076,0.0007026519405859,0.0005695382570804,0.8105553036763437,595102.4238065203,250556.42380652032,0.6440619196907923,0.8251539664111833,0.0,8.195687945303021,False,0.0,99.15648337872454,80.3718134965204,651.9471013943443,233.79722845926824,0.000702651940585987,0.00138121802017846,409.7850463835792,108.47251227800628,131.07095233592426,,,-8.364826551496833,242.16205501076507,False,649.3285109975097,2.61859039683452
2025-09-18,2,post_leap,valid,354888.0,288952.0,249.72055864047977,171.37403170963185,421.0945903501116,0.000703660193189,0.0005930882351035,0.8428617120084345,598434.5774082611,243546.5774082612,0.5523003459889316,0.8526449375728088,0.0,8.015556763388869,False,0.0,99.29876546278878,83.69512745829016,656.3050864938896,235.21049614377796,0.0007036601931890618,0.00136643407155006,409.7850463835792,106.9659496074784,132.57751500645213,,,-11.30954396653243,246.5200401103104,False,649.3285109975097,6.976575496379837
2025-09-25,2,post_leap,valid,337959.0,240758.0,254.38697030549008,140.2051633092999,394.59213361479,0.0007527154782251,0.0005823489284231,0.7736640806115639,524224.8167198789,186265.8167198789,0.4875006906563143,0.8170561089982747,0.0,9.04625391471934,False,1.440387774464252e-16,106.22132451992589,82.17962337605101,628.1287404110743,233.53660679628433,0.00075271547822514,0.001443736006739795,391.7062943372449,112.99220028958987,126.55126432434064,,,-2.885839277545074,236.4224460738294,False,631.2497589511754,-3.1210185401010904
2025-10-02,2,post_leap,valid,317938.0,216580.0,260.73312181181484,127.96957697290364,388.7026987847185,0.0008200753663035,0.0005908651628631,0.7205010504418217,473984.1175046897,156046.11750468973,0.4584157043601845,0.7827911621596162,0.0,8.730697299162573,False,0.0,115.7269833487742,83.38141306725501,618.8230520859698,230.12035330125133,0.0008200753663035398,0.001543865392350289,397.73254501935634,103.95282426642268,119.01845097170133,,,9.02984623463783,221.0905070666135,True,620.7038202574804,-1.8807681715105673
2025-10-09,2,post_leap,valid,310420.0,198964.0,262.75670604858925,123.00127532109347,385.75798136968274,0.0008464554669434,0.0006182086976593,0.7303499378315621,455733.34503071895,145313.34503071892,0.4657751129780537,0.8003152781756017,0.0,9.196860791531712,False,1.280873258932975e-16,119.4496771314883,87.24006426698264,593.4354396926993,207.6774583230166,0.0008464554669434613,0.0015154763364847814,378.1472303024941,93.40688557272765,122.03157631275708,,,-7.61075106718863,215.28820939020522,False,593.5856921879789,-0.15025249527957385
2025-10-16,2,post_leap,valid,302160.0,185308.0,272.307294729034,104.61653439554156,376.9238291245755,0.0009012023256851,0.0005645548729441,0.62644631161483,418245.5131127209,116085.51311272092,0.3581785216467962,0.6942973231808205,0.0,8.805146027154798,False,0.0,127.17541682607084,79.66857079877066,570.5748891782056,193.6510600536301,0.0009012023256851801,0.001542091457448584,367.60129160879904,93.40688557272765,109.97907494853416,,,-9.322537515776446,202.97359756940654,False,570.9872521300608,-0.4123629518552434
2025-10-23,2,post_leap,valid,297683.0,169443.0,267.5689551351708,53.40524310372548,320.9741982388963,0.0008988385468272,0.0003151811706811,0.3506538207486646,357098.83534911595,59415.83534911597,0.1404835165858936,0.4163689021147496,0.0,5.902957808820667,False,1.2062257190822303e-16,126.8418462692975,44.47757802514393,507.75224786541116,186.77804962651487,0.0008988385468272317,0.0015262779693892017,314.8715981403238,85.87407222008831,100.93969892536695,,,-6.102600098572509,192.88064972508738,False,501.685369285779,6.066878579632146
