date,season,stage,weight_status,A_accounts,C_accounts,M_boss,C_boss,B_total,bM_per_account,bC_per_account,w,E_main_equivalent_accounts,C_weighted_contribution,w_scenario_min,w_scenario_max,w_assumption_only_lower,w_assumption_only_upper,w_assumption_upper_unbounded,identity_relative_error,main_productivity_index,challenger_productivity_index,P_total,residual_outside_weekly_boss,q_main_lower_fixed_boss,q_main_upper_fixed_boss
2024-08-22,0,outside_season,outside_season,317258.0,0.0,161.95945782696603,0.0,161.95945782696603,0.000510497632296,,0.0,317258.0,0.0,0.0,0.0,,,False,0.0,72.04014828369006,,222.6577867661019,60.69832893913588,0.0007018192977516781,0.0007018192977516781
2024-08-29,0,outside_season,outside_season,306714.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0005376480214206,,0.0,306714.0,0.0,0.0,0.0,,,False,0.0,75.87154324961713,,230.0904119986253,65.18623675662354,0.0007501790332316925,0.0007501790332316925
2024-09-05,0,outside_season,outside_season,303541.0,0.0,167.8488926570375,0.0,167.8488926570375,0.0005529694263939,,0.0,303541.0,0.0,0.0,0.0,,,False,0.0,78.03366157566586,,230.0904119986253,62.241519341587804,0.0007580208670282608,0.0007580208670282608
2024-09-12,0,outside_season,outside_season,306155.0,0.0,176.68304490214476,0.0,176.68304490214476,0.0005771032480349,,0.0,306155.0,0.0,0.0,0.0,,,False,0.0,81.43936608766008,,237.52303723114872,60.83999232900396,0.0007758260921139577,0.0007758260921139577
2024-09-19,0,outside_season,outside_season,309978.0,0.0,179.6277623171805,0.0,179.6277623171805,0.0005794855193503,,0.0,309978.0,0.0,0.0,0.0,,,False,0.0,81.77554625374606,,244.01419660088567,64.38643428370517,0.0007871984353756901,0.0007871984353756901
2024-09-26,0,outside_season,outside_season,313672.0,0.0,182.57247973221627,0.0,182.57247973221627,0.000582049018504,,0.0,313672.0,0.0,0.0,0.0,,,False,0.0,82.13730083883746,,252.38828769619565,69.81580796397938,0.0008046248555694983,0.0008046248555694983
2024-10-03,0,outside_season,outside_season,317449.0,0.0,188.46191456228772,0.0,188.46191456228772,0.0005936761954275,,0.0,317449.0,0.0,0.0,0.0,,,False,0.0,83.77809894777454,,259.8209129287191,71.3589983664314,0.0008184650540046405,0.0008184650540046405
2024-10-10,0,outside_season,outside_season,308321.0,0.0,188.46191456228772,0.0,188.46191456228772,0.000611252281104,,0.0,308321.0,0.0,0.0,0.0,,,False,0.0,86.25839217202875,,248.46646470484197,60.00455014255425,0.0008058694176032186,0.0008058694176032186
2024-10-17,0,outside_season,outside_season,307061.0,0.0,176.68304490214476,0.0,176.68304490214476,0.0005754004738542,,0.0,307061.0,0.0,0.0,0.0,,,False,0.0,81.19907485668179,,231.7070936160228,55.024048713878045,0.0007545962972048642,0.0007545962972048642
2024-10-24,0,outside_season,outside_season,294497.0,0.0,173.73832748710902,0.0,173.73832748710902,0.0005899493967242,,0.0,294497.0,0.0,0.0,0.0,,,False,0.0,83.25218244155779,,222.6577867661019,48.91945927899289,0.0007560613071308092,0.0007560613071308092
2024-10-31,0,outside_season,outside_season,280766.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0005873366976129,,0.0,280766.0,0.0,0.0,0.0,,,False,0.0,82.8834848815849,,222.6577867661019,57.75361152410014,0.0007930368590431245,0.0007930368590431245
2024-11-07,0,outside_season,outside_season,268656.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0006138116224539,,0.0,268656.0,0.0,0.0,0.0,,,False,0.0,86.61956001825035,,216.78955217775746,51.88537693575569,0.0008069410405044274,0.0008069410405044274
2024-11-14,0,outside_season,outside_season,259181.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0006362510185623,,0.0,259181.0,0.0,0.0,0.0,,,False,0.0,89.78615143958496,,215.22516153357844,50.32098629157667,0.0008304048581245478,0.0008304048581245478
2024-11-21,0,outside_season,outside_season,266794.0,0.0,161.95945782696603,0.0,161.95945782696603,0.0006070580966099,,0.0,266794.0,0.0,0.0,0.0,,,False,0.0,85.66651935271011,,207.792536301055,45.83307847408898,0.0007788501102013351,0.0007788501102013351
2024-11-28,0,outside_season,outside_season,282394.0,0.0,164.90417524200177,0.0,164.90417524200177,0.0005839507044838,,0.0,282394.0,0.0,0.0,0.0,,,False,0.0,82.4056620050818,,220.8845747463416,55.98039950433983,0.00078218579270927,0.00078218579270927
2024-12-05,0,outside_season,outside_season,270955.0,0.0,173.73832748710902,0.0,173.73832748710902,0.0006412073129748,,0.0,270955.0,0.0,0.0,0.0,,,False,0.0,90.4855713033214,,230.0904119986253,56.352084511516296,0.0008491831189630208,0.0008491831189630208
2024-12-12,0,outside_season,outside_season,353878.0,0.0,182.57247973221627,0.0,182.57247973221627,0.0005159192708566,,0.0,353878.0,0.0,0.0,0.0,,,False,0.0,72.80523634902376,,249.55909486575072,66.98661513353446,0.0007052122337804292,0.0007052122337804292
2024-12-19,1,pre_leap,valid,377665.0,173213.0,182.57247973221624,35.33660898042894,217.9090887126452,0.0004834244098135,0.0002040066795242,0.4220032654183185,450761.4516129032,73096.4516129032,0.4220032654183184,0.422003265418349,0.4220032654183186,0.5543263232189778,False,0.0,68.2196428811773,28.788912061528364,281.42747455896165,63.51838584631645,0.000483424409813502,0.0006516115223241039
2024-12-26,1,pre_leap,valid,385974.0,340543.0,182.57247973221627,53.00491347064342,235.5773932028597,0.0004730175600745,0.0001556482249543,0.3290537986155507,498030.96774193546,112056.96774193548,0.3290537986155507,0.3290537986155797,0.3290537986155507,0.4034162389806468,False,0.0,66.7510542904958,21.964687975880494,317.4237584807757,81.846365277916,0.00047301756007455493,0.0006850690590820425
2025-01-02,1,pre_leap,valid,361956.0,351168.0,181.2091798553808,63.2023655925861,244.4115454479669,0.0005006386960165,0.0001799775765234,0.3594959358025408,488199.46878390666,126243.46878390665,0.3553499518481608,0.3657944324018117,0.3491149535265174,0.4442760081823499,False,0.0,70.64887986919385,25.39798518197713,322.0391789880691,77.62763354010224,0.0005006386960165898,0.0007151057404642637
2025-01-09,1,pre_leap,valid,342976.0,330152.0,181.8753034250811,62.5362420228858,244.4115454479669,0.0005302858025782,0.0001894165173098,0.3571970367468186,460905.31607603567,117929.31607603568,0.3529002589351251,0.3667109433535919,0.3518660808433105,0.4477770322718647,False,0.0,74.83260535148291,26.72998488359382,317.0601192892926,72.64857384132569,0.0005302858025782594,0.0007421040459577545
2025-01-16,1,post_leap,valid,338246.0,307111.0,181.4257285194338,68.87525175860466,250.30098027803845,0.0005363721330612,0.0002242682670389,0.4181206539553031,466655.45215686713,128409.4521568671,0.3898037086172333,0.4828466685423541,0.0,45.70728173201193,False,2.0213618599042812e-16,75.6914930774177,31.648176584383197,319.2819147889066,68.98093451086814,0.0005363721330612448,0.0007403093104731525
2025-01-23,1,post_leap,valid,326928.0,277133.0,182.1314205557141,65.22484230728855,247.35626286300263,0.0005570994853781,0.00023535574005,0.4224662672058998,444007.3440295727,117079.34402957265,0.4038881818381988,0.4668374903881282,0.0,48.3668419134499,False,0.0,78.61648516351951,33.212813027880095,319.2819147889066,71.92565192590396,0.0005570994853781692,0.0007771040488475079
2025-01-30,1,post_leap,valid,320285.0,257133.0,184.26014831107523,68.98554938199892,253.2456976930741,0.0005753005863873,0.0002682874208366,0.4663430338588971,440197.1833252398,119912.1833252398,0.4457455137613028,0.5048143072005569,0.0,52.31522208351311,False,1.884583812601043e-16,81.18497898734229,37.86004940472802,334.5827330767191,81.33703538364497,0.0005753005863873589,0.0008292526459082387
2025-02-06,1,post_leap,valid,315231.0,237813.0,185.33524413326631,67.91045355980783,253.2456976930741,0.0005879347022763,0.0002855624106327,0.4857042959484089,430737.79573237896,115506.79573237896,0.4725964759766693,0.5122627105319507,0.0,55.67274286939728,False,0.0,82.9678738030939,40.29785273186816,325.9245075774975,72.67880988442337,0.000587934702276319,0.0008184920075046226
