pair,n,start,end,MAE_pp,median_bias_pp,max_abs_pp
2504_2510,80,2023-03-30,2025-03-13,6.9406278431958865,-6.854624140755597,19.424353667109273
2504_2609,30,2024-08-22,2025-03-13,12.092433426235408,-11.597501088059634,19.999482214052716
2510_2609,59,2024-08-22,2025-10-02,1.0492864129420394,-0.8960027836979689,2.9135466303607913
