date,low_share_2504,low_px_2504,high_px_2504,total_px_2504,low_share_2510,low_px_2510,high_px_2510,total_px_2510,difference_pp,pair,low_share_2609,low_px_2609,high_px_2609,total_px_2609
2023-03-30 00:00:00.000000000,0.6829268292682927,56.0,26.0,82.0,0.6551724137931034,38.0,20.0,58.0,2.775441547518931,2504_2510,,,,
2023-04-06 00:00:00.000000000,0.6707317073170732,55.0,27.0,82.0,0.6440677966101694,38.0,21.0,59.0,2.666391070690377,2504_2510,,,,
2023-04-13 00:00:00.000000001,0.6904761904761905,58.0,26.0,84.0,0.6666666666666666,40.0,20.0,60.0,2.3809523809523836,2504_2510,,,,
2023-04-20 00:00:00.000000001,0.7252747252747253,66.0,25.0,91.0,0.676923076923077,44.0,21.0,65.0,4.835164835164829,2504_2510,,,,
2023-04-27 00:00:00.000000002,0.7157894736842105,68.0,27.0,95.0,0.6567164179104478,44.0,23.0,67.0,5.907305577376276,2504_2510,,,,
2023-05-04 00:00:00.000000002,0.7083333333333334,68.0,28.0,96.0,0.6470588235294118,44.0,24.0,68.0,6.127450980392157,2504_2510,,,,
2023-05-11 00:00:00.000000003,0.7021276595744681,66.0,28.0,94.0,0.6470588235294118,44.0,24.0,68.0,5.50688360450563,2504_2510,,,,
2023-05-18 00:00:00.000000003,0.7083333333333334,68.0,28.0,96.0,0.6521739130434783,45.0,24.0,69.0,5.6159420289855095,2504_2510,,,,
2023-05-25 00:00:00.000000005,0.6938775510204082,68.0,30.0,98.0,0.6571428571428571,46.0,24.0,70.0,3.6734693877551017,2504_2510,,,,
2023-06-01 00:00:00.000000005,0.6732673267326733,68.0,33.0,101.0,0.6571428571428571,46.0,24.0,70.0,1.612446958981617,2504_2510,,,,
2023-06-08 00:00:00.000000005,0.6727272727272727,74.0,36.0,110.0,0.6794871794871795,53.0,25.0,78.0,-0.6759906759906786,2504_2510,,,,
2023-06-15 00:00:00.000000007,0.7593984962406015,101.0,32.0,133.0,0.6976744186046512,60.0,26.0,86.0,6.172407763595034,2504_2510,,,,
2023-06-22 00:00:00.000000007,0.7602739726027398,111.0,35.0,146.0,0.7083333333333334,68.0,28.0,96.0,5.19406392694064,2504_2510,,,,
2023-06-29 00:00:00.000000007,0.7701863354037267,124.0,37.0,161.0,0.7211538461538461,75.0,29.0,104.0,4.903248924988057,2504_2510,,,,
2023-07-06 00:00:00.000000007,0.7790697674418605,134.0,38.0,172.0,0.7297297297297297,81.0,30.0,111.0,4.93400377121308,2504_2510,,,,
2023-07-13 00:00:00.000000010,0.6995305164319249,149.0,64.0,213.0,0.7241379310344828,84.0,32.0,116.0,-2.4607414602557887,2504_2510,,,,
2023-07-20 00:00:00.000000010,0.6962616822429907,149.0,65.0,214.0,0.7049180327868853,86.0,36.0,122.0,-0.8656350543894575,2504_2510,,,,
2023-07-27 00:00:00.000000014,0.6854460093896714,146.0,67.0,213.0,0.696,87.0,38.0,125.0,-1.0553990610328579,2504_2510,,,,
2023-08-03 00:00:00.000000010,0.6697674418604651,144.0,71.0,215.0,0.689922480620155,89.0,40.0,129.0,-2.0155038759689936,2504_2510,,,,
2023-08-10 00:00:00.000000008,0.6590909090909091,145.0,75.0,220.0,0.6742424242424242,89.0,43.0,132.0,-1.5151515151515138,2504_2510,,,,
2023-08-17 00:00:00.000000010,0.6587677725118484,139.0,72.0,211.0,0.6538461538461539,85.0,45.0,130.0,0.4921618665694516,2504_2510,,,,
2023-08-24 00:00:00.000000014,0.6492890995260664,137.0,74.0,211.0,0.6564885496183206,86.0,45.0,131.0,-0.71994500922542,2504_2510,,,,
2023-08-31 00:00:00.000000014,0.6220095693779905,130.0,79.0,209.0,0.6511627906976745,84.0,45.0,129.0,-2.915322131968401,2504_2510,,,,
2023-09-07 00:00:00.000000014,0.615,123.0,77.0,200.0,0.6356589147286822,82.0,47.0,129.0,-2.06589147286822,2504_2510,,,,
2023-09-14 00:00:00.000000014,0.6091370558375635,120.0,77.0,197.0,0.625,80.0,48.0,128.0,-1.5862944162436499,2504_2510,,,,
2023-09-21 00:00:00.000000016,0.628140703517588,125.0,74.0,199.0,0.6212121212121212,82.0,50.0,132.0,0.692858230546678,2504_2510,,,,
2023-09-28 00:00:00.000000014,0.6009615384615384,125.0,83.0,208.0,0.6119402985074627,82.0,52.0,134.0,-1.097876004592424,2504_2510,,,,
2023-10-05 00:00:00.000000014,0.609375,117.0,75.0,192.0,0.5954198473282443,78.0,53.0,131.0,1.3955152671755733,2504_2510,,,,
2023-10-12 00:00:00.000000014,0.612565445026178,117.0,74.0,191.0,0.59375,76.0,52.0,128.0,1.8815445026178046,2504_2510,,,,
2023-10-19 00:00:00.000000022,0.5968586387434555,114.0,77.0,191.0,0.5891472868217055,76.0,53.0,129.0,0.7711351921749987,2504_2510,,,,
2023-10-26 00:00:00.000000020,0.5670103092783505,110.0,84.0,194.0,0.5923076923076923,77.0,53.0,130.0,-2.5297383029341813,2504_2510,,,,
2024-01-04 00:00:00.000000020,0.542713567839196,108.0,91.0,199.0,0.5507246376811594,76.0,62.0,138.0,-0.8011069841963425,2504_2510,,,,
2024-02-01 00:00:00.000000028,0.45595854922279794,88.0,105.0,193.0,0.5174825174825175,74.0,69.0,143.0,-6.152396825971956,2504_2510,,,,
2024-03-14 00:00:00.000000032,0.41025641025641024,80.0,115.0,195.0,0.48951048951048953,70.0,73.0,143.0,-7.925407925407929,2504_2510,,,,
2024-04-04 00:00:00.000000032,0.38461538461538464,80.0,128.0,208.0,0.4626865671641791,62.0,72.0,134.0,-7.807118254879447,2504_2510,,,,
2024-04-18 00:00:00.000000032,0.35148514851485146,71.0,131.0,202.0,0.44285714285714284,62.0,78.0,140.0,-9.137199434229137,2504_2510,,,,
2024-05-02 00:00:00.000000036,0.3786407766990291,78.0,128.0,206.0,0.4375,63.0,81.0,144.0,-5.885922330097087,2504_2510,,,,
2024-05-16 00:00:00.000000028,0.3684210526315789,77.0,132.0,209.0,0.42657342657342656,61.0,82.0,143.0,-5.815237394184764,2504_2510,,,,
2024-05-23 00:00:00.000000040,0.34234234234234234,76.0,146.0,222.0,0.42758620689655175,62.0,83.0,145.0,-8.52438645542094,2504_2510,,,,
2024-05-30 00:00:00.000000040,0.3705357142857143,83.0,141.0,224.0,0.4217687074829932,62.0,85.0,147.0,-5.1232993197278915,2504_2510,,,,
2024-06-06 00:00:00.000000032,0.3698630136986301,81.0,138.0,219.0,0.4276315789473684,65.0,87.0,152.0,-5.77685652487383,2504_2510,,,,
2024-06-13 00:00:00.000000032,0.4125560538116592,92.0,131.0,223.0,0.42857142857142855,66.0,88.0,154.0,-1.601537475976933,2504_2510,,,,
2024-06-27 00:00:00.000000040,0.4125,99.0,141.0,240.0,0.4883720930232558,84.0,88.0,172.0,-7.587209302325581,2504_2510,,,,
2024-07-04 00:00:00.000000048,0.405982905982906,95.0,139.0,234.0,0.4883720930232558,84.0,88.0,172.0,-8.238918704034981,2504_2510,,,,
2024-07-11 00:00:00.000000040,0.3865546218487395,92.0,146.0,238.0,0.48554913294797686,84.0,89.0,173.0,-9.899451109923735,2504_2510,,,,
2024-07-18 00:00:00.000000040,0.3884297520661157,94.0,148.0,242.0,0.4576271186440678,81.0,96.0,177.0,-6.9197366577952115,2504_2510,,,,
2024-07-25 00:00:00.000000048,0.3667953667953668,95.0,164.0,259.0,0.4581005586592179,82.0,97.0,179.0,-9.130519186385111,2504_2510,,,,
2024-08-01 00:00:00.000000032,0.36585365853658536,90.0,156.0,246.0,0.45,81.0,99.0,180.0,-8.414634146341465,2504_2510,,,,
2024-08-08 00:00:00.000000040,0.3790322580645161,94.0,154.0,248.0,0.44692737430167595,80.0,99.0,179.0,-6.789511623715983,2504_2510,,,,
2024-08-15 00:00:00.000000040,0.372,93.0,157.0,250.0,0.45054945054945056,82.0,100.0,182.0,-7.854945054945056,2504_2510,,,,
2024-08-22 00:00:00.000000048,0.35580524344569286,95.0,172.0,267.0,0.44505494505494503,81.0,101.0,182.0,-8.924970160925216,2504_2510,,,,
2024-08-29 00:00:00.000000056,0.3540856031128405,91.0,166.0,257.0,0.43956043956043955,80.0,102.0,182.0,-8.547483644759907,2504_2510,,,,
2024-09-05 00:00:00.000000040,0.33962264150943394,90.0,175.0,265.0,0.43010752688172044,80.0,106.0,186.0,-9.04848853722865,2504_2510,,,,
2024-09-12 00:00:00.000000040,0.34191176470588236,93.0,179.0,272.0,0.42857142857142855,84.0,112.0,196.0,-8.665966386554619,2504_2510,,,,
2024-09-19 00:00:00.000000056,0.32989690721649484,96.0,195.0,291.0,0.43283582089552236,87.0,114.0,201.0,-10.293891367902752,2504_2510,,,,
2024-09-26 00:00:00.000000040,0.328719723183391,95.0,194.0,289.0,0.4292682926829268,88.0,117.0,205.0,-10.054856949953583,2504_2510,,,,
2024-10-03 00:00:00.000000056,0.32967032967032966,90.0,183.0,273.0,0.4238095238095238,89.0,121.0,210.0,-9.413919413919414,2504_2510,,,,
2024-10-10 00:00:00.000000040,0.28421052631578947,81.0,204.0,285.0,0.4182692307692308,87.0,121.0,208.0,-13.405870445344132,2504_2510,,,,
2024-10-17 00:00:00.000000056,0.28719723183391005,83.0,206.0,289.0,0.4030612244897959,79.0,117.0,196.0,-11.586399265588588,2504_2510,,,,
2024-10-24 00:00:00.000000056,0.2677966101694915,79.0,216.0,295.0,0.39690721649484534,77.0,117.0,194.0,-12.911060632535381,2504_2510,,,,
2024-10-31 00:00:00.000000056,0.27547169811320754,73.0,192.0,265.0,0.372972972972973,69.0,116.0,185.0,-9.750127485976545,2504_2510,,,,
2024-11-07 00:00:00.000000056,0.26996197718631176,71.0,192.0,263.0,0.37158469945355194,68.0,115.0,183.0,-10.162272226724017,2504_2510,,,,
