model,n,k,r_squared,rmse,condition_number,hac_lag_weeks
low2_new_menu_adjusted_HAC4,76,8,0.6452781250427718,0.030734953659064104,59.90977809131237,4
tier3_new_menu_adjusted_HAC4,76,8,0.6202524954850983,0.20184401088237663,59.90977809131237,4
tier4_new_menu_adjusted_HAC4,76,8,0.4245697517606969,0.08142354349295781,59.90977809131237,4
